case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D60E21_release,D60 x E21 release,4.0,4.0,0.2,0.07501092298806977,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.39,0.07058256749622749,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.5800000000000001,0.06599038064552909,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.77,0.061233232298844475,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.96,0.056310075826045525,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.15,0.051219949484687,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.34,0.045961977700697876,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.53,0.04053537224690951,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.72,0.03493943331737537,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.91,0.029173550495672274,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.1,0.023237203615556368,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.29,0.017129963512726665,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.4800000000000004,0.010851492666389184,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.6700000000000004,0.004401545729892042,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.8600000000000003,0.0022200300504082726,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.0500000000000003,0.009013294528412263,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.24,0.01597821446385117,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.43,0.023114663440321426,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.62,0.030422421895352603,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.81,0.037901177262177566,0.0
D60E21_release,D60 x E21 release,4.0,4.0,4.0,0.04555052422243744,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.2,2.6376436164323707,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.39,2.65117353204829,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.5800000000000001,2.664697301247557,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.77,2.67821492755737,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.96,2.6917264144744983,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.15,2.7052317654656175,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.34,2.7187309839670437,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.53,2.7322240733843266,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.72,2.745711037093539,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.91,2.759191878440477,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.1,2.7726666007409957,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.29,2.786135207281319,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.4800000000000004,2.7995977013176496,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.6700000000000004,2.813054086076388,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.8600000000000003,2.8265043647550296,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.0500000000000003,2.839948540520634,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.24,2.8533866165115267,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.43,2.86681859583628,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.62,2.8802444815746284,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.81,2.89366427677702,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,4.0,2.9070779844646673,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.2,5.22159042812104,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.39,5.221421313797308,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.5800000000000001,5.221252200308911,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.77,5.22108308773646,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.96,5.220913976087161,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.15,5.220744865492755,0.0
