case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D21E21_holdout,D21 x E21 holdout,4.0,4.0,0.2,0.07841235838014882,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,0.39,0.07342349834854067,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,0.5800000000000001,0.06825588427574214,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,0.77,0.06290843499491539,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,0.96,0.05738016217078812,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,1.15,0.051670171623273475,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,1.34,0.04577766453920873,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,1.53,0.03970193857035342,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,1.72,0.03344238881565609,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,1.91,0.026998508686335132,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,2.1,0.020369890652296885,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,2.29,0.01355622686893243,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,2.4800000000000004,0.00655730968330559,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,2.6700000000000004,0.0006269679807240358,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,2.8600000000000003,0.007996612358961652,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,3.0500000000000003,0.015551528704925932,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,3.24,0.02329152126931877,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,3.43,0.03121629340067411,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,3.62,0.03932544776639402,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,3.81,0.04761848669341573,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,4.0,0.056094812627371926,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,0.2,0.05559594147188385,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,0.39,0.051647647032895705,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,0.5800000000000001,0.047692618903315775,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,0.77,0.04373085916734709,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,0.96,0.03976236993378812,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,1.15,0.03578715333586402,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,1.34,0.0318052115312355,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,1.53,0.02781654670176259,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,1.72,0.0238211610540624,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,1.91,0.019819056818750624,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,2.1,0.015810236251313725,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,2.29,0.011794701631290039,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,2.4800000000000004,0.007772455262777811,0.0
