family,beta,metric_lo,metric_hi,objective,global_max_abs_delta_mu_mumu,d4p8_max_abs_delta_mu_mumu,d6p4_max_abs_delta_mu_mumu,d7p2_max_abs_delta_mu_mumu,d8p0_max_abs_delta_mu_mumu,d4p0_acceptance_mismatch
uniform,0.45,0.8,1.2,63.72708734956516,39.04344737107366,38.81205002699693,39.04344737107366,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.45,0.8,1.4,63.72708734956516,39.04344737107366,38.81205002699693,39.04344737107366,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.45,1.0,1.2,63.72708734956516,39.04344737107366,38.81205002699693,39.04344737107366,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.45,1.0,1.4,63.72708734956516,39.04344737107366,38.81205002699693,39.04344737107366,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.3,0.8,1.2,80.54979139416879,61.780353731590736,61.780353731590736,26.752248051093307,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.3,0.8,1.4,80.54979139416879,61.780353731590736,61.780353731590736,26.752248051093307,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.3,1.0,1.2,80.54979139416879,61.780353731590736,61.780353731590736,26.752248051093307,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.3,1.0,1.4,80.54979139416879,61.780353731590736,61.780353731590736,26.752248051093307,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.15,0.8,1.2,97.88592559476184,92.07151049849736,92.07151049849736,0.842202918466171,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.15,0.8,1.4,97.88592559476184,92.07151049849736,92.07151049849736,0.842202918466171,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.15,1.0,1.2,97.88592559476184,92.07151049849736,92.07151049849736,0.842202918466171,1.4225558630165218,1.9888941834723983,0.6097560975609756
uniform,0.15,1.0,1.4,97.88592559476184,92.07151049849736,92.07151049849736,0.842202918466171,1.4225558630165218,1.9888941834723983,0.6097560975609756
side,0.15,0.2,0.35,117.26194443230301,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
side,0.15,0.2,0.45,117.26194443230301,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
side,0.3,0.2,0.35,117.26194443230301,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
side,0.3,0.2,0.45,117.26194443230301,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
side,0.15,0.1,0.45,117.47544445078435,106.09235690795059,106.09235690795059,11.552547774642058,1.8796217939755029,2.0881277192139827,0.6097560975609756
side,0.15,0.1,0.35,117.56130259780278,106.09235690795059,106.09235690795059,11.552547774642058,2.0662144490784295,2.1273377024566784,0.6097560975609756
side,0.3,0.1,0.45,117.69032857454697,106.09235690795059,106.09235690795059,11.552547774642058,2.3492454069847795,2.1856059397242866,0.6097560975609756
side,0.3,0.1,0.35,117.86236281560647,106.09235690795059,106.09235690795059,11.552547774642058,2.7308825447828666,2.262230896334267,0.6097560975609756
