D,eta,mu_ee_full,mu_mumu_full,mu_tautau_full,chi2_mumu_full,mu_ee_cmp,mu_mumu_cmp,mu_tautau_cmp,chi2_mumu_cmp,risk_score,high_anchor_candidate,alpha_blend,B1_full,B2_full,B3_full,B1_cmp,B2_cmp,B3_cmp,yraw1_full,yraw2_full,yraw3_full,yraw1_cmp,yraw2_cmp,yraw3_cmp,m2_1_full,m2_2_full,m2_3_full,m2_1_cmp,m2_2_cmp,m2_3_cmp,log_B1_ratio,log_B2_ratio,log_B3_ratio,log_yraw1_ratio,log_yraw2_ratio,log_yraw3_ratio,log_m2_1_ratio,log_m2_2_ratio,log_m2_3_ratio,b_visibility_norm_score,yraw_operator_score,m2_spectrum_score,scenario,surface,risk_score_release_tuned,release_hotspot_candidate,abs_delta_mu_mumu_map,rel_delta_mu_mumu_map
4.0,0.2,0.4619154339007767,2.408283091800887,15.83323226008736,6.353967457572223,0.2315447795325771,0.9249524847276016,15.854877433304456,1.4104383860404972,0.388124029162458,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.388124029162458,False,1.4833306070732852,0.6159286722243552
4.0,0.295,0.4686463296869446,2.426537875766881,15.833017187880142,6.586125064899877,0.2349205427547747,0.9319706093459854,15.85478090516953,1.3690719407248009,0.3840769459686385,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3840769459686385,False,1.4945672664208955,0.615925793430508
4.0,0.39,0.475456426871268,2.444858483789307,15.832801247222957,6.823307819665558,0.2383360657128533,0.939014148957346,15.85468398329633,1.328174717884499,0.3803769010837359,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3803769010837359,False,1.5058443348319608,0.615922903029561
4.0,0.485,0.4823463334553497,2.463244330280558,15.832584443898336,7.065553161710952,0.2417916543442029,0.9460828796667426,15.85458667023248,1.2877547008227297,0.3770034968766537,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3770034968766537,False,1.5171614506138154,0.6159200010991253
4.0,0.5800000000000001,0.4893166572338103,2.481694821821148,15.832366783763524,7.312898047216783,0.2452876144954328,0.9531765745606618,15.854488968558758,1.2478198345083975,0.3739360562946648,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3739360562946648,False,1.5285182472604864,0.6159170877178243
4.0,0.675,0.4963680057225988,2.500209357237757,15.832148272749915,7.565378935959492,0.2488242518863968,0.96029500373668,15.85439088088885,1.208378023368288,0.3711546045369995,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3711546045369995,False,1.539914353501077,0.6159141629652893
4.0,0.77,0.5035009860870174,2.518787327683288,15.831928916862484,7.823031778654458,0.2524018720740741,0.967437934333911,15.854292409869098,1.1694371290832113,0.3686395645338772,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3686395645338772,False,1.5513493933493772,0.6159112269221498
4.0,0.865,0.5107162050694367,2.5374281167187394,15.8317087221792,8.085892004389615,0.2560207804162894,0.9746051305641432,15.85419355817827,1.131004968389685,0.3663718660345552,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3663718660345552,False,1.5628229861545961,0.6159082796700274
4.0,0.96,0.518014268916961,2.5561311003970992,15.83148769485041,8.353994508158797,0.2596812820354047,0.981796353743767,15.854094328527284,1.0930893108875523,0.364333039970816,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.364333039970816,False,1.5743347466533324,0.6159053212915241
4.0,1.055,0.5253957833088132,2.574895647349112,15.8312658410982,8.627373638499304,0.2633836817818673,0.9890113623264084,15.853994723658944,1.0556978768549663,0.3625052982586135,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3625052982586135,False,1.5858842850227033,0.6159023518702171
