surface,scenario,subset,n_points,mean_alpha_blend,p95_abs_delta_mu_mumu_map,max_abs_delta_mu_mumu_map,p95_b_visibility_norm_score,p95_yraw_operator_score,p95_m2_spectrum_score,corr_abs_delta_vs_b_visibility_norm,corr_abs_delta_vs_yraw_operator,corr_abs_delta_vs_m2_spectrum,dominant_component_share_b_visibility_norm,dominant_component_share_yraw_operator,dominant_component_share_m2_spectrum,probe_worst_D,probe_worst_eta,probe_worst_log_width_ratio,probe_worst_model_map_delta_residual,probe_anchor_log_width_ratio,probe_anchor_model_map_delta_residual,mean_abs_delta_runtime,mean_abs_delta_release_tuned,mean_abs_delta_reduction,p95_abs_delta_runtime,p95_abs_delta_release_tuned,p95_abs_delta_reduction,mean_b_visibility_runtime,mean_b_visibility_release_tuned,mean_b_visibility_reduction
D21E41,cell_direct_runtime_release,all,861,0.0,49.24365375031089,51.78203751000409,1.1873160101765035,0.9567334515614542,0.35685362504979,-0.13669242170619111,-0.07693529563635458,-0.12907051442726994,0.47619047619047616,0.38095238095238093,0.14285714285714285,6.4,4.0,0.5687880695585216,45.89637107203077,0.11484136235376427,0.49353426067839434,,,,,,,,,
D21E41,cell_direct_runtime_release,release_hotspot,44,0.0,51.399582482931216,51.77971966919439,0.3593286751241184,0.38361072313930594,0.18893978935417788,-0.9997531005756082,0.9997531005756082,-0.9997531005756082,0.9318181818181818,0.06818181818181818,0.0,6.4,4.0,0.5687880695585216,45.89637107203077,0.11484136235376427,0.49353426067839434,,,,,,,,,
D21E41,cell_direct_runtime_release,release_nonhotspot,817,0.0,4.9833356084413705,51.78203751000409,1.2061339228600965,0.9753610992426971,0.3652580063141081,-0.1156286833086467,-0.026572439330952012,-0.1565708520192882,0.45165238678090575,0.397796817625459,0.15055079559363524,6.4,4.0,0.5687880695585216,45.89637107203077,0.11484136235376427,0.49353426067839434,,,,,,,,,
D21E41,cell_direct_runtime_release_tuned,all,861,0.9663091926332945,0.07727803478210227,0.09248147357842207,2.1632664184785617,0.02195518928919058,0.006400779602091832,0.4090381563433819,-0.032078734870498914,0.7254796709283413,1.0,0.0,0.0,7.2,4.0,0.003331002926325418,0.07832425627129158,0.003331012991102039,0.07832415703655116,,,,,,,,,
D21E41,cell_direct_runtime_release_tuned,release_hotspot,44,0.9899704702642134,0.027649232425294556,0.027650210487223603,2.1942714250546733,0.004289884517036448,0.002082309648208195,-0.9999891579776976,0.9999891579776978,0.9999891579776978,1.0,0.0,0.0,7.2,4.0,0.003331002926325418,0.07832425627129158,0.003331012991102039,0.07832415703655116,,,,,,,,,
D21E41,cell_direct_runtime_release_tuned,release_nonhotspot,817,0.9650349010595364,0.0803726121806083,0.09248147357842207,1.863338928418945,0.02325212347016024,0.00944720561762403,0.40110723806304344,-0.015251957126882262,0.7323991267450914,1.0,0.0,0.0,7.2,4.0,0.003331002926325418,0.07832425627129158,0.003331012991102039,0.07832415703655116,,,,,,,,,
D60E21,cell_direct_runtime_release,all,1260,0.0,29.475100352385148,59.253455241874946,1.1317469454857148,0.8698340662352999,0.48348569912631933,0.17725907876898658,0.05347494797159345,-0.09878395172946888,0.5166666666666667,0.18333333333333332,0.3,5.898305084745763,4.0,1.4283916508878103,4.596238056819857e-08,-0.22730841234367852,1.145105965605353e-08,,,,,,,,,
D60E21,cell_direct_runtime_release,release_hotspot,63,0.0,29.99557963205532,29.995785163806048,0.8551360925985246,0.6847353369205722,0.4402460369403252,-0.9476615279979497,-0.6406268570785868,0.4978176330371367,1.0,0.0,0.0,5.898305084745763,4.0,1.4283916508878103,4.596238056819857e-08,-0.22730841234367852,1.145105965605353e-08,,,,,,,,,
D60E21,cell_direct_runtime_release,release_nonhotspot,1197,0.0,12.706392787553666,59.253455241874946,1.141390428034858,1.0249963627654117,0.48759761835435317,0.15736913784515633,0.027974046548196917,-0.08681704000240707,0.49122807017543857,0.19298245614035087,0.3157894736842105,5.898305084745763,4.0,1.4283916508878103,4.596238056819857e-08,-0.22730841234367852,1.145105965605353e-08,,,,,,,,,
D60E21,cell_direct_runtime_release_tuned,all,1260,0.9629191069703544,0.42581035413699664,0.8372691708785638,2.105411892664316,0.025308066945208905,0.0073435990666202615,0.6084185054099567,-0.09374782120823955,0.14377762350122722,1.0,0.0,0.0,6.4406779661016955,4.0,0.0007808776478922256,4.046791985956588e-07,-0.0024473679036835917,2.3163164719619544e-09,,,,,,,,,
D60E21,cell_direct_runtime_release_tuned,release_hotspot,63,0.9844958504641941,0.8372624627212467,0.8372691708785638,2.173265728674937,0.013053965940945943,0.0021609772196254915,0.5158663592372945,-0.6663420893768387,-0.337373843755955,1.0,0.0,0.0,6.4406779661016955,4.0,0.0007808776478922256,4.046791985956588e-07,-0.0024473679036835917,2.3163164719619544e-09,,,,,,,,,
D60E21,cell_direct_runtime_release_tuned,release_nonhotspot,1197,0.9617834888917315,0.15625916761771635,0.6975992806659228,1.9692936161149468,0.02807629015206018,0.00749444954590483,0.44663148484830895,-0.06248940604425508,0.2248774578241354,1.0,0.0,0.0,6.4406779661016955,4.0,0.0007808776478922256,4.046791985956588e-07,-0.0024473679036835917,2.3163164719619544e-09,,,,,,,,,
D21E41,runtime_vs_release_tuned,all,861,0.9663091926332945,,,,,,,,,,,,,,,,,,5.234483890867215,0.012584646647021384,5.221899244220193,49.24365375031089,0.07727803478210227,49.21600444964373,0.5050344304660962,1.5895401434487055,-1.0845057129826094
D21E41,runtime_vs_release_tuned,release_hotspot,44,0.9899704702642134,,,,,,,,,,,,,,,,,,49.39551546100075,0.027338955112434057,49.3681765058883,51.399582482931216,0.027649232425294556,51.37570711814527,0.35207490168454886,2.1657534510916188,-1.8136785494070695
D21E41,runtime_vs_release_tuned,release_nonhotspot,817,0.9650349010595364,,,,,,,,,,,,,,,,,,2.8561664011660213,0.011790044967121558,2.8443763561989,4.9833356084413705,0.0803726121806083,4.906084527012848,0.5132721529463754,1.558507847810654,-1.0452356948642787
D60E21,runtime_vs_release_tuned,all,1260,0.9629191069703544,,,,,,,,,,,,,,,,,,4.133137590467336,0.05824493474983887,4.074892655717497,29.475100352385148,0.42581035413699664,28.97998971841887,0.49658745241348107,1.5713757847027432,-1.0747883322892622
D60E21,runtime_vs_release_tuned,release_hotspot,63,0.9844958504641941,,,,,,,,,,,,,,,,,,25.737535346508714,0.5790913387477593,25.15844400776095,29.99557963205532,0.8372624627212467,29.158317169334076,0.6653992872434092,2.0443467141403935,-1.3789474268969841
