pair,lhs_family,rhs_family,layer,D,eta,amp_eff_lhs,amp_eff_rhs,amp_ref_eff_lhs,amp_ref_eff_rhs,partial_ratio_lhs,partial_ratio_rhs,width_ratio_lhs,width_ratio_rhs,mu_lhs,mu_rhs,mu_identity_residual_lhs,mu_identity_residual_rhs,delta_log_amp_point,delta_log_amp_ref,delta_log_partial,delta_log_width,delta_log_mu,delta_mu,path_closure_residual,acceptance_mismatch
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,0.2,0.00016328794601215666,0.00016328794601215666,1.0744892977952553e-05,1.0744892977952553e-05,230.9426069242374,230.9426069242374,539.8938642809987,539.8938642809987,0.4277555686464305,0.4277555686464305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.0,0.2,0.0014804778760172169,0.0014804778760172169,4.874513847058988e-05,4.874513847058988e-05,922.4465834335901,922.4465834335901,539.8938642809987,539.8938642809987,1.708570229191351,1.708570229191351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.0,0.2,0.00034459332653744403,0.00034459332653744403,2.7397481066954424e-06,2.7397481066954424e-06,15819.489120700891,15819.489120700891,539.8938642809987,539.8938642809987,29.301109287041864,29.301109287041864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,1,4.0,0.2,0.00016575420093392973,0.00016328794601215666,1.073010106065056e-05,1.0744892977952553e-05,238.62803418918878,230.9426069242374,533.2996406990658,539.8938642809987,0.44745583154038454,0.4277555686464305,0.0,0.0,0.0149907914837733,-0.0013775947611165905,0.0327367724897795,-0.012289128737553983,0.04502590122733343,0.019700262893954046,-4.85722573273506e-17,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,2,4.0,0.2,0.0015028385949034486,0.0014804778760172169,4.867803365543615e-05,4.874513847058988e-05,953.1442369983155,922.4465834335901,533.2996406990658,539.8938642809987,1.787258352075588,1.708570229191351,0.0,0.0,0.014990791524460185,-0.0013775947611184805,0.032736772571157216,-0.012289128737553983,0.04502590130871126,0.0786881228842371,5.551115123125783e-17,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,3,4.0,0.2,0.0003349761998554287,0.00034459332653744403,2.7585842675220124e-06,2.7397481066954424e-06,14745.360427997106,15819.489120700891,533.2996406990658,539.8938642809987,27.649297510623537,29.301109287041864,0.0,0.0,-0.028305473989893245,0.006851617265967379,-0.07031418251172133,-0.012289128737553983,-0.058025053774167466,-1.6518117764183273,-1.1796119636642288e-16,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,1,4.0,0.2,0.00016575420093392973,0.00016328794601215666,1.073010106065056e-05,1.0744892977952553e-05,238.62803418918878,230.9426069242374,533.2996406990658,539.8938642809987,0.44745583154038454,0.4277555686464305,0.0,0.0,0.0149907914837733,-0.0013775947611165905,0.0327367724897795,-0.012289128737553983,0.04502590122733343,0.019700262893954046,-4.85722573273506e-17,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,2,4.0,0.2,0.0015028385949034486,0.0014804778760172169,4.867803365543615e-05,4.874513847058988e-05,953.1442369983155,922.4465834335901,533.2996406990658,539.8938642809987,1.787258352075588,1.708570229191351,0.0,0.0,0.014990791524460185,-0.0013775947611184805,0.032736772571157216,-0.012289128737553983,0.04502590130871126,0.0786881228842371,5.551115123125783e-17,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,3,4.0,0.2,0.0003349761998554287,0.00034459332653744403,2.7585842675220124e-06,2.7397481066954424e-06,14745.360427997106,15819.489120700891,533.2996406990658,539.8938642809987,27.649297510623537,29.301109287041864,0.0,0.0,-0.028305473989893245,0.006851617265967379,-0.07031418251172133,-0.012289128737553983,-0.058025053774167466,-1.6518117764183273,-1.1796119636642288e-16,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,0.6,0.00016662024005912124,0.00016662024005912124,1.0744892977952553e-05,1.0744892977952553e-05,240.46469558403396,240.46469558403396,529.0736264647921,529.0736264647921,0.4545013842228176,0.4545013842228176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.0,0.6,0.0014889075549256335,0.0014889075549256335,4.874513847058988e-05,4.874513847058988e-05,932.9811091803808,932.9811091803808,529.0736264647921,529.0736264647921,1.7634239593730103,1.7634239593730103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.0,0.6,0.00034111391084756137,0.00034111391084756137,2.7397481066954424e-06,2.7397481066954424e-06,15501.637975977164,15501.637975977164,529.0736264647921,529.0736264647921,29.29958554078246,29.29958554078246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,1,4.0,0.6,0.00016910298873250128,0.00016662024005912124,1.073010106065056e-05,1.0744892977952553e-05,248.36760079544774,240.46469558403396,522.5751964132062,529.0736264647921,0.47527629037919483,0.4545013842228176,0.0,0.0,0.014790718793984936,-0.0013775947611165905,0.03233662711020295,-0.012358712572074979,0.04469533968227802,0.020774906156377226,9.020562075079397e-17,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,2,4.0,0.6,0.0015110932351630989,0.0014889075549256335,4.867803365543615e-05,4.874513847058988e-05,963.643662179883,932.9811091803808,522.5751964132062,529.0736264647921,1.8440287039913752,1.7634239593730103,0.0,0.0,0.014790719231926238,-0.0013775947611184805,0.03233662798608938,-0.012358712572074979,0.04469534055816417,0.08060474461836487,-1.8735013540549517e-16,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,3,4.0,0.6,0.00033152755390959086,0.00034111391084756137,2.7585842675220124e-06,2.7397481066954424e-06,14443.310525723706,15501.637975977164,522.5751964132062,529.0736264647921,27.63872190042333,29.29958554078246,0.0,0.0,-0.028505545853413153,0.006851617265967379,-0.07071432623876137,-0.012358712572074979,-0.05835561366668633,-1.6608636403591284,5.551115123125783e-17,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,1,4.0,0.6,0.00016910298873250128,0.00016662024005912124,1.073010106065056e-05,1.0744892977952553e-05,248.36760079544774,240.46469558403396,522.5751964132062,529.0736264647921,0.47527629037919483,0.4545013842228176,0.0,0.0,0.014790718793984936,-0.0013775947611165905,0.03233662711020295,-0.012358712572074979,0.04469533968227802,0.020774906156377226,9.020562075079397e-17,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,2,4.0,0.6,0.0015110932351630989,0.0014889075549256335,4.867803365543615e-05,4.874513847058988e-05,963.643662179883,932.9811091803808,522.5751964132062,529.0736264647921,1.8440287039913752,1.7634239593730103,0.0,0.0,0.014790719231926238,-0.0013775947611184805,0.03233662798608938,-0.012358712572074979,0.04469534055816417,0.08060474461836487,-1.8735013540549517e-16,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,3,4.0,0.6,0.00033152755390959086,0.00034111391084756137,2.7585842675220124e-06,2.7397481066954424e-06,14443.310525723706,15501.637975977164,522.5751964132062,529.0736264647921,27.63872190042333,29.29958554078246,0.0,0.0,-0.028505545853413153,0.006851617265967379,-0.07071432623876137,-0.012358712572074979,-0.05835561366668633,-1.6608636403591284,5.551115123125783e-17,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,1.0,0.00016996596172585754,0.00016996596172585754,1.0744892977952553e-05,1.0744892977952553e-05,250.21867711185342,250.21867711185342,518.5021056528425,518.5021056528425,0.4825798668586018,0.4825798668586018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.0,1.0,0.0014970377069592079,0.0014970377069592079,4.874513847058988e-05,4.874513847058988e-05,943.1979797609877,943.1979797609877,518.5021056528425,518.5021056528425,1.8190822553621329,1.8190822553621329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.0,1.0,0.0003376798577500963,0.0003376798577500963,2.7397481066954424e-06,2.7397481066954424e-06,15191.093662003053,15191.093662003053,518.5021056528425,518.5021056528425,29.298036587288397,29.298036587288397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,1,4.0,1.0,0.00017246489801961472,0.00016996596172585754,1.073010106065056e-05,1.0744892977952553e-05,258.3412800827543,250.21867711185342,512.0987668142571,518.5021056528425,0.5044754973535349,0.4825798668586018,0.0,0.0,0.014595534162686583,-0.0013775947611165905,0.0319462578476063,-0.012426578338251585,0.04437283618585786,0.021895630494933094,-2.7755575615628914e-17,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,2,4.0,1.0,0.0015190480085245884,0.0014970377069592079,4.867803365543615e-05,4.874513847058988e-05,973.816090309955,943.1979797609877,512.0987668142571,518.5021056528425,1.90161772184694,1.8190822553621329,0.0,0.0,0.014595534993065656,-0.0013775947611184805,0.03194625950836814,-0.012426578338251585,0.04437283784661985,0.08253546648480703,1.249000902703301e-16,0.0
