D,policy,rho_max,z_max,dr,dz,grid_sup_abs_dD_U,closed_form_sup_abs_dD_U_bound,closed_form_over_grid_ratio,fd_h,fd_max_abs_error,fd_max_rel_error_vs_grid_sup,closed_form_dominates_grid
4.0,fixed_box,3.0,16.0,0.06,0.03,59.62128118447324,475.9591007665789,7.983040473315586,0.0001,3.0215245068632157e-05,5.067862425690527e-07,True
4.0,g1_varying_box,3.0,8.0,0.06,0.03,59.62128118447308,475.9591007665789,7.983040473315608,0.0001,3.0215245068632157e-05,5.067862425690541e-07,True
4.8,fixed_box,3.0,16.0,0.06,0.03,57.66855826944381,475.9591007665789,8.253355295319912,0.0001,3.0256099208259002e-05,5.246550306822992e-07,True
4.8,g1_varying_box,3.0,8.4,0.06,0.03,59.68976043900531,475.9591007665789,7.973881906477801,0.0001,2.3641278929176224e-05,3.960692546812002e-07,True
5.6,fixed_box,3.0,16.0,0.06,0.03,59.739269097720694,475.9591007665789,7.9672735866254305,0.0001,3.027953804490835e-05,5.068615418675024e-07,True
5.6,g1_varying_box,3.0,8.8,0.06,0.03,59.739269097720694,475.9591007665789,7.9672735866254305,0.0001,3.027953804490835e-05,5.068615418675024e-07,True
6.4,fixed_box,3.0,16.0,0.06,0.03,59.77672819039611,475.9591007665789,7.962280893838678,0.0001,3.0293974468520446e-05,5.067854227824325e-07,True
6.4,g1_varying_box,3.0,9.2,0.06,0.03,59.77672819039625,475.9591007665789,7.962280893838661,0.0001,3.0293974468520446e-05,5.067854227824313e-07,True
7.2,fixed_box,3.0,16.0,0.06,0.03,57.77895601571183,475.9591007665789,8.237585681491915,0.0001,3.031100428785294e-05,5.246028377461592e-07,True
7.2,g1_varying_box,3.0,9.6,0.06,0.03,59.806058155962575,475.9591007665789,7.958376048215217,0.0001,2.3682938603997172e-05,3.959956454952552e-07,True
8.0,fixed_box,3.0,16.0,0.06,0.03,59.82964552592329,475.9591007665789,7.955238520682075,0.0001,3.0322075872390997e-05,5.068068781930673e-07,True
8.0,g1_varying_box,3.0,10.0,0.06,0.03,59.82964552592329,475.9591007665789,7.955238520682075,0.0001,3.032205145103717e-05,5.068064700115777e-07,True
8.8,fixed_box,3.0,16.0,0.06,0.03,59.84902611657167,475.9591007665789,7.9526624182576295,0.0001,3.032943433112223e-05,5.067657119774632e-07,True
8.8,g1_varying_box,3.0,10.4,0.06,0.03,59.84902611657167,475.9591007665789,7.9526624182576295,0.0001,3.0329445422694334e-05,5.067658973033209e-07,True
9.6,fixed_box,3.0,16.0,0.06,0.03,57.83516446962148,475.9591007665789,8.229579791660855,0.0001,3.033874980218343e-05,5.245727245769168e-07,True
9.6,g1_varying_box,3.0,10.8,0.06,0.03,59.86523300772635,475.9591007665789,7.950509450203768,0.0001,2.3704113282008166e-05,3.959579223378092e-07,True
10.4,fixed_box,3.0,16.0,0.06,0.03,59.87898665899572,475.9591007665789,7.948683291471078,0.0001,3.0345188555713776e-05,5.067752520350137e-07,True
10.4,g1_varying_box,3.0,11.2,0.06,0.03,59.87898665899586,475.9591007665789,7.94868329147106,0.0001,3.034517517619406e-05,5.067750285923582e-07,True
11.2,fixed_box,3.0,16.0,0.06,0.03,59.890804829969234,475.9591007665789,7.947114788619604,0.0001,3.034965675396961e-05,5.067498565119082e-07,True
11.2,g1_varying_box,3.0,11.6,0.06,0.03,59.890804829969234,475.9591007665789,7.947114788619604,0.0001,3.034965675396961e-05,5.067498565119082e-07,True
12.0,fixed_box,3.0,16.0,0.06,0.03,57.86921509203033,475.9591007665789,8.224737453405124,0.0001,3.035549606522636e-05,5.245534437775169e-07,True
12.0,g1_varying_box,3.0,12.0,0.06,0.03,59.901069174171134,475.9591007665789,7.9457530112302015,0.0001,2.3716918029492717e-05,3.9593480310897797e-07,True
12.8,fixed_box,3.0,16.0,0.06,0.03,59.91006720029415,475.9591007665789,7.944559620928651,0.0001,3.0359693155901368e-05,5.0675445003928e-07,True
12.8,g1_varying_box,3.0,12.4,0.06,0.03,59.91006720029415,475.9591007665789,7.944559620928651,0.0001,3.035969094611346e-05,5.067544131541952e-07,True
13.6,fixed_box,3.0,16.0,0.06,0.03,59.91801961254811,475.9591007665789,7.943505206685819,0.0001,3.036272497780601e-05,5.067377923059295e-07,True
13.6,g1_varying_box,3.0,12.8,0.06,0.03,59.91801961254796,475.9591007665789,7.943505206685838,0.0001,3.0362691667562558e-05,5.067372363756168e-07,True
14.4,fixed_box,3.0,16.0,0.06,0.03,57.892051717459694,475.9591007665789,8.221493048639596,0.0001,3.0366736396558736e-05,5.245406838362306e-07,True
14.4,g1_varying_box,3.0,13.2,0.06,0.03,59.92509864697157,475.9591007665789,7.942566829477091,0.0001,2.3725516513195544e-05,3.959195236868343e-07,True
15.2,fixed_box,3.0,16.0,0.06,0.03,59.93144068298279,475.9591007665789,7.941726335000736,0.0001,3.0369689810072487e-05,5.067405265746565e-07,True
15.2,g1_varying_box,3.0,13.6,0.06,0.03,59.93144068298279,475.9591007665789,7.941726335000736,0.0001,3.036968760028458e-05,5.06740489702726e-07,True
16.0,fixed_box,3.0,16.0,0.06,0.03,59.93715511210303,475.9591007665789,7.940969168062318,0.0001,3.0371805124218554e-05,5.067275059587474e-07,True
16.0,g1_varying_box,3.0,14.0,0.06,0.03,59.93715511210289,475.9591007665789,7.940969168062336,0.0001,3.0371842854037823e-05,5.067281354484065e-07,True
16.8,fixed_box,3.0,16.0,0.06,0.03,57.908430483992724,475.9591007665789,8.219167689204518,0.0001,3.0374763383633763e-05,5.245309384102558e-07,True
16.8,g1_varying_box,3.0,14.4,0.06,0.03,59.9423306986156,475.9591007665789,7.940283522835582,0.0001,2.3731678872707107e-05,3.9590851066548874e-07,True
17.6,fixed_box,3.0,16.0,0.06,0.03,59.94704022236278,475.9591007665789,7.939659723000403,0.0001,3.0376949027299815e-05,5.067297553744435e-07,True
17.6,g1_varying_box,3.0,14.8,0.06,0.03,59.94704022236278,475.9591007665789,7.939659723000403,0.0001,3.0376949027299815e-05,5.067297553744435e-07,True
