D,lambda1,lambda2,lambda3,gap12,gap23,A00,A01,A02,A10,A11,A12,A20,A21,A22,sigma1,sigma2,sigma3,sigma_min,det_abs,cond,rank,tail_basis0,tail_basis1,tail_basis2,tail_max,proj_min,proj_max,invertible_pass,strong_tail_pass,row_pass
4.0,0.7359089334327868,0.8355420903544075,1.02491356144823,0.09963315692162067,0.18937147109382257,0.998116549669334,-0.0012400182461786225,0.055556457896991804,0.0013122441657040355,0.9987156695524786,-0.0017127057103238632,-0.055897126730053946,0.0015600099490665367,0.9827447075389225,0.9996858498488475,0.9987186297568612,0.9843097739687583,0.9843097739687583,0.9827396838767611,1.0156211756570215,3,0.02524168209049588,0.050626476413556526,0.17641821456223622,0.17641821456223622,0.9688766135706728,0.9993628574852423,True,True,True
4.8,0.7288862929173103,0.8215569493414492,0.9889954921757056,0.09267065642413885,0.1674385428342564,0.9985492513729386,-8.89187269821623e-14,0.0470486726549358,9.025579220632574e-14,0.998906598197347,-2.121263234511339e-14,0.04642251274192281,-2.384068420110963e-14,-0.9832903682454636,0.999657175423249,0.9989065981973471,0.9843854502248766,0.9843854502248766,0.9829720188657358,1.0155139688369872,3,0.027282648208521967,0.04675048746060411,0.17585924518520304,0.17585924518520304,0.9690735258828906,0.99925565710673,True,True,True
5.6,0.7224393313380941,0.8093995500788578,0.9582383065824134,0.08696021874076365,0.1488387565035556,0.9989339766113892,0.0010510288829938615,0.036813296850369985,0.0011001664039756568,-0.9990396852797563,-0.001693099556357173,0.035231531602127185,0.0015501643642391535,-0.9839321448726596,0.9996303997175414,0.999041997384558,0.9845456128571033,0.9845456128571033,0.9832388758543373,1.0153215723715052,3,0.0298066970026622,0.04377441678488199,0.17469816505958652,0.17469816505958652,0.9694805511248135,0.9991115608137915,True,True,True
6.4,0.7166248225287692,0.7991451524254127,0.9327388291448655,0.08252032989664349,0.13359367671945277,-0.9992587572543931,0.0009605977641661558,-0.023687650923891603,0.0009886667867540434,0.999019054768431,-0.0016930832210332392,-0.02132127083505634,0.001535501732068029,0.9839857262987528,0.9996057784318809,0.9990211666117106,0.9841508357918585,0.9841508357918585,0.9827999223703227,1.0157038353044605,3,0.03203688496668986,0.044245312700408906,0.17665819851688289,0.17665819851688289,0.9687918808967696,0.9989736380016311,True,True,True
7.2,0.7111376409329686,0.7895354065575388,0.9098906462267788,0.07839776562457024,0.12035523966924,0.9993733290114822,-2.4223678618540134e-14,0.011576598039587277,2.4238423768085937e-14,0.9990535661022544,-8.351392494221344e-15,0.008412075439374129,-7.473622415377079e-15,-0.9846275335057495,0.9995915434531869,0.999053566102254,0.9845100087705313,0.9845100087705313,0.9831764861561211,1.0153188231184056,3,0.0343829354085704,0.04349680515128026,0.17428311059943233,0.17428311059943233,0.969625397359786,0.9988178137526901,True,True,True
8.0,0.7060786762006757,0.7808718904158027,0.890105588635145,0.07479321421512708,0.10923369821934226,-0.9993255957633286,-0.0007914259005760307,0.0008831614713805503,-0.0007839596344274067,0.999015345105357,0.0016602933419861375,0.00472043777687226,-0.0014964775541440743,0.985139775698954,0.9995848909545114,0.9990171050583211,0.9848897668358362,0.9848897668358362,0.9835132888583553,1.0149205775240069,3,0.036406819783587833,0.04433367167287404,0.17174424528248022,0.17174424528248022,0.9705039142123513,0.9986745434732454,True,True,True
8.8,0.7014845758182582,0.7733121250506032,0.8735285896544129,0.07182754923234502,0.10021646460380973,-0.9991118700718711,0.0007170586456767989,0.014737594588305867,-0.0006870813371421658,-0.9987960817444713,0.001637350493694802,-0.019070877576432388,-0.0014569612645801025,-0.98488478379912,0.999578896543045,0.9987977682751036,0.9847070182711889,0.9847070182711889,0.9831090072462638,1.0151028458169884,3,0.03756728136543131,0.04902805505691081,0.1725748678981736,0.1725748678981736,0.9702179149699279,0.9985886993708105,True,True,True
9.6,0.6971714776157556,0.7660466728709519,0.8583549285020677,0.06887519525519625,0.09230825563111589,0.9987476727165058,1.9618204630256209e-13,-0.026871378962011423,-1.958435583843121e-13,0.9985829858073384,2.6193023444642805e-14,-0.03164627303162248,1.6534733651707434e-14,-0.9850434192939561,0.9995831273468355,0.9985829858073384,0.9850708506389765,0.9850708506389765,0.9832649240593848,1.014732216163381,3,0.03875047930763545,0.053216730979091346,0.17019809369775954,0.17019809369775954,0.9710326089016487,0.9984984003534285,True,True,True
10.4,0.6931953315764114,0.7593397162358342,0.8449575346912694,0.06614438465942274,0.08561781845543526,-0.9982626060919918,-0.000586209650975697,0.038567624283867466,-0.0005232392353583557,0.9982528086120507,0.0015543321862563188,0.04367730749141123,-0.0013597587379382463,0.9849785943139212,0.9995895831982048,0.9982543691236382,0.9853571244545202,0.9853571244545202,0.9832333534597394,1.0144439598501542,3,0.039544763362905085,0.05906892171499478,0.16830713339583978,0.16830713339583978,0.971672708848075,0.9984362116905718,True,True,True
11.2,0.6895727290607241,0.7533412727177156,0.8335422519453772,0.06376854365699147,0.08020097922766167,-0.9976423256917842,0.000531147701095358,0.05080693470945021,-0.0004510013178803216,-0.9976657206298067,0.001503793058681179,-0.056139533692360535,-0.0012909677008187377,-0.9841181829231859,0.9995910373411578,0.9976672838192309,0.9850537306789545,0.9850537306789545,0.982353969444835,1.0147578819402912,3,0.03947074033893183,0.0682726970664224,0.17008173338672544,0.17008173338672544,0.9710722039681668,0.9984420606570966,True,True,True
12.0,0.6861864751124938,0.7475102882143452,0.8228303945121627,0.06132381310185142,0.07532010629781749,0.9969882587687185,1.447518320485397e-15,-0.06119695754441184,-3.8033812210791496e-15,0.9970586379926587,-1.0293090164925633e-14,-0.06670349075633598,-7.698485945950573e-15,-0.9836369528544558,0.9995964129795637,0.9970586379926586,0.985154139002442,0.985154139002442,0.9818600180950482,1.0146599130078728,3,0.03956079117305544,0.07664249737726667,0.1694499258380139,0.1694499258380139,0.9712867226334916,0.9984349438017619,True,True,True
12.8,0.6830638620518137,0.7420539290605246,0.8131709891437326,0.0589900670087109,0.07111706008320806,-0.996291063104931,-0.0004365273543480711,0.07089296953452995,-0.00033556356465505344,0.996298416366021,0.001379000824267643,0.076506652533468,-0.001145224728604577,0.9829437247197407,0.9995980079353113,0.9963000171162832,0.9851180023841066,0.9851180023841066,0.981078538245919,1.0146987523486133,3,0.039379399341074046,0.0859532631768483,0.16968771099106006,0.16968771099106006,0.9712060807386145,0.9984492629075362,True,True,True
13.6,0.6802096145824321,0.7370921915472866,0.8047855402175816,0.05688257696485444,0.06769334867029508,0.9955151240694411,-0.0003974355964709843,-0.08077084554941243,0.00028703593507358247,0.9952170681895451,-0.0013121585785782896,0.0864264837376931,0.0010588757839405823,0.9814902111809936,0.9995927046958105,0.9952187877090735,0.984469882183029,0.984469882183029,0.9793638698446613,1.015361386657403,3,0.03847100555113554,0.09768166670991543,0.17364133754664063,0.17364133754664063,0.9698486858950136,0.9985199817318845,True,True,True
14.4,0.6775461771709872,0.7322577533017809,0.796744138453024,0.05471157613079369,0.06448638515124316,0.9947891836197399,9.430965123430335e-14,-0.08899304405502956,-1.0703894368080391e-13,0.9941435718348116,4.808436634973212e-16,-0.09465341455452601,7.0271479607475484e-15,-0.9804258054069918,0.9995861973339865,0.9941435718348117,0.9841477250043154,0.9841477250043154,0.9779792765856321,1.0156871493348252,3,0.037884182270975536,0.10806737981242404,0.1756288080067479,0.1756288080067479,0.9691545217981289,0.9985647887336595,True,True,True
15.2,0.6750856516280721,0.727703628415973,0.7893558093917079,0.05261797678790092,0.06165218097573488,-0.9940726431306233,-0.00033041594242534374,0.09654255973792569,-0.0002122772577702822,0.9929255227124939,0.0011713479679454123,0.10216180457940155,-0.0008943428360027169,0.9791771263993844,0.9995748296527294,0.9929275623450121,0.9836534961539138,0.9836534961539138,0.9762814056666883,1.016185916647547,3,0.03718199567993214,0.118734987776634,0.1785786024120223,0.1785786024120223,0.9681096827605689,0.9986174991972575,True,True,True
16.0,0.6728274944424808,0.7235184066641402,0.7828254618572632,0.050690912221659445,0.05930705519312296,0.9933151124829567,-0.0003028568751062984,-0.10416358198449674,-0.00018174320744923818,-0.991374017428091,0.0011019045327219728,-0.10968805111513599,-0.0008069694161110454,-0.9771950352724535,0.999560547392436,0.9913763303169555,0.9825185425114833,0.9825185425114833,0.9736175802526635,1.017345224688982,3,0.035966452771172504,0.1310603473464112,0.18503674508980136,0.18503674508980136,0.9657614029665719,0.998706414275059,True,True,True
16.8,0.6707191581296017,0.7194502665135476,0.7764650120267089,0.0487311083839459,0.057014745513161325,0.9926460520204708,-1.9508288214009628e-13,-0.11042037426573197,-1.6814327707947996e-13,-0.9899059916112524,2.3197459578239155e-13,0.11582037501999483,1.995014396738437e-13,0.9756159745655212,0.999543812523966,0.9899059916112526,0.9816781038543505,0.9816781038543505,0.9713257279747899,1.018199151635826,3,0.03520591056059317,0.141725536767878,0.18968608573003995,0.18968608573003995,0.9640191888804159,0.9987605438615995,True,True,True
17.6,0.6687655269338149,0.7156075822656196,0.7705346354770417,0.046842055331804744,0.054927053211422106,0.9920093592894248,0.00025519856200098334,-0.11612116900611855,0.00013560790897517618,-0.9883430863449298,-0.000967311503442753,0.12135527507493318,-0.0006528461961672819,0.9738727127518076,0.9995252813503961,0.9883459836081215,0.9806461077313664,0.9806461077313664,0.9687575362270904,1.0192517703075423,3,0.034500868165411876,0.1522414278037246,0.19515859646590772,0.19515859646590772,0.961913122225457,0.9988096900958329,True,True,True
18.4,0.6669643237777252,0.7120526327566103,0.7652088668167862,0.04508830897888516,0.05315623406017589,0.9913494946118416,-0.0002355678764721754,-0.12188121608020507,0.00011700729709813911,0.9864811624789614,-0.0009043458138515294,-0.12688497901321527,-0.0005769463950221483,-0.9714085618028321,0.9995096304166464,0.986484356896709,0.9789477306082836,0.9789477306082836,0.9652430644068097,1.02100408343108,3,0.033561405556898544,0.16387351132745584,0.20373894419480204,0.20373894419480204,0.9584904426183873,0.9988736320570454,True,True,True
19.200000000000003,0.6652792876061804,0.7086107128966834,0.7599747381471427,0.043331425290503045,0.051364025250459244,0.9907869590538537,7.273442102512934e-14,-0.12655621475139364,-6.863205750246015e-14,0.9847901951880702,1.816889466568078e-13,-0.13130968879347474,1.7089579534487753e-13,-0.9693689078003985,0.9994919620404692,0.9847901951880704,0.977552763446073,0.977552763446073,0.9621952965142742,1.022442981509311,3,0.03315067718430391,0.17374772361513846,0.2104933374186974,0.2104933374186974,0.9556925549023384,0.9989010326022221,True,True,True
20.0,0.6637121040063336,0.7053563675545194,0.7550432573166097,0.041644263548185734,0.04968688976209035,0.9902618403905624,0.00020115084018388274,-0.13080204586079008,8.904170680562441e-05,-0.9830667331730253,-0.0007877238348854089,-0.13526345353895042,0.0004505831610058452,-0.9671874799351875,0.9994754028411752,0.9830703343746044,0.9759703999227656,0.9759703999227656,0.9589442239343868,1.0240837252034178,3,0.032943552853128666,0.18324725002485137,0.21780400121763835,0.21780400121763835,0.952561417053587,0.9989147223254131,True,True,True
