summand,partner,degree,partner_degree,chi_summand,chi_partner,net_chiral_index,h0_summand,h1_summand,h0_partner,h1_partner,paired_zero_count,mass_floor,bochner_floor,gap_lower_bound,row_pass,interpretation
O(-6),K tensor O(-6)^* = O(4),-6,4,-5,5,0,0,5,5,0,5,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(-5),K tensor O(-5)^* = O(3),-5,3,-4,4,0,0,4,4,0,4,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(-4),K tensor O(-4)^* = O(2),-4,2,-3,3,0,0,3,3,0,3,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(-3),K tensor O(-3)^* = O(1),-3,1,-2,2,0,0,2,2,0,2,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(-2),K tensor O(-2)^* = O(0),-2,0,-1,1,0,0,1,1,0,1,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(-1),K tensor O(-1)^* = O(-1),-1,-1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(0),K tensor O(0)^* = O(-2),0,-2,1,-1,0,1,0,0,1,1,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(1),K tensor O(1)^* = O(-3),1,-3,2,-2,0,2,0,0,2,2,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(2),K tensor O(2)^* = O(-4),2,-4,3,-3,0,3,0,0,3,3,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(3),K tensor O(3)^* = O(-5),3,-5,4,-4,0,4,0,0,4,4,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(4),K tensor O(4)^* = O(-6),4,-6,5,-5,0,5,0,0,5,5,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(5),K tensor O(5)^* = O(-7),5,-7,6,-6,0,6,0,0,6,6,1.0,1.0,1.0,True,vectorlike_pair_gapped
O(6),K tensor O(6)^* = O(-8),6,-8,7,-7,0,7,0,0,7,7,1.0,1.0,1.0,True,vectorlike_pair_gapped
