D,mode_n,lambda_n,expected_parity,observed_parity,even_resid,odd_resid,expected_parity_resid,wrong_parity_resid,parity_ratio,expected_nodes,axial_nodes,dominant_line_nodes,axial_profile_max_abs,dominant_line_max_abs,axial_kept_points,dominant_line_kept_points,dominant_rho,parity_pass,axial_nodes_pass,dominant_line_nodes_pass,row_pass
4.0,1,0.7359089334327868,even,even,0.00091378945284835,1.9999997912471983,0.00091378945284835,1.9999997912471983,0.0004568947741132071,0,0,0,1.5096419213821535,0.09617522193861877,533,533,1.17,True,True,True,True
4.0,2,0.8355420903544075,odd,odd,1.9999997501735516,0.0009996528052344774,0.0009996528052344774,1.9999997501735516,0.0004998264650521739,1,1,1,1.5883822560618275,0.10137625711244298,532,532,1.17,True,True,True,True
4.0,3,1.02491356144823,even,even,0.00040044981727655827,1.9999999599099856,0.00040044981727655827,1.9999999599099856,0.00020022491265178895,2,2,2,1.6398610493412067,0.10448724632251957,533,533,1.17,True,True,True,True
4.8,1,0.7288862929173103,even,even,1.79284953353353e-13,1.9999999999999998,1.79284953353353e-13,1.9999999999999998,8.964247667667651e-14,0,0,0,1.495485241648802,0.09536158056555681,560,560,1.17,True,True,True,True
4.8,2,0.8215569493414492,odd,odd,1.9999999999999998,1.8587032556410697e-13,1.8587032556410697e-13,1.9999999999999998,9.29351627820535e-14,1,1,1,1.5485938450914754,0.09881821042527317,560,560,1.17,True,True,True,True
4.8,3,0.9889954921757056,even,even,8.132716328169715e-14,2.0,8.132716328169715e-14,2.0,4.0663581640848574e-14,2,2,2,1.5878028380941234,0.1012656272513164,560,560,1.17,True,True,True,True
5.6,1,0.7224393313380941,even,even,0.0006504800446171834,1.999999894218925,0.0006504800446171834,1.999999894218925,0.0003252400395107122,0,0,0,1.4838656550460456,0.09468262378037381,587,587,1.17,True,True,True,True
5.6,2,0.8093995500788578,odd,odd,1.9999997916262635,0.0009129594193288899,0.0009129594193288899,1.9999997916262635,0.0004564797572236413,1,1,1,1.5106143752542056,0.09637710366481847,586,586,1.17,True,True,True,True
5.6,3,0.9582383065824134,even,even,0.000654490886073259,1.9999998929104172,0.000654490886073259,1.9999998929104172,0.00032724546055891944,2,2,2,1.5349360208998748,0.09795605608420369,587,587,1.17,True,True,True,True
6.4,1,0.7166248225287692,even,even,0.000520201641431783,1.999999932347562,0.000520201641431783,1.999999932347562,0.0002601008295141191,0,0,0,1.4751046376670984,0.09416620626856981,613,613,1.17,True,True,True,True
6.4,2,0.7991451524254127,odd,odd,1.999999797494409,0.0009000124017780366,0.0009000124017780366,1.999999797494409,0.0004500062464534087,1,1,1,1.4749404535766362,0.09407650505041555,612,612,1.17,True,True,True,True
6.4,3,0.9327388291448655,even,even,0.0007544022004700537,1.999999857719325,0.0007544022004700537,1.999999857719325,0.00037720112706924236,2,2,2,1.4830070153762027,0.09468191007665164,613,613,1.17,True,True,True,True
7.2,1,0.7111376409329686,even,even,5.352806976522549e-14,2.0,5.352806976522549e-14,2.0,2.6764034882612745e-14,0,0,0,1.4650677947775457,0.09355454109592314,640,640,1.17,True,True,True,True
7.2,2,0.7895354065575388,odd,odd,2.0,5.241594521975378e-14,5.241594521975378e-14,2.0,2.620797260987689e-14,1,1,1,1.4386067939051759,0.09173395267105625,640,640,1.17,True,True,True,True
7.2,3,0.9098906462267788,even,even,2.6765458001967147e-14,2.0,2.6765458001967147e-14,2.0,1.3382729000983574e-14,2,2,2,1.4503620614220727,0.0926282899775937,640,640,1.17,True,True,True,True
8.0,1,0.7060786762006757,even,even,0.00032754566719805873,1.999999973178459,0.00032754566719805873,1.999999973178459,0.0001637728357953493,0,0,0,1.45493780880469,0.09292757913738121,667,667,1.17,True,True,True,True
8.0,2,0.7808718904158027,odd,odd,1.9999997888335086,0.0009190570819734335,0.0009190570819734335,1.9999997888335086,0.00045952858950523674,1,1,1,1.4038515713134412,0.0894902067914559,666,666,1.17,True,True,True,True
8.0,3,0.890105588635145,even,even,0.0008913984582263255,1.9999998013521876,0.0008913984582263255,1.9999998013521876,0.0004456992733817556,2,2,2,1.4317179367584376,0.09142868694799802,667,666,1.17,True,True,True,True
8.8,1,0.7014845758182582,even,even,0.000283867779190636,1.999999979854771,0.000283867779190636,1.999999979854771,0.00014193389102496338,0,0,0,1.4455320020144922,0.09234061152880504,693,693,1.17,True,True,True,True
8.8,2,0.7733121250506032,odd,odd,1.9999997846086364,0.0009282054774112849,0.0009282054774112849,1.9999997846086364,0.0004641027886875087,1,1,1,1.3703584105508486,0.08732274567921579,692,692,1.17,True,True,True,True
8.8,3,0.8735285896544129,even,even,0.0009293116337780739,1.9999997840949602,0.0009293116337780739,1.9999997840949602,0.0004646558670498087,2,2,2,1.414524806773288,0.09032166019706932,693,693,1.17,True,True,True,True
9.6,1,0.6971714776157556,even,even,3.9382300296090623e-13,1.9999999999999998,3.9382300296090623e-13,1.9999999999999998,1.9691150148045314e-13,0,0,0,1.434239468790988,0.09162892367115497,720,720,1.17,True,True,True,True
9.6,2,0.7660466728709519,odd,odd,1.9999999999999998,3.9663179272719316e-13,3.9663179272719316e-13,1.9999999999999998,1.983158963635966e-13,1,1,1,1.3363507332839217,0.08512050238961746,720,720,1.17,True,True,True,True
9.6,3,0.8583549285020677,even,even,1.0740959496191466e-13,2.0,1.0740959496191466e-13,2.0,5.370479748095733e-14,2,2,2,1.3960377950541238,0.08913267057458561,720,720,1.17,True,True,True,True
10.4,1,0.6931953315764114,even,even,0.0003192989597659606,1.9999999745120436,0.0003192989597659606,1.9999999745120436,0.0001596494819175498,0,0,0,1.4223184704189435,0.09087424932638408,747,747,1.17,True,True,True,True
10.4,2,0.7593397162358342,odd,odd,1.999999785452983,0.000926384381060771,0.000926384381060771,1.999999785452983,0.0004631922402186422,1,1,1,1.3047634662489642,0.08307335714888678,746,746,1.17,True,True,True,True
10.4,3,0.8449575346912694,even,even,0.000963677404704741,1.9999997678314516,0.000963677404704741,1.9999997678314516,0.000481838758286273,2,2,2,1.3783124780000355,0.08799082497667549,747,747,1.17,True,True,True,True
11.2,1,0.6895727290607241,even,even,0.00036678527213263116,1.9999999663671406,0.00036678527213263116,1.9999999663671406,0.000183392639150325,0,0,0,1.4106150211371342,0.09013153523617694,773,773,1.17,True,True,True,True
11.2,2,0.7533412727177156,odd,odd,1.9999997946355834,0.0009063429946322822,0.0009063429946322822,1.9999997946355834,0.00045317154384879596,1,1,1,1.275209965761635,0.08115400406988856,772,772,1.17,True,True,True,True
11.2,3,0.8335422519453772,even,even,0.0009620413390913516,1.9999997686191024,0.0009620413390913516,1.9999997686191024,0.0004810207251951794,2,2,2,1.360671221456883,0.08685265854864989,773,773,1.17,True,True,True,True
12.0,1,0.6861864751124938,even,even,6.526974258157101e-14,1.9999999999999998,6.526974258157101e-14,1.9999999999999998,3.263487129078551e-14,0,0,0,1.3974380442369057,0.08929332285549971,800,800,1.17,True,True,True,True
12.0,2,0.7475102882143452,odd,odd,2.0,2.9599585575176775e-14,2.9599585575176775e-14,2.0,1.4799792787588388e-14,1,1,1,1.2475505359891135,0.07935260220810475,800,800,1.17,True,True,True,True
12.0,3,0.8228303945121627,even,even,4.3631961636979716e-14,1.9999999999999993,4.3631961636979716e-14,1.9999999999999993,2.1815980818489864e-14,2,2,2,1.3415518887572697,0.08562116191865876,800,800,1.17,True,True,True,True
12.8,1,0.6830638620518137,even,even,0.00046281503130808773,1.9999999464505607,0.00046281503130808773,1.9999999464505607,0.0002314075218499154,0,0,0,1.3838296654758686,0.08842659300166048,827,827,1.17,True,True,True,True
12.8,2,0.7420539290605246,odd,odd,1.9999998198314601,0.0008489252776281537,0.0008489252776281537,1.9999998198314601,0.0004244626770514872,1,1,1,1.224638529710703,0.07791986104310529,826,826,1.17,True,True,True,True
12.8,3,0.8131709891437326,even,even,0.0009482942011996337,1.9999997751845142,0.0009482942011996337,1.9999997751845142,0.0004741471538976282,2,2,2,1.3221073804094567,0.08436783689507842,826,826,1.17,True,True,True,True
13.6,1,0.6802096145824321,even,even,0.0005054603417432631,1.9999999361274599,0.0005054603417432631,1.9999999361274599,0.00025273017894289083,0,0,0,1.3704759030281515,0.08757544878681328,853,853,1.17,True,True,True,True
13.6,2,0.7370921915472866,odd,odd,1.9999998354262725,0.0008113537340407411,0.0008113537340407411,1.9999998354262725,0.00040567690040225037,1,1,1,1.207161768494403,0.07686097628297049,852,852,1.17,True,True,True,True
13.6,3,0.8047855402175816,even,even,0.0009349037371010951,1.9999997814887387,0.0009349037371010951,1.9999997814887387,0.00046745191962230183,2,2,2,1.3027221049004916,0.08311587950816951,853,852,1.17,True,True,True,True
14.4,1,0.6775461771709872,even,even,3.1956330409636923e-13,1.9999999999999998,3.1956330409636923e-13,1.9999999999999998,1.5978165204818464e-13,0,0,0,1.3562208166455478,0.08666620821261217,880,880,1.17,True,True,True,True
14.4,2,0.7322577533017809,odd,odd,2.0,2.1886282671576538e-13,2.1886282671576538e-13,2.0,1.0943141335788269e-13,1,1,1,1.1921314277058603,0.07596004142279308,880,880,1.17,True,True,True,True
14.4,3,0.796744138453024,even,even,2.980382347246611e-13,2.0,2.980382347246611e-13,2.0,1.4901911736233056e-13,2,2,2,1.2819849010978097,0.08177515718805438,880,880,1.17,True,True,True,True
15.2,1,0.6750856516280721,even,even,0.0005729065021441858,1.9999999179445334,0.0005729065021441858,1.9999999179445334,0.000286453262824621,0,0,0,1.3418366533281076,0.08574834716382808,907,907,1.17,True,True,True,True
15.2,2,0.727703628415973,odd,odd,1.9999998591950847,0.0007504796076394297,0.0007504796076394297,1.9999998591950847,0.0003752398302375211,1,1,1,1.1798596172476337,0.07522579335432657,906,906,1.17,True,True,True,True
15.2,3,0.7893558093917079,even,even,0.000913074783137845,1.9999997915735992,0.000913074783137845,1.9999997915735992,0.00045653743914615013,2,2,2,1.2611278047706715,0.08042924952129757,905,905,1.17,True,True,True,True
16.0,1,0.6728274944424808,even,even,0.0005994318679719437,1.9999999101703567,0.0005994318679719437,1.9999999101703567,0.00029971594744766013,0,0,0,1.3278266505343448,0.084854115339598,933,933,1.17,True,True,True,True
16.0,2,0.7235184066641402,odd,odd,1.9999998675772128,0.0007277988261962134,0.0007277988261962134,1.9999998675772128,0.00036389943719239556,1,1,1,1.1700160497414451,0.07463882981133504,932,932,1.17,True,True,True,True
16.0,3,0.7828254618572632,even,even,0.0008978860103004121,1.9999997984501678,0.0008978860103004121,1.9999997984501678,0.00044894305039240427,2,2,2,1.2399289069563308,0.07905870868895863,933,932,1.17,True,True,True,True
16.8,1,0.6707191581296017,even,even,3.9787725498698396e-13,2.0,3.9787725498698396e-13,2.0,1.9893862749349198e-13,0,0,0,1.3133588822792608,0.08393041508628986,960,960,1.17,True,True,True,True
16.8,2,0.7194502665135476,odd,odd,2.0,5.796073929729506e-13,5.796073929729506e-13,2.0,2.898036964864753e-13,1,1,1,1.1601628842729212,0.0740413984718474,960,960,1.17,True,True,True,True
16.8,3,0.7764650120267089,even,even,4.714289355840707e-13,1.9999999999999998,4.714289355840707e-13,1.9999999999999998,2.357144677920354e-13,2,2,2,1.2176372332433523,0.07761586361888889,960,960,1.17,True,True,True,True
17.6,1,0.6687655269338149,even,even,0.0006383256921471014,1.999999898135075,0.0006383256921471014,1.999999898135075,0.0003191628623293012,0,0,0,1.2989826361156354,0.08301239667595602,987,987,1.17,True,True,True,True
17.6,2,0.7156075822656196,odd,odd,1.999999872407153,0.0007144028076125211,0.0007144028076125211,1.999999872407153,0.000357201426594434,1,1,1,1.1512301227445283,0.0734941136672244,986,986,1.17,True,True,True,True
17.6,3,0.7705346354770417,even,even,0.0008695259169705251,1.9999998109811612,0.0008695259169705251,1.9999998109811612,0.00043476299957446123,2,2,2,1.1960091239485957,0.07621662781675889,987,987,1.17,True,True,True,True
18.4,1,0.6669643237777252,even,even,0.0006524991440008348,1.9999998935612135,0.0006524991440008348,1.9999998935612135,0.0003262495893632226,0,0,0,1.2850553552998145,0.0821229386552706,1013,1013,1.17,True,True,True,True
18.4,2,0.7120526327566103,odd,odd,1.9999998701420567,0.0007207161407489172,0.0007207161407489172,1.9999998701420567,0.00036035809377213906,1,1,1,1.143534453585767,0.07302052601739775,1012,1012,1.17,True,True,True,True
18.4,3,0.7652088668167862,even,even,0.0008483074483238649,1.9999998200936102,0.0008483074483238649,1.9999998200936102,0.0004241537623159185,2,2,2,1.1741035525432133,0.0747966362095245,1013,1013,1.17,True,True,True,True
19.200000000000003,1,0.6652792876061804,even,even,2.933421846599236e-13,2.0,2.933421846599236e-13,2.0,1.466710923299618e-13,0,0,0,1.2709555286925067,0.08122234994617003,1040,1040,1.17,True,True,True,True
19.200000000000003,2,0.7086107128966834,odd,odd,1.9999999999999998,3.915044673303385e-13,3.915044673303385e-13,1.9999999999999998,1.9575223366516928e-13,1,1,1,1.13520841448137,0.07250175145402366,1040,1040,1.17,True,True,True,True
19.200000000000003,3,0.7599747381471427,even,even,3.5517034169754264e-13,1.9999999999999998,3.5517034169754264e-13,1.9999999999999998,1.7758517084877135e-13,2,2,2,1.1516776728379718,0.07334306126436098,1040,1040,1.17,True,True,True,True
20.0,1,0.6637121040063336,even,even,0.0006714917982850701,1.999999887274688,0.0006714917982850701,1.999999887274688,0.0003357459180660667,0,0,0,1.257072474355277,0.08033553113830583,1067,1067,1.17,True,True,True,True
20.0,2,0.7053563675545194,odd,odd,1.9999998579357599,0.0007538281904026871,0.0007538281904026871,1.9999998579357599,0.0003769141219743527,1,1,1,1.1271707241115143,0.07199839520199469,1066,1066,1.17,True,True,True,True
20.0,3,0.7550432573166097,even,even,0.0008076513943426714,1.9999998369247998,0.0008076513943426714,1.9999998369247998,0.0004038257300983166,2,2,2,1.1307064579356905,0.07198447375847461,1067,1067,1.17,True,True,True,True
