D,level,dr,dz,rho_max,z_max,Nr,Nz,sigma_l,sigma_r,frame_power,n_eigs,window_k,window_gap_scale,window_sigma_mult,window_floor,lambda_1,lambda_2,lambda_3,track_idx_1,track_idx_2,track_idx_3,track_score_1,track_score_2,track_score_3,parity_1,parity_2,parity_3,y_eff_center_1,y_eff_center_2,y_eff_center_3,y_eff_raw_1,y_eff_raw_2,y_eff_raw_3,y_eff_cum_1,y_eff_cum_2,y_eff_cum_3,nwin_1,nwin_2,nwin_3,sigma_mc_1,sigma_mc_2,sigma_mc_3,B1,B2,B3,sigma_scale_e,sigma_scale_mu,sigma_scale_tau,y_eff_flavor_e_1,y_eff_flavor_e_2,y_eff_flavor_e_3,y_eff_flavor_mu_1,y_eff_flavor_mu_2,y_eff_flavor_mu_3,y_eff_flavor_tau_1,y_eff_flavor_tau_2,y_eff_flavor_tau_3,g_uv_e_1,g_uv_e_2,g_uv_e_3,g_uv_mu_1,g_uv_mu_2,g_uv_mu_3,g_uv_tau_1,g_uv_tau_2,g_uv_tau_3,build_s,solve_s
4.0,fine,0.06,0.03,3.0,8.0,50,533,2.5,2.5,0.0,8,1,1.0,2.0,0.05,1.3016179943485544,1.6419653290034042,2.0667054238124885,0,1,2,1.0,1.0,1.0,-0.9999999515593547,0.9999999427843502,-0.9999999890237045,5.9006660300466624e-05,0.008526591864400013,2.5644414973347643e-05,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.0032558644413614906,0.007406927478339831,0.010081185477578476,2,3,4,0.3403473346548498,0.3403473346548498,0.42474009480908426,0.32296444189057383,0.734727824898525,1.0,1.5,1.0,0.7978827341882164,0.000682997745792381,0.000864152667254893,0.0005201338683683488,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.004263491210199207,0.005444819795978193,0.003930589997489398,0.02613422556327968,0.029396473721432864,0.022806443571244263,0.057060182626429534,0.06442874387242344,0.051713228474333774,0.06529541492478019,0.07378902219150348,0.06269441759430738,0.0034508705139160156,0.11376500129699707
5.0,fine,0.06,0.03,3.0,8.5,50,567,2.5,2.5,0.0,8,1,1.0,2.0,0.05,1.9024687989070461,1.5294372486180516,2.346351275965947,1,0,2,0.07257840125092184,0.6725336157191478,0.09740026895484713,-0.9999999805358203,0.9999999465400103,0.9999999903249537,2.0622707802981275e-05,0.006676464792001518,0.0017991731757645078,0.0023611449296273936,0.00416361372011836,0.0013173214575746576,0.0023611449296273936,0.006524758649745754,0.00784208010732041,3,2,4,0.3730315502889945,0.3730315502889945,0.4438824770589007,0.30108656087602526,0.832018872601803,1.0,1.5,1.0,0.7978827341882164,0.0005794830549226498,0.0011661066538297018,0.00021938595946589833,0.0023611449296273936,0.00416361372011836,0.0013173214575746576,0.0026724355293862145,0.004220883569927578,0.0018498174894363364,0.02407245427709127,0.03414830382068342,0.014811683208396619,0.048591613778793084,0.06452607008115681,0.03629492330305518,0.05169560454609477,0.06496832743674089,0.04300950464067607,0.003206968307495117,0.14540791511535645
6.0,fine,0.06,0.03,3.0,9.0,50,600,2.5,2.5,0.0,8,1,1.0,2.0,0.05,2.1661095646916135,1.4382880086583418,3.1362387829019616,2,0,4,0.09180811444516654,0.7398697758086009,0.06859719680055078,1.0,1.0,1.0000000000000002,0.0014966795366417518,0.004736316165755205,0.00030592050875016493,0.0010291859989143923,0.0029481641928965426,0.0006015766241894144,0.0010291859989143923,0.0039773501918109345,0.0045789268160003485,4,2,5,0.3969782759136842,0.3308432801195875,0.26763856567142597,0.22476576723568975,0.8686206073249964,1.0,1.5,1.0,0.7978827341882164,0.00017548852780228876,0.0012091921587973156,0.0022839668269006965,0.0010291859989143923,0.0029481641928965426,0.0006015766241894144,0.001041095631857116,0.0022192250402970647,0.0004135794617437856,0.013247208302215556,0.0347734404222147,0.04779086551738414,0.03208092889731207,0.05429699985170951,0.024527059020384292,0.03226601357244362,0.04710865143789477,0.02033665315984382,0.0034029483795166016,0.1543269157409668
7.0,fine,0.06,0.03,3.0,9.5,50,633,2.5,2.5,0.0,8,1,1.0,2.0,0.05,2.0125544418994568,1.6566764300111472,3.396993706951384,1,0,4,0.6404352897583571,0.038584846822925324,0.44333392023370327,0.9999999908530648,-0.9999999548516961,0.9999702963335164,0.001104498948895908,9.803740908067328e-06,0.0009005980289176773,0.0005244253482742976,0.0004230957018619216,0.00039756194047698833,0.0005244253482742976,0.0009475210501362192,0.0013450829906132074,3,2,4,0.3558780118883096,0.3558780118883096,0.05,0.38988326514724436,0.7044331515219411,1.0,1.5,1.0,0.7978827341882164,3.6997345745061065e-05,3.0741544011011676e-05,0.0027037451587548092,0.0005244253482742976,0.0004230957018619216,0.00039756194047698833,0.00041276815640070184,0.00033227948488387187,8.163695667692047e-05,0.006082544347973228,0.005544505749930437,0.05199754954567387,0.022900335112707358,0.020569290261502015,0.01993895535069449,0.0203166964932959,0.01822853490777226,0.009035317187399703,0.005019187927246094,0.1663658618927002
8.0,fine,0.06,0.03,3.0,10.0,50,667,2.5,2.5,0.0,8,1,1.0,2.0,0.05,1.8773610895547916,1.5583406888546971,3.3906805095328587,1,0,5,0.6128218000543506,0.31174486674567775,0.9389349908793015,0.9999999831517843,-0.9999999522962927,0.9999999240496121,0.000729110966595687,5.818029320409001e-06,0.0004934088820552305,0.0003468292412476409,0.0002788905285962925,0.0003069837468867779,0.0003468292412476409,0.0006257197698439335,0.0009327035167307114,3,2,3,0.3190204007000945,0.3190204007000945,0.07483677471604677,0.3718536866498991,0.6708667423461535,1.0,1.5,1.0,0.7978827341882164,8.262376515880884e-05,6.722131237780873e-05,0.0028992548051660827,0.0003468292412476409,0.0002788905285962925,0.0003069837468867779,0.00017877065149399671,0.00014349259012728135,4.3472571877414286e-05,0.009089761556763129,0.008198860431658093,0.053844728666472844,0.018623352041124093,0.016700015826228803,0.01752095165471265,0.013370514256901143,0.011978839264606623,0.006593373330656644,0.007694721221923828,0.1885972023010254
9.0,fine,0.06,0.03,3.0,10.5,50,700,2.5,2.5,0.0,8,1,1.0,2.0,0.05,2.4807140479055376,1.7646580305983224,3.3853113319260215,3,1,6,0.1386730841325923,0.11090759013855687,0.9387427870934806,1.0000000000000002,1.0000000000000002,1.0,0.00013936563621201974,0.00042838414625469924,0.00024238268492847418,9.151779556435967e-05,0.00020281812960145612,0.00013123876808653534,9.151779556435967e-05,0.00029433592516581576,0.0004255746932523511,4,3,3,0.3796056602450477,0.2880903274848048,0.05,0.21504520126645024,0.6916198961842045,1.0,1.5,1.0,0.7978827341882164,3.156179622513679e-05,0.00010692408118722161,0.001643079634007789,9.151779556435967e-05,0.00020281812960145612,0.00013123876808653534,3.98843218272693e-05,6.641324663584178e-05,2.208824436364795e-05,0.005617988628071152,0.010340410107303365,0.040534918699903534,0.00956649337868164,0.01424142301883685,0.01145594902600982,0.006315403536375906,0.008149432289174613,0.004699813226464213,0.005030155181884766,0.19234800338745117
10.0,fine,0.06,0.03,3.0,11.0,50,733,2.5,2.5,0.0,8,1,1.0,2.0,0.05,2.3205460481841937,1.6672096300858628,3.380007670589258,2,0,5,0.5794137116835458,0.7113896042406996,0.958375827718487,0.9999999940538463,0.9999999628038926,0.9999999487635759,8.172211652387692e-05,0.00022671382979928953,0.00011570559175969194,5.223319773496199e-05,0.00014142354739569933,7.205016264885467e-05,5.223319773496199e-05,0.00019365674513066133,0.000265706907779516,4,2,3,0.34714450691186416,0.3061919111864668,0.06737951149783195,0.19658200899430578,0.728835944646791,1.0,1.5,1.0,0.7978827341882164,3.298638656952803e-05,0.0001494097550893298,0.0015151996264135706,5.223319773496199e-05,0.00014142354739569933,7.205016264885467e-05,1.3689056428075185e-05,2.8389746054441074e-05,4.506551834475997e-06,0.005743377627278919,0.012223328314715669,0.03892556520352107,0.0072272538169737745,0.011892163276532126,0.008488236722008564,0.003699872488083229,0.005328202891636266,0.0021228640640596837,0.008351802825927734,0.21631383895874023
11.0,fine,0.06,0.03,3.0,11.5,50,767,2.5,2.5,0.0,8,1,1.0,2.0,0.05,2.176196750430066,1.5800188094057521,3.375356921796737,2,0,6,0.610960486619115,0.7213529392342253,0.9145832743965059,0.999999994772094,0.9999999579082517,0.9999992054059774,4.315878100436022e-05,0.00010901077919320092,4.9608278456255595e-05,2.6842335475477e-05,6.800121245545987e-05,2.1727820772317777e-05,2.6842335475477e-05,9.484354793093687e-05,0.00011657136870325465,4,2,3,0.31756072595729323,0.27861721506702075,0.05,0.2302652510137986,0.8136092849040114,1.0,1.5,1.0,0.7978827341882164,3.1514956283798875e-05,0.00014084975753283428,0.0007294159494993909,2.6842335475477e-05,6.800121245545987e-05,2.1727820772317777e-05,4.069534949748793e-06,8.04377348284725e-06,8.409191174746093e-07,0.005613818333701125,0.01186801405176259,0.027007701670067944,0.005180958933969367,0.00824628476681832,0.0046613110572367705,0.0020173088384649466,0.0028361547000908204,0.0009170164215948421,0.00965571403503418,0.18748116493225098
12.0,fine,0.06,0.03,3.0,12.0,50,800,2.5,2.5,0.0,8,1,1.0,2.0,0.05,2.0529042076893593,1.5060471875221828,3.371197240199423,2,0,6,0.6203551965346291,0.722389360827204,0.9658157890286406,0.9999999999999998,0.9999999999999999,1.0000000000000002,2.0387745624738655e-05,4.750643599191846e-05,1.9608243684290987e-05,1.2344523925903674e-05,2.9570824375314875e-05,1.2202469294697666e-05,1.2344523925903674e-05,4.191534830121855e-05,5.411781759591622e-05,4,2,3,0.29184858124144153,0.255008438925735,0.06099932682521514,0.22810461460358675,0.7745202996578621,1.0,1.5,1.0,0.7978827341882164,2.7822024839933135e-05,0.00011997123586658477,0.0006845315985015345,1.2344523925903674e-05,2.9570824375314875e-05,1.2202469294697666e-05,1.0439858172244487e-06,1.983973202505661e-06,2.7706609575506656e-07,0.005274658741561689,0.010953138174358286,0.026163554775709176,0.0035134774691043167,0.005437906249220823,0.0034932032999379905,0.0010217562415882023,0.001408535836429326,0.0005263706828415376,0.004025936126708984,0.20394301414489746
13.0,fine,0.06,0.03,3.0,12.5,50,833,2.5,2.5,0.0,8,1,1.0,2.0,0.05,2.5750983865583144,1.9437681735782184,3.367482914927214,3,1,6,0.13462376404768217,0.18255097380706234,0.8884700147713654,0.9999999921376872,0.9999999903768925,0.9999998821982322,3.2275011223907846e-06,8.698048261501504e-06,7.186049164354897e-06,2.011435309162574e-06,4.089817692816734e-06,3.431555313598372e-06,2.011435309162574e-06,6.101253001979308e-06,9.53280831557768e-06,4,3,3,0.33069517318911545,0.2686653648542987,0.05,0.21100133796623843,0.6400268210585096,1.0,1.5,1.0,0.7978827341882164,3.035849289217767e-06,1.2899793990216651e-05,0.00031428488832328094,2.011435309162574e-06,4.089817692816734e-06,3.431555313598372e-06,1.2747709802077458e-07,1.990330192674532e-07,7.49746231305466e-08,0.001742368872890516,0.0035916283201657506,0.017728081913260692,0.0014182507920542735,0.0020223297685631626,0.0018524457653595076,0.0003570393508015252,0.00044613116823133213,0.00027381494321995396,0.004341840744018555,0.21181535720825195
