D,N,ell,level,Nz,zmax,E_N,omega_N,bound_proxy,S_N_ell,gamma_geo_N_ell,gamma_sr_denominator,A_l_fp,valid_action,eta,A_l_tensor,A_l_profile_refD_refN,A_l_N_shape_vs_sameD_Nref,eta_weighted_gamma_geo,eta_collapse_residual_abs,eta_collapse_residual_rel
6.0,1,1,fine,8001,80.0,-0.47943742751867124,0.7215002234797497,True,12.825704773447036,5.22361127591199e-12,0.05298198551107833,9.859221442012121e-11,True,0.25,9.859221442012121e-11,13833.783397489717,1.093371990725407,1.3059028189779974e-12,0.0,0.0
6.0,1,2,fine,8001,80.0,-0.47943742751867124,0.7215002234797497,True,20.74790135643307,6.868127196266444e-19,0.014357344105684323,4.783703131798055e-17,True,0.25,4.783703131798055e-17,70770.25340225275,1.245649513025246,1.717031799066611e-19,0.0,0.0
6.0,2,1,fine,8001,80.0,-0.4529484009921401,0.7396293659718088,True,12.771071954781556,5.973130317742312e-12,0.06624106603938236,9.017261760538548e-11,True,0.25,9.017261760538548e-11,12652.40331272029,1.0,1.493282579435578e-12,0.0,0.0
6.0,2,2,fine,8001,80.0,-0.4529484009921401,0.7396293659718088,True,20.708830806124098,7.612937324447662e-19,0.0198236625677178,3.8403283441905874e-17,True,0.25,3.8403283441905874e-17,56813.93735736838,1.0,1.9032343311119154e-19,0.0,0.0
6.0,3,1,fine,8001,80.0,0.005654949938585668,1.0028234889244396,False,11.703938430209313,6.844043232676424e-11,1.025700294344859,6.672556564925126e-11,True,0.25,6.672556564925126e-11,9362.473778440035,0.7399759197548916,1.711010808169106e-11,0.0,0.0
6.0,3,2,fine,8001,80.0,0.005654949938585668,1.0028234889244396,False,19.985074105779074,4.389445778234261e-18,1.0373336622924965,4.231469524023382e-18,True,0.25,4.231469524023382e-18,6260.049217696448,0.11018509733482786,1.0973614445585653e-18,0.0,0.0
6.0,1,1,fine,8001,80.0,-0.47943742751867124,0.7215002234797497,True,12.825704773447036,5.22361127591199e-12,0.05298198551107833,9.859221442012121e-11,True,1.0,9.859221442012121e-11,13833.783397489717,1.093371990725407,5.22361127591199e-12,0.0,0.0
6.0,1,2,fine,8001,80.0,-0.47943742751867124,0.7215002234797497,True,20.74790135643307,6.868127196266444e-19,0.014357344105684323,4.783703131798055e-17,True,1.0,4.783703131798055e-17,70770.25340225275,1.245649513025246,6.868127196266444e-19,0.0,0.0
6.0,2,1,fine,8001,80.0,-0.4529484009921401,0.7396293659718088,True,12.771071954781556,5.973130317742312e-12,0.06624106603938236,9.017261760538548e-11,True,1.0,9.017261760538548e-11,12652.40331272029,1.0,5.973130317742312e-12,0.0,0.0
6.0,2,2,fine,8001,80.0,-0.4529484009921401,0.7396293659718088,True,20.708830806124098,7.612937324447662e-19,0.0198236625677178,3.8403283441905874e-17,True,1.0,3.8403283441905874e-17,56813.93735736838,1.0,7.612937324447662e-19,0.0,0.0
6.0,3,1,fine,8001,80.0,0.005654949938585668,1.0028234889244396,False,11.703938430209313,6.844043232676424e-11,1.025700294344859,6.672556564925126e-11,True,1.0,6.672556564925126e-11,9362.473778440035,0.7399759197548916,6.844043232676424e-11,0.0,0.0
6.0,3,2,fine,8001,80.0,0.005654949938585668,1.0028234889244396,False,19.985074105779074,4.389445778234261e-18,1.0373336622924965,4.231469524023382e-18,True,1.0,4.231469524023382e-18,6260.049217696448,0.11018509733482786,4.389445778234261e-18,0.0,0.0
6.0,1,1,fine,8001,80.0,-0.47943742751867124,0.7215002234797497,True,12.825704773447036,5.22361127591199e-12,0.05298198551107833,9.859221442012121e-11,True,4.0,9.859221442012121e-11,13833.783397489717,1.093371990725407,2.089444510364796e-11,0.0,0.0
6.0,1,2,fine,8001,80.0,-0.47943742751867124,0.7215002234797497,True,20.74790135643307,6.868127196266444e-19,0.014357344105684323,4.783703131798055e-17,True,4.0,4.783703131798055e-17,70770.25340225275,1.245649513025246,2.7472508785065775e-18,0.0,0.0
6.0,2,1,fine,8001,80.0,-0.4529484009921401,0.7396293659718088,True,12.771071954781556,5.973130317742312e-12,0.06624106603938236,9.017261760538548e-11,True,4.0,9.017261760538548e-11,12652.40331272029,1.0,2.389252127096925e-11,0.0,0.0
6.0,2,2,fine,8001,80.0,-0.4529484009921401,0.7396293659718088,True,20.708830806124098,7.612937324447662e-19,0.0198236625677178,3.8403283441905874e-17,True,4.0,3.8403283441905874e-17,56813.93735736838,1.0,3.0451749297790647e-18,0.0,0.0
6.0,3,1,fine,8001,80.0,0.005654949938585668,1.0028234889244396,False,11.703938430209313,6.844043232676424e-11,1.025700294344859,6.672556564925126e-11,True,4.0,6.672556564925126e-11,9362.473778440035,0.7399759197548916,2.7376172930705694e-10,0.0,0.0
6.0,3,2,fine,8001,80.0,0.005654949938585668,1.0028234889244396,False,19.985074105779074,4.389445778234261e-18,1.0373336622924965,4.231469524023382e-18,True,4.0,4.231469524023382e-18,6260.049217696448,0.11018509733482786,1.7557783112937045e-17,0.0,0.0
12.0,1,1,fine,8001,80.0,-0.4781115780410435,0.7224184535011247,True,17.58878686073833,3.8138418243344803e-16,0.05359194015643131,7.116446639554623e-15,True,0.25,7.116446639554623e-15,0.9985309889875095,0.9985309889875095,9.534604560836201e-17,0.0,0.0
12.0,1,2,fine,8001,80.0,-0.4781115780410435,0.7224184535011247,True,26.323457896772346,9.874697780577814e-24,0.014596704099005325,6.76501881082231e-22,True,0.25,6.76501881082231e-22,1.0008189938261256,1.0008189938261256,2.4686744451444536e-24,0.0,0.0
12.0,2,1,fine,8001,80.0,-0.47774214229986417,0.7226741019990517,True,17.586636550835088,3.8316344819051896e-16,0.0537628673752675,7.126916157875639e-15,True,0.25,7.126916157875639e-15,1.0,1.0,9.579086204762974e-17,0.0,0.0
12.0,2,2,fine,8001,80.0,-0.47774214229986417,0.7226741019990517,True,26.321744329534603,9.912104196101104e-24,0.014663997877392138,6.759482836111733e-22,True,0.25,6.759482836111733e-22,1.0,1.0,2.478026049025276e-24,0.0,0.0
12.0,3,1,fine,8001,80.0,0.005745476556324275,1.0028686237769753,False,14.09764784740167,5.704041913914852e-13,1.0261158495316316,5.558867370110743e-13,True,0.25,5.558867370110743e-13,77.9982147533458,77.9982147533458,1.426010478478713e-13,0.0,0.0
12.0,3,2,fine,8001,80.0,0.005745476556324275,1.0028686237769753,False,23.72345960511702,2.4848996085742607e-21,1.037940771244878,2.394066865293228e-21,True,0.25,2.394066865293228e-21,3.5417899909490274,3.5417899909490274,6.212249021435652e-22,0.0,0.0
12.0,1,1,fine,8001,80.0,-0.4781115780410435,0.7224184535011247,True,17.58878686073833,3.8138418243344803e-16,0.05359194015643131,7.116446639554623e-15,True,1.0,7.116446639554623e-15,0.9985309889875095,0.9985309889875095,3.8138418243344803e-16,0.0,0.0
12.0,1,2,fine,8001,80.0,-0.4781115780410435,0.7224184535011247,True,26.323457896772346,9.874697780577814e-24,0.014596704099005325,6.76501881082231e-22,True,1.0,6.76501881082231e-22,1.0008189938261256,1.0008189938261256,9.874697780577814e-24,0.0,0.0
12.0,2,1,fine,8001,80.0,-0.47774214229986417,0.7226741019990517,True,17.586636550835088,3.8316344819051896e-16,0.0537628673752675,7.126916157875639e-15,True,1.0,7.126916157875639e-15,1.0,1.0,3.8316344819051896e-16,0.0,0.0
12.0,2,2,fine,8001,80.0,-0.47774214229986417,0.7226741019990517,True,26.321744329534603,9.912104196101104e-24,0.014663997877392138,6.759482836111733e-22,True,1.0,6.759482836111733e-22,1.0,1.0,9.912104196101104e-24,0.0,0.0
12.0,3,1,fine,8001,80.0,0.005745476556324275,1.0028686237769753,False,14.09764784740167,5.704041913914852e-13,1.0261158495316316,5.558867370110743e-13,True,1.0,5.558867370110743e-13,77.9982147533458,77.9982147533458,5.704041913914852e-13,0.0,0.0
12.0,3,2,fine,8001,80.0,0.005745476556324275,1.0028686237769753,False,23.72345960511702,2.4848996085742607e-21,1.037940771244878,2.394066865293228e-21,True,1.0,2.394066865293228e-21,3.5417899909490274,3.5417899909490274,2.4848996085742607e-21,0.0,0.0
12.0,1,1,fine,8001,80.0,-0.4781115780410435,0.7224184535011247,True,17.58878686073833,3.8138418243344803e-16,0.05359194015643131,7.116446639554623e-15,True,4.0,7.116446639554623e-15,0.9985309889875095,0.9985309889875095,1.5255367297337921e-15,0.0,0.0
12.0,1,2,fine,8001,80.0,-0.4781115780410435,0.7224184535011247,True,26.323457896772346,9.874697780577814e-24,0.014596704099005325,6.76501881082231e-22,True,4.0,6.76501881082231e-22,1.0008189938261256,1.0008189938261256,3.949879112231126e-23,0.0,0.0
12.0,2,1,fine,8001,80.0,-0.47774214229986417,0.7226741019990517,True,17.586636550835088,3.8316344819051896e-16,0.0537628673752675,7.126916157875639e-15,True,4.0,7.126916157875639e-15,1.0,1.0,1.5326537927620758e-15,0.0,0.0
12.0,2,2,fine,8001,80.0,-0.47774214229986417,0.7226741019990517,True,26.321744329534603,9.912104196101104e-24,0.014663997877392138,6.759482836111733e-22,True,4.0,6.759482836111733e-22,1.0,1.0,3.9648416784404414e-23,0.0,0.0
12.0,3,1,fine,8001,80.0,0.005745476556324275,1.0028686237769753,False,14.09764784740167,5.704041913914852e-13,1.0261158495316316,5.558867370110743e-13,True,4.0,5.558867370110743e-13,77.9982147533458,77.9982147533458,2.2816167655659408e-12,0.0,0.0
12.0,3,2,fine,8001,80.0,0.005745476556324275,1.0028686237769753,False,23.72345960511702,2.4848996085742607e-21,1.037940771244878,2.394066865293228e-21,True,4.0,2.394066865293228e-21,3.5417899909490274,3.5417899909490274,9.939598434297043e-21,0.0,0.0
18.0,1,1,fine,8001,80.0,-0.48153337700547605,0.7200462644820289,True,22.00432949039145,5.554470318203478e-20,0.052028776704681805,1.0675765739661643e-18,True,0.25,1.0675765739661643e-18,0.00014979502358624395,0.9998942096259255,1.3886175795508695e-20,0.0,0.0
18.0,1,2,fine,8001,80.0,-0.48153337700547605,0.7200462644820289,True,31.057343817299767,7.608417167049023e-28,0.013985732634334284,5.440127711558516e-26,True,0.25,5.440127711558516e-26,8.048141911826866e-05,0.9999718217705018,1.9021042917622557e-28,0.0,0.0
18.0,2,1,fine,8001,80.0,-0.48152804504382507,0.7200499669857467,True,22.004256024315726,5.555315073920771e-20,0.052031184558729834,1.067689525240435e-18,True,0.25,1.067689525240435e-18,0.00014981087213444748,1.0,1.3888287684801928e-20,0.0,0.0
