i,j,k,obs_triangle_defect_abs,recon_triangle_defect_abs,mixed_triangle_defect_abs,channel
0,1,3,0.0,0.0,2.7755575615628914e-17,phi
0,1,4,0.0,0.0,2.220446049250313e-16,phi
0,1,6,0.0,0.0,2.220446049250313e-16,phi
0,1,7,2.220446049250313e-16,8.881784197001252e-16,1.1102230246251565e-15,phi
0,1,9,2.220446049250313e-16,4.440892098500626e-16,2.220446049250313e-16,phi
0,1,10,4.440892098500626e-16,0.0,3.3306690738754696e-16,phi
0,1,12,0.0,4.440892098500626e-16,4.440892098500626e-16,phi
0,1,13,0.0,4.440892098500626e-16,4.440892098500626e-16,phi
0,1,15,0.0,2.220446049250313e-16,2.220446049250313e-16,phi
0,1,16,1.1102230246251565e-16,4.440892098500626e-16,5.551115123125783e-16,phi
0,3,4,0.0,0.0,3.3306690738754696e-16,phi
0,3,6,0.0,0.0,1.1102230246251565e-16,phi
0,3,7,2.220446049250313e-16,0.0,2.220446049250313e-16,phi
0,3,9,0.0,0.0,0.0,phi
0,3,10,0.0,4.440892098500626e-16,4.440892098500626e-16,phi
0,3,12,0.0,0.0,2.220446049250313e-16,phi
0,3,13,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,phi
0,3,15,2.220446049250313e-16,0.0,2.220446049250313e-16,phi
0,3,16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,phi
0,4,6,0.0,0.0,1.3877787807814457e-16,phi
0,4,7,4.440892098500626e-16,2.220446049250313e-16,6.661338147750939e-16,phi
0,4,9,0.0,2.220446049250313e-16,2.220446049250313e-16,phi
0,4,10,0.0,0.0,0.0,phi
0,4,12,0.0,4.440892098500626e-16,4.579669976578771e-16,phi
0,4,13,2.220446049250313e-16,4.440892098500626e-16,7.771561172376096e-16,phi
0,4,15,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,phi
0,4,16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,phi
0,6,7,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,phi
0,6,9,0.0,2.220446049250313e-16,2.220446049250313e-16,phi
0,6,10,0.0,0.0,2.636779683484747e-16,phi
0,6,12,0.0,4.440892098500626e-16,3.885780586188048e-16,phi
0,6,13,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,phi
0,6,15,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,phi
0,6,16,1.1102230246251565e-16,4.440892098500626e-16,5.551115123125783e-16,phi
0,7,9,2.220446049250313e-16,0.0,3.3306690738754696e-16,phi
0,7,10,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,phi
0,7,12,0.0,4.440892098500626e-16,2.220446049250313e-16,phi
0,7,13,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,phi
0,7,15,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,phi
0,7,16,1.1102230246251565e-16,2.220446049250313e-16,2.7755575615628914e-16,phi
0,9,10,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,phi
0,9,12,0.0,0.0,0.0,phi
0,9,13,2.220446049250313e-16,0.0,3.3306690738754696e-16,phi
0,9,15,0.0,0.0,5.551115123125783e-17,phi
0,9,16,2.220446049250313e-16,0.0,2.220446049250313e-16,phi
0,10,12,4.440892098500626e-16,4.440892098500626e-16,6.106226635438361e-16,phi
0,10,13,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,phi
0,10,15,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,phi
0,10,16,1.1102230246251565e-16,4.440892098500626e-16,5.551115123125783e-16,phi
0,12,13,0.0,0.0,0.0,phi
0,12,15,2.220446049250313e-16,0.0,1.1102230246251565e-16,phi
0,12,16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,phi
0,13,15,0.0,2.220446049250313e-16,1.942890293094024e-16,phi
0,13,16,1.1102230246251565e-16,2.220446049250313e-16,3.3306690738754696e-16,phi
0,15,16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,phi
1,3,4,1.1102230246251565e-16,0.0,1.3877787807814457e-16,phi
1,3,6,3.3306690738754696e-16,1.1102230246251565e-16,3.608224830031759e-16,phi
1,3,7,0.0,8.881784197001252e-16,9.159339953157541e-16,phi
1,3,9,0.0,2.220446049250313e-16,2.498001805406602e-16,phi
1,3,10,1.1102230246251565e-16,1.1102230246251565e-16,1.3877787807814457e-16,phi
1,3,12,1.1102230246251565e-16,2.220446049250313e-16,2.498001805406602e-16,phi
1,3,13,0.0,0.0,2.7755575615628914e-17,phi
1,3,15,0.0,0.0,2.7755575615628914e-17,phi
1,3,16,0.0,4.440892098500626e-16,4.718447854656915e-16,phi
1,4,6,1.1102230246251565e-16,1.1102230246251565e-16,3.0531133177191805e-16,phi
1,4,7,0.0,4.440892098500626e-16,6.661338147750939e-16,phi
1,4,9,0.0,2.220446049250313e-16,2.220446049250313e-16,phi
1,4,10,1.1102230246251565e-16,0.0,1.1102230246251565e-16,phi
1,4,12,0.0,2.220446049250313e-16,2.0816681711721685e-16,phi
1,4,13,2.220446049250313e-16,0.0,1.1102230246251565e-16,phi
1,4,15,0.0,0.0,0.0,phi
1,4,16,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,phi
1,6,7,0.0,4.440892098500626e-16,4.440892098500626e-16,phi
1,6,9,2.220446049250313e-16,0.0,2.220446049250313e-16,phi
1,6,10,2.220446049250313e-16,1.1102230246251565e-16,2.914335439641036e-16,phi
1,6,12,2.220446049250313e-16,0.0,1.6653345369377348e-16,phi
1,6,13,2.220446049250313e-16,0.0,2.220446049250313e-16,phi
1,6,15,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,phi
1,6,16,0.0,0.0,2.220446049250313e-16,phi
1,7,9,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-16,phi
1,7,10,2.220446049250313e-16,3.3306690738754696e-16,5.551115123125783e-16,phi
1,7,12,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,phi
1,7,13,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,phi
1,7,15,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,phi
1,7,16,0.0,4.440892098500626e-16,2.7755575615628914e-16,phi
1,9,10,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,phi
1,9,12,2.220446049250313e-16,0.0,2.220446049250313e-16,phi
1,9,13,0.0,0.0,1.1102230246251565e-16,phi
1,9,15,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,phi
1,9,16,0.0,0.0,1.1102230246251565e-16,phi
1,10,12,0.0,2.220446049250313e-16,1.6653345369377348e-16,phi
1,10,13,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,phi
1,10,15,2.220446049250313e-16,0.0,1.1102230246251565e-16,phi
1,10,16,4.440892098500626e-16,0.0,3.3306690738754696e-16,phi
1,12,13,0.0,0.0,0.0,phi
1,12,15,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,phi
1,12,16,4.440892098500626e-16,0.0,2.220446049250313e-16,phi
1,13,15,0.0,0.0,2.7755575615628914e-17,phi
1,13,16,4.440892098500626e-16,0.0,4.440892098500626e-16,phi
1,15,16,4.440892098500626e-16,0.0,2.220446049250313e-16,phi
3,4,6,0.0,1.1102230246251565e-16,8.326672684688674e-17,phi
3,4,7,0.0,0.0,1.1102230246251565e-16,phi
3,4,9,0.0,0.0,1.1102230246251565e-16,phi
3,4,10,1.1102230246251565e-16,0.0,1.1102230246251565e-16,phi
3,4,12,0.0,1.1102230246251565e-16,9.71445146547012e-17,phi
3,4,13,0.0,0.0,0.0,phi
3,4,15,0.0,0.0,1.1102230246251565e-16,phi
3,4,16,0.0,4.440892098500626e-16,3.3306690738754696e-16,phi
3,6,7,0.0,0.0,1.1102230246251565e-16,phi
3,6,9,0.0,0.0,1.1102230246251565e-16,phi
3,6,10,0.0,1.1102230246251565e-16,6.938893903907228e-17,phi
3,6,12,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,phi
3,6,13,0.0,0.0,1.1102230246251565e-16,phi
3,6,15,0.0,2.220446049250313e-16,1.1102230246251565e-16,phi
3,6,16,0.0,4.440892098500626e-16,3.3306690738754696e-16,phi
3,7,9,0.0,0.0,1.1102230246251565e-16,phi
3,7,10,1.1102230246251565e-16,3.3306690738754696e-16,2.220446049250313e-16,phi
3,7,12,1.1102230246251565e-16,3.3306690738754696e-16,2.220446049250313e-16,phi
3,7,13,0.0,4.440892098500626e-16,5.551115123125783e-16,phi
