D,gamma_phi_obs,gamma_mix_obs,gamma_phi_best_generator_family,gamma_mix_best_generator_family,trace_obs,trace_best_generator_family,det_obs,det_best_generator_family,log_rate_obs,log_rate_best_generator_family,bath_phi_identifiable
4.0,2.8024970358454056e-06,0.0780979083476504,2.802497035845389e-06,0.0780979083476201,0.07810071084468624,0.07810071084465595,2.188691566500164e-07,2.1886915664993022e-07,10.23520773546758,10.235207735467196,1
5.0,8.363507538710663e-05,0.1489986159999165,8.363507538710642e-05,0.14899861599989583,0.14908225107530362,0.14908225107528295,1.246151048172757e-05,1.246151048172581e-05,7.485229302147451,7.485229302147315,1
6.0,1.1828706461312668e-27,0.0025158670602084,1.1828706461312663e-27,0.0025158670602084534,0.0025158670602084,0.0025158670602084534,2.9759452950890808e-30,2.9759452950891428e-30,56.016715496456165,56.016715496456186,0
7.0,9.56233289409531e-05,0.1244545436582149,9.562332894095332e-05,0.12445454365817094,0.12455016698715585,0.12455016698711188,1.1900757766425692e-05,1.1900757766421515e-05,7.171279000171867,7.171279000171512,1
8.0,4.0319626864906166e-05,0.0360387918993099,4.031962686490629e-05,0.03603879189930346,0.0360791115261748,0.03607911152616836,1.4530706420421781e-06,1.4530706420419228e-06,6.795512820675914,6.795512820675732,1
9.0,5.027140956184014e-25,0.0160641781235333,5.027140956184015e-25,0.01606417812352439,0.0160641781235333,0.01606417812352439,8.07568877722495e-27,8.075688777220475e-27,51.818612453545114,51.81861245354456,0
10.0,4.982286752539539e-05,0.0526950013988973,4.982286752539517e-05,0.052695001398877665,0.0527448242664227,0.05274482426640306,2.625416073947785e-06,2.625416073946795e-06,6.9638018140217595,6.963801814021391,1
11.0,7.963421639866888e-06,0.0005229948516151,7.963421639866891e-06,0.000522994851615105,0.0005309582732549668,0.0005309582732549718,4.164828518890659e-09,4.1648285188907e-09,4.184712858318235,4.184712858318244,1
12.0,1.268847700260342e-27,0.0540690184569051,1.2688477002603418e-27,0.054069018456897204,0.0540690184569051,0.054069018456897204,6.860534972437802e-29,6.860534972436799e-29,59.014194415919654,59.014194415919505,0
13.0,1.417708156293526e-05,0.0093452374533175,1.4177081562935268e-05,0.009345237453309627,0.009359414534880435,0.009359414534872563,1.3248819360067958e-07,1.3248819360056804e-07,6.4909954429254695,6.490995442924627,1
14.0,4.497482066274547e-05,0.0470511865166611,4.4974820662745476e-05,0.04705118651665609,0.04709616133732384,0.04709616133731883,2.1161186755562207e-06,2.1161186755559954e-06,6.952888570561961,6.952888570561854,1
15.0,2.2822683953526273e-29,0.0182274256429793,2.2822683953526282e-29,0.018227425642964524,0.0182274256429793,0.018227425642964524,4.15998774736117e-31,4.159987747357799e-31,61.94496992253508,61.94496992253426,0
16.0,3.7519651952352216e-05,0.0371294892782891,3.751965195235221e-05,0.03712948927826994,0.037167008930241455,0.037167008930222296,1.3930855148900004e-06,1.3930855148892813e-06,6.89730194434352,6.897301944343004,1
17.0,2.0022735980409987e-05,0.0221836163896344,2.0022735980410048e-05,0.02218361638963371,0.02220363912561481,0.02220363912561412,4.441766940603454e-07,4.4417669406033296e-07,7.0102408680292845,7.01024086802925,1
18.0,1.1369519934743304e-25,0.0022814989345445,1.1369519934743304e-25,0.002281498934544513,0.0022814989345445,0.002281498934544513,2.59395476173993e-28,2.5939547617399448e-28,51.3533537084776,51.353353708477606,0
19.0,1.896192840104776e-05,0.0213213587101054,1.8961928401047816e-05,0.021321358710090388,0.02134032063850645,0.021340320638491436,4.0429407727407466e-07,4.0429407727379117e-07,7.0250314050453,7.025031405044594,1
20.0,5.377163023146182e-06,0.0062536348939074,5.377163023146215e-06,0.006253634893903818,0.006259012056930546,0.0062590120569269644,3.3626814311775564e-08,3.362681431175651e-08,7.0587572407275045,7.058757240726926,1
