p_sys,p_spec,p95_block11_rel_residual_identifiable,p95_block22_rel_residual,p95_trace_rel_residual,p95_det_rel_residual_identifiable,p95_anisotropy_abs_residual_identifiable,max_block11_rel_residual_identifiable,max_block22_rel_residual,max_trace_rel_residual,max_det_rel_residual_identifiable,max_anisotropy_abs_residual_identifiable,objective
0.0,0.0,6.034062138837725e-15,8.170131238216527e-13,8.167688747562352e-13,7.64516228102252e-13,7.676526081468182e-13,6.217248937900877e-15,8.423262087831063e-13,8.411049634560186e-13,8.418821195732562e-13,8.428813202954188e-13,3.1719848969657957e-12
0.0,0.25,0.00012853102793803912,0.0003083435762669673,0.000308185300549102,0.0003832607093359752,0.00024576530990980664,0.000158533735159061,0.00033327355949941406,0.0003331065079943407,0.00040095423182306966,0.0002977198656433089,0.0013740859239998902
0.0,-0.25,0.00012921484597043783,0.00031081687226164334,0.000310657102799583,0.00038608436878444506,0.000248133064339262,0.00015945351954782527,0.0003360475577967037,0.0003358790054217575,0.00040374709852819546,0.0003005059517384723,0.0013849062541553712
0.0,0.5,0.0002563822763134604,0.0006142353987916849,0.0006139203270481896,0.0007637213133414366,0.0004891865011894757,0.000316153539644759,0.000663798145763117,0.0006634655297552694,0.000799137459898347,0.000592681184855337,0.0027374458166842474
0.0,-0.5,0.0002591175733894501,0.0006241287719024546,0.0006238077250544372,0.0007750161524896659,0.0004986577642851929,0.00031983271572688654,0.0006748943673254848,0.0006745557477096931,0.0008103091006962382,0.0006038258170697475,0.0027807279871212005
-0.25,-0.5,1.0,0.5816079064834826,0.5825518226812695,1.0,46.614236953714844,1.0,0.7543851653097733,0.7580689472342057,1.0,46.7432380671967,49.778396682879595
-0.25,-0.25,1.0,0.5814820534029191,0.5824260494860737,1.0,46.614497077535766,1.0,0.7543819507521374,0.7580657808891679,1.0,46.74344539585224,49.77840518042476
-0.25,0.0,1.0,0.5813572335907795,0.5823013089956202,1.0,46.614754732943034,1.0,0.7543787306596837,0.7580626090923247,1.0,46.743650678371985,49.77841327552943
-0.25,0.25,1.0,0.5812334377131428,0.5821775918812556,1.0,46.615009944536034,1.0,0.754375505021635,0.7580594318330603,1.0,46.743853935409376,49.778420974130434
-0.25,0.5,1.0,0.5811106565207794,0.5820548888989697,1.0,46.615262736659666,1.0,0.7543722738271902,0.7580562491007359,1.0,46.744055187405074,49.77842828207942
-0.5,0.5,1.0,0.7710721958434537,0.7712675375152767,1.0,48.24364080332063,1.0,0.9768260996991022,0.9771736666331382,1.0,48.28972062529204,51.78598053667936
-0.5,0.25,1.0,0.7711463419946482,0.7713416411902801,1.0,48.243541199990034,1.0,0.9768264045481478,0.977173966909995,1.0,48.28951937329634,51.78602918317496
-0.5,0.0,1.0,0.7712211042075392,0.7714163605828837,1.0,48.24344065980106,1.0,0.9768267088729718,0.9771742666704926,1.0,48.28931611625895,51.786078124591484
-0.5,-0.25,1.0,0.771296488091461,0.7714917012992711,1.0,48.24333917342216,1.0,0.9768270126745933,0.9771745659156347,1.0,48.28911083373921,51.78612736281289
-0.5,-0.5,1.0,0.771372499307122,0.7715676689969732,1.0,48.24323673142552,1.0,0.9768273159540289,0.9771748646464228,1.0,48.28890350508367,51.78617689972961
0.25,-0.5,1.213975009107107e+283,1.9729197280533606,2.3299570903684982e+280,2.177300474763598e+283,651.4649306641354,1.6479631714974072e+283,2.4088687819199657,8.6982577274695e+280,3.1650835184064516e+283,651.4784820416353,3.393605440961074e+283
0.25,-0.25,1.213975009107107e+283,1.9738545484144299,2.3299570903684982e+280,2.1773367514434237e+283,651.4649132125588,1.6479631714974072e+283,2.4100246463171926,8.6982577274695e+280,3.165142232624918e+283,651.4784634912011,3.393641717640899e+283
0.25,0.0,1.213975009107107e+283,1.9747819134222293,2.3299570903684982e+280,2.177372992058257e+283,651.4648957603944,1.6479631714974072e+283,2.411170961987722,8.6982577274695e+280,3.165200828990513e+283,651.4784449783448,3.3936779582557322e+283
0.25,0.25,1.213975009107107e+283,1.9757018881098491,2.3299570903684982e+280,2.1774091967601203e+283,651.4648783075656,1.6479631714974072e+283,2.4123078150767583,8.6982577274695e+280,3.165259307767637e+283,651.4784265029809,3.393714162957596e+283
0.25,0.5,1.213975009107107e+283,1.9766145369380428,2.3299570903684982e+280,2.1774453657008262e+283,651.4648608539961,1.6479631714974072e+283,2.4134352909476444,8.6982577274695e+280,3.1653176692200637e+283,651.4784080650242,3.3937503318983016e+283
0.5,-0.5,1.213975009107107e+283,16.0662443130757,2.3299570903684982e+280,4.9340470455666604e+283,650.9407891583937,1.6479631714974072e+283,24.170413134533636,8.6982577274695e+280,8.0864444643473e+283,651.4300652598017,6.150352011764136e+283
0.5,-0.25,1.213975009107107e+283,16.07164651673248,2.3299570903684982e+280,4.9341314999926784e+283,650.9407715070249,1.6479631714974072e+283,24.178947808722345,8.6982577274695e+280,8.086594472795462e+283,651.4300487072907,6.150436466190154e+283
0.5,0.0,1.213975009107107e+283,16.07700549594224,2.3299570903684982e+280,4.934215848108662e+283,650.9407538620073,1.6479631714974072e+283,24.187411977000934,8.6982577274695e+280,8.086744180142342e+283,651.4300321229649,6.150520814306138e+283
0.5,0.25,1.213975009107107e+283,16.08232162896814,2.3299570903684982e+280,4.934300090275428e+283,650.9407362232631,1.6479631714974072e+283,24.19580627544859,8.6982577274695e+280,8.086893587063458e+283,651.4300155067557,6.150605056472904e+283
0.5,0.5,1.213975009107107e+283,16.087595290734225,2.3299570903684982e+280,4.934384226853189e+283,650.940718590714,1.6479631714974072e+283,24.20413133437133,8.6982577274695e+280,8.08704269423272e+283,651.4299988585939,6.150689193050665e+283
