zeta_sys,zeta_spec,p95_block11_rel_residual_identifiable,p95_block22_rel_residual,p95_trace_rel_residual,p95_det_rel_residual_identifiable,p95_anisotropy_abs_residual_identifiable,max_block11_rel_residual_identifiable,max_block22_rel_residual,max_trace_rel_residual,max_det_rel_residual_identifiable,max_anisotropy_abs_residual_identifiable,objective
0.0,0.0,6.034062138837725e-15,8.170131238216527e-13,8.167688747562352e-13,7.64516228102252e-13,7.676526081468182e-13,6.217248937900877e-15,8.423262087831063e-13,8.411049634560186e-13,8.418821195732562e-13,8.428813202954188e-13,3.1719848969657957e-12
0.0,-0.125,0.0001288635870350718,0.00030952862599338267,0.0003093696372037158,0.00038459449360432884,0.00024694522771731,0.00015898000987546457,0.000334600377778993,0.00033443260921739437,0.0004022660765462538,0.00029910829499879554,0.0013793015715538092
0.0,0.125,0.00012888093738425694,0.00030962462030470483,0.00030946556861297656,0.000384742718764286,0.0002469452272082062,0.00015900528853740603,0.00033471237238758,0.0003345445417062276,0.00040242795895339967,0.00029910829472612477,0.0013796590722744305
0.0,-0.25,0.0002577098261598853,0.0006189612865581839,0.0006186433718609274,0.0007690408185397567,0.0004938904551824662,0.00031793474510710684,0.0006690887980067561,0.0006687533229828846,0.0008043703347381248,0.0005982165898616998,0.0027582457583012194
0.0,0.25,0.00025777922754135476,0.0006193452656740205,0.0006190270993667646,0.0007696337206320347,0.0004938904546662569,0.0003180358597567601,0.0006695367772868721,0.0006692010537823201,0.0008050178665268692,0.0005982165895819236,0.002759675767880431
-0.125,-0.25,1.0,0.6262992250522958,0.6274876158914241,1.0,328.6594834636717,1.0,0.6610338480378799,0.6661177322632252,1.0,329.7524160551764,331.9132703046154
-0.125,-0.125,1.0,0.6261959444730409,0.6273844060949892,1.0,328.6597398930933,1.0,0.6610294003416641,0.6661133512744742,1.0,329.75262032153057,331.9133202436613
-0.125,0.0,1.0,0.6260926296105661,0.6272811620347358,1.0,328.65999632251476,1.0,0.6610249525870888,0.666108970228239,1.0,329.75282458788473,331.91337011416005
-0.125,0.125,1.0,0.6259892804534001,0.627177883699199,1.0,328.66025275193635,1.0,0.6610205047741531,0.6661045891245185,1.0,329.7530288542389,331.91341991608897
-0.125,0.25,1.0,0.6258858969900678,0.6270745710769102,1.0,328.66050918135784,1.0,0.6610160569028558,0.666100207963312,1.0,329.753233120593,331.9134696494248
-0.25,-0.25,1.0,0.8599671856596443,0.8603775140950175,1.0,657.3194797861868,1.0,0.8850989325672693,0.8868222424635975,1.0,659.5052406430615,661.0398244859414
-0.25,-0.125,1.0,0.859927705174295,0.8603380601114767,1.0,657.3197362156083,1.0,0.8850974249092338,0.886820757417728,1.0,659.5054449094156,661.040001980894
-0.25,0.0,1.0,0.8598882115713086,0.8602985930177149,1.0,657.3199926450297,1.0,0.8850959172314158,0.8868192723523727,1.0,659.5056491757697,661.0401794496188
-0.25,0.125,1.0,0.8598487048462957,0.8602591128093455,1.0,657.3202490744513,1.0,0.8850944095338149,0.8868177872675312,1.0,659.5058534421238,661.040356892107
-0.25,0.25,1.0,0.8598091849948657,0.8602196194819797,1.0,657.3205055038728,1.0,0.8850929018164311,0.8868163021632036,1.0,659.506057708478,661.0405343083497
0.125,-0.25,2.006232115749658e+143,1.6793351248387842,8.362535887563296e+139,4.732718450513266e+143,328.6605091813583,3.748332486048039e+143,1.9499922352175956,2.8777804073951564e+140,8.662967392934195e+143,329.7532331205937,6.73978681985168e+143
0.125,-0.125,2.006410537444589e+143,1.680042193256035,8.363198623003691e+139,4.734596199166529e+143,328.66025275193675,3.7487037405049926e+143,1.950030943121687,2.878065437820381e+140,8.666453613223407e+143,329.7530288542395,6.7418430564734185e+143
0.125,0.0,2.006588976090292e+143,1.6807494958482092,8.363861418200682e+139,4.736474693544306e+143,328.65999632251527,3.749075031733143e+143,1.950069651533679,2.878350496476673e+140,8.669941236465626e+143,329.7528245878854,6.743900055776418e+143
0.125,0.125,2.006767431688228e+143,1.6814570326936567,8.364524273159325e+139,4.738353933942575e+143,328.6597398930937,3.7494463597357054e+143,1.9501083604535765,2.8786355833665013e+140,8.673430263224459e+143,329.7526203215312,6.74595781805812e+143
0.125,0.25,2.006945904240243e+143,1.6821648038707533,8.365187187885989e+139,4.740233920658323e+143,328.6594834636722,3.7498177245167496e+143,1.950147069881389,2.8789206984929916e+140,8.676920694065706e+143,329.7524160551771,6.748016343617355e+143
0.25,-0.25,5.1413325876332425e+281,6.2008496388968615,3.219930888535974e+278,3.1158226989379903e+282,646.8642880769663,5.5220992889974275e+281,7.702682565375348,3.708073634120577e+278,3.7690489037254805e+282,646.9251162927038,3.630277950790168e+282
0.25,-0.125,5.1413325876332425e+281,6.202700111460567,3.219930888535974e+278,3.116821080404494e+282,646.8639675279572,5.5220992889974275e+281,7.702796756388482,3.708073634120577e+278,3.7703104510262135e+282,646.9248129860233,3.6312763322566715e+282
