scenario,grid,n_points,f_chi2_mumu_le_4,best_chi2_mumu,best_D,best_eta,frac_winner_mismatch,max_abs_delta_R3,max_abs_delta_mu_mumu,delta_f_chi2_mumu_le_4,source
main_map_full_direct_baseline,D60xE60,3600,0.15,0.0011768716775195,9.423728813559322,0.2644067796610169,,,,,output/hll_signal_strength/hll_signal_strength_summary_full_direct_map_release.csv
small_surface_complete_direct_bias,D21xE41,861,0.1904761904761904,1.4499556991764227e-05,,,0.0,1.7881963756627428e-05,0.0033695192200653,0.0,output/kinetic_action_chain/localized_direct_surface_summary_Dgrid21_Egrid41.csv
large_surface_spotcheck_direct_bias,D60xE21,1260,0.15,0.0005096471648422,,,0.0,0.0,0.0,0.0,output/kinetic_action_chain/localized_direct_surface_summary_Dgrid60_Egrid21.csv
chain_mode_parity_full_direct_vs_cell_direct_runtime_profile,D21xE41,861,0.0952380952380952,0.2108887153962173,,,0.0,,0.0,0.0,output/kinetic_action_chain/chain_mode_cell_direct_audit_Dgrid21_Egrid41.csv
chain_mode_large_parity_full_direct_vs_cell_direct_runtime_profile,D60xE21,1260,0.1428571428571428,0.0015608257822685,,,0.0,,0.0,0.0,output/kinetic_action_chain/chain_mode_cell_direct_audit_Dgrid60_Egrid21.csv
chain_mode_parity_full_direct_vs_cell_direct_runtime_bnorm_release_tuned_candidate,D21xE41,861,0.0952380952380952,0.2108887153962173,,,0.0,,0.36385689907313434,0.0,output/kinetic_action_chain/chain_mode_cell_direct_audit_Dgrid21_Egrid41_cell_direct_runtime_release_tuned.csv
chain_mode_large_parity_full_direct_vs_cell_direct_runtime_bnorm_release_tuned_candidate,D60xE21,1260,0.1428571428571428,0.0015608257822685,,,0.0,,2.935831757976203,0.0,output/kinetic_action_chain/chain_mode_cell_direct_audit_Dgrid60_Egrid21_cell_direct_runtime_release_tuned.csv
chain_mode_large_parity_full_direct_vs_cell_direct_runtime_bnorm_extreme,D60xE21,1260,0.15,0.0011768719604618,,,0.0444444444444444,,55.030776134318785,-0.0444444444444444,output/kinetic_action_chain/chain_mode_cell_direct_audit_Dgrid60_Egrid21_cell_direct_runtime_extreme.csv
b_module_diagnostics_large_surface,D60xE21,6,,,,,,,,,output/kinetic_action_chain/full_direct_b_module_diagnostics_D60E21.csv
release_gate_status,D21xE41 + D60xE21,2121,,,,,0.0,,2.935831757976203,,output/kinetic_action_chain/full_direct_release_gate_status.csv
worst_points_table,D21xE41 + D60xE21,250,,,,,,,55.030776134318785,,output/kinetic_action_chain/full_direct_worst_points_table.csv
