D,level,lambda1,lambda2,lambda3,profile_spectrum_lambda_max_abs,gap12,gap23,rank_at_lambda1,rank_at_lambda2,rank_at_lambda3,max_rank_error,exact_ratio1,exact_ratio2,exact_ratio3,shell_volume_g1_hat,shell_volume_g2_hat,shell_volume_g3_hat,abs_exact_minus_shell_g1,abs_exact_minus_shell_g2,abs_exact_minus_shell_g3,strict_gap_pass,rank_count_pass,row_pass
4.0,fine,0.7359089334327527,0.8355420903543915,1.024913561448241,0.0,0.09963315692163888,0.18937147109384944,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.0877372766570032,0.4022360986749095,1.0,0.2455960566763301,0.2644305679917571,0.0,True,True,True
4.8,fine,0.7288862929173978,0.8215569493414443,0.9889954921757392,0.0,0.09267065642404648,0.16743854283429493,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.0923179660307205,0.4157032601767492,1.0,0.2410153673026128,0.25096340648991744,0.0,True,True,True
5.6,fine,0.7224393313381143,0.8093995500788551,0.9582383065824018,0.0,0.08696021874074078,0.14883875650354672,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.0966842625572823,0.4298177464436811,1.0,0.23664907077605102,0.23684892022298554,0.0,True,True,True
6.4,fine,0.7166248225288177,0.7991451524254205,0.9327388291448732,0.0,0.08252032989660285,0.13359367671945266,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1005807804953237,0.4440123417857009,1.0,0.2327525528380096,0.2226543248809657,0.0,True,True,True
7.2,fine,0.71113764093293,0.7895354065575437,0.9098906462267656,0.0,0.07839776562461376,0.1203552396692219,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1043173854172879,0.4576177825020235,1.0,0.2290159479160454,0.20904888416464312,0.0,True,True,True
8.0,fine,0.7060786762005951,0.7808718904158005,0.8901055886351561,0.0,0.07479321421520546,0.10923369821935558,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1076965133975723,0.4703513280413922,1.0,0.225636819935761,0.19631533862527445,0.0,True,True,True
8.8,fine,0.7014845758182553,0.773312125050611,0.8735285896544218,0.0,0.07182754923235568,0.10021646460381084,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1105242414230161,0.4818760973557381,1.0,0.22280909191031723,0.18479056931092852,0.0,True,True,True
9.6,fine,0.6971714776158304,0.7660466728709487,0.8583549285020315,0.0,0.06887519525511832,0.0923082556310828,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1132052098487218,0.4921409131549719,1.0,0.22012812348461153,0.17452575351169475,0.0,True,True,True
10.4,fine,0.6931953315764028,0.7593397162358391,0.8449575346912837,0.0,0.06614438465943628,0.08561781845544458,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1155771444155427,0.5010460184875176,1.0,0.2177561889177906,0.165620648179149,0.0,True,True,True
11.2,fine,0.6895727290628133,0.7533412727177153,0.833542251945695,0.0,0.06376854365490203,0.08020097922797964,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1174816200973365,0.5083762393762888,1.0,0.21585171323599683,0.1582904272903778,0.0,True,True,True
12.0,fine,0.6861864751125417,0.7475102882143487,0.8228303945121758,0.0,0.06132381310180701,0.07532010629782704,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1193492366257286,0.5145725517824228,1.0,0.2139840967076047,0.15209411488424385,0.0,True,True,True
12.8,fine,0.6830638620519325,0.7420539290605126,0.8131709891437531,0.0,0.058990067008580116,0.07111706008324048,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1210228106998215,0.5195476606047625,1.0,0.2123105226335118,0.1471190060619041,0.0,True,True,True
13.6,fine,0.6802096145824572,0.7370921915472781,0.8047855402175768,0.0,0.05688257696482091,0.06769334867029864,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1223575306982417,0.5230976018888424,1.0,0.2109758026350916,0.14356906477782427,0.0,True,True,True
14.4,fine,0.6775461771711009,0.7322577533017722,0.7967441384530398,0.0,0.05471157613067135,0.06448638515126759,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1237568791631008,0.5259503537750614,1.0,0.20957645417023252,0.14071631289160524,0.0,True,True,True
15.2,fine,0.6750856516280581,0.7277036284159792,0.7893558093917186,0.0,0.05261797678792113,0.061652180975739324,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1250640213091997,0.5279457703034246,1.0,0.20826931202413362,0.13872089636324203,0.0,True,True,True
16.0,fine,0.6728274944423072,0.7235184066641402,0.782825461857259,0.0,0.050690912221833084,0.05930705519311874,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1261448115817543,0.5288478586626182,1.0,0.207188521751579,0.13781880800404844,0.0,True,True,True
16.8,fine,0.6707191581295668,0.7194502665135483,0.7764650120267225,0.0,0.048731108383981425,0.0570147455131742,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1273507137754818,0.5294957188134028,1.0,0.20598261955785152,0.13717094785326378,0.0,True,True,True
17.6,fine,0.6687655269340034,0.7156075822656218,0.770534635477075,0.0,0.04684205533161845,0.05492705321145319,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1285328468572446,0.5296497790147492,1.0,0.20480048647608873,0.13701688765191744,0.0,True,True,True
18.4,fine,0.6669643237777407,0.7120526327566055,0.7652088668167716,0.0,0.04508830897886473,0.05315623406016612,1,2,3,0,0.3333333333333333,0.6666666666666666,1.0,0.1295720092173322,0.5290458627083031,1.0,0.20376132411600112,0.1376208039583635,0.0,True,True,True
