cut_D,family_label,n_components,component_1,component_2,coeff_1,coeff_2,corr_xi,corr_quartic,p95_abs_xi_resid,p95_abs_quartic_resid,max_abs_xi_resid,max_abs_quartic_resid,abs_c4_gap,rank_score
8.0,single::hk_abs_offdiag:over_diag,1,hk_abs_offdiag:over_diag,,0.2231383382030001,,0.9925369189533071,0.41606478397524116,0.020776347032483843,0.000492230442716617,0.020776347868595835,0.0004922304625134409,2.405599889106734e-05,0.005710373199728645
8.0,blend::hk_abs_offdiag:over_diag+action_abs_offdiag:over_diag,2,hk_abs_offdiag:over_diag,action_abs_offdiag:over_diag,0.2596456714358331,0.0,0.9925369189533072,0.4160647839753027,0.037992981308751075,0.0009818238695118605,0.037992982060119654,0.0009818238893086841,0.00046559727009538475,0.010945666466795014
8.0,single::action_norm_offdiag:over_diag,1,action_norm_offdiag:over_diag,,0.05203082178163167,,-0.7783796985233833,-0.9213669384514686,0.04640981403993151,0.0009860320735243467,0.04641561512662662,0.0009860320933211698,0.00011828797668863352,0.01270677356019586
8.0,blend::hk_curv_screen_offdiag:over_diag+action_norm_offdiag:over_diag,2,hk_curv_screen_offdiag:over_diag,action_norm_offdiag:over_diag,0.05963452913283591,0.03635435777050853,-0.41241884199464485,-0.772263075949791,0.054159551466352845,0.0010811724091944709,0.054582204178744625,0.0010919086150500549,0.00011099618039892814,0.014732056456181612
8.0,blend::hk_curv_screen_offdiag:over_diag+action_abs_offdiag:over_diag,2,hk_curv_screen_offdiag:over_diag,action_abs_offdiag:over_diag,0.22057256223716146,0.0,0.04648123052136759,-0.19139944931252947,0.08241695615447171,0.001418743365322308,0.08283848202739649,0.0014294795711778917,0.0002932685664972605,0.022316250970437497
8.0,single::hk_curv_screen_offdiag:over_diag,1,hk_curv_screen_offdiag:over_diag,,0.18981702273579457,,0.0464812305213676,-0.1913994493125295,0.08900959581267612,0.0014751534612621202,0.08943085878649036,0.0014858896671177037,0.00014791073952727884,0.023875463153958425
8.0,single::action_abs_offdiag:over_tree,1,action_abs_offdiag:over_tree,,0.9759446230304507,,-0.44390115470145153,-0.52732610272408,0.10042796051196975,0.001595088785502153,0.10043447187103685,0.0015952359165203411,0.0003231173237176299,0.027025196237212223
8.0,single::action_abs_offdiag:over_diag,1,action_abs_offdiag:over_diag,,0.8129971587363226,,-0.4717767272309347,-0.566463005686118,0.1013635485360663,0.001601582019532519,0.10136959345456438,0.0016017258368986403,0.00032994932483957815,0.027272418478388672
8.0,blend::hk_abs_offdiag:over_diag+action_norm_offdiag:over_diag,2,hk_abs_offdiag:over_diag,action_norm_offdiag:over_diag,0.3758692005201817,0.0,0.9925369189533071,0.4160647839751801,0.09280328426297375,0.003033564069318604,0.09280328474455603,0.0030335640891154276,0.0025175882506982498,0.028751973385760292
8.8,single::hk_abs_offdiag:over_diag,1,hk_abs_offdiag:over_diag,,0.22643899133715928,,0.9797972510617015,0.30470558947421766,0.02233291465300218,0.0005334503343932916,0.022332915620107682,0.0005334503575048434,2.243558663444947e-05,0.006139114584278286
