D,eta,mu_mumu_center,mu_mumu_min,mu_mumu_max,mu_mumu_half_width,mu_mumu_full_span,case_at_min,case_at_max
4.0,0.2,1.8414344787177783,1.8414309258204198,1.8414380350711312,3.554625355728369e-06,7.109250711456738e-06,gamma_diag_plus,gamma_diag_minus
4.8,0.2,11.499298562444261,11.499217135578476,11.499380115586504,8.149000401402873e-05,0.00016298000802805745,gamma_diag_plus,gamma_diag_minus
5.6,0.2,52.952809906080795,52.951316555419915,52.95430634564357,0.0014948951118292086,0.0029897902236584173,gamma_diag_plus,gamma_diag_minus
6.4,0.2,57.797508293669985,57.79362291250874,57.80140320044324,0.0038901439672507365,0.007780287934501473,gamma_diag_plus,gamma_diag_minus
7.2,0.2,3.484453702554153,3.484111572650383,3.4847967242040125,0.0003425757768147353,0.0006851515536294706,gamma_diag_plus,gamma_diag_minus
8.0,0.2,2.3187707056467866,2.3183265330852527,2.3192160446726984,0.0004447557937228286,0.0008895115874456572,gamma_diag_plus,gamma_diag_minus
8.8,0.2,1.583771000707045,1.5837697258927932,1.58377227201814,1.273062673390335e-06,2.54612534678067e-06,gamma_diag_minus,gamma_diag_plus
9.600000000000001,0.2,1.0000000014127333,1.0000000014127328,1.0000000014127333,2.220446049250313e-16,4.440892098500626e-16,mu_low_plus,center_nonzero
10.4,0.2,0.4939376795916254,0.4938882420229001,0.4939872557348784,4.950685598914539e-05,9.901371197829079e-05,gamma_diag_plus,gamma_diag_minus
11.2,0.2,0.15086342890059204,0.15083341281562557,0.15089353067393793,3.0058929156182024e-05,6.011785831236405e-05,gamma_diag_plus,gamma_diag_minus
12.0,0.2,0.037592486809649356,0.03758160705035105,0.03760339812625524,1.0895537952092943e-05,2.1791075904185886e-05,gamma_diag_plus,gamma_diag_minus
12.8,0.2,0.00233798276429729,0.0023377003588174305,0.0023382644106707475,2.82025926658493e-07,5.64051853316986e-07,gamma_diag_minus,gamma_diag_plus
13.600000000000001,0.2,0.000176618388540209,0.00017659327576401469,0.0001766434340814738,2.507915872955284e-08,5.015831745910568e-08,gamma_diag_minus,gamma_diag_plus
14.4,0.2,4.364969103085515e-05,4.364741757002641e-05,4.365195830290823e-05,2.270366440909697e-09,4.540732881819394e-09,gamma_diag_minus,gamma_diag_plus
15.200000000000001,0.2,1.2015806871942535e-05,1.2015413985020524e-05,1.2016200847989205e-05,3.9343148434066287e-10,7.868629686813257e-10,gamma_diag_plus,gamma_diag_minus
16.0,0.2,1.7584384531196563e-06,1.7582385246504476e-06,1.7586389439399386e-06,2.0020964474552372e-10,4.0041928949104744e-10,gamma_diag_plus,gamma_diag_minus
16.8,0.2,4.076501187098994e-07,4.075720528631634e-07,4.077284071877065e-07,7.817716227154384e-11,1.5635432454308768e-10,gamma_diag_plus,gamma_diag_minus
17.6,0.2,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
18.4,0.2,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
19.200000000000003,0.2,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
20.0,0.2,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
4.0,0.29500000000000004,1.8553977041522358,1.85539410730861,1.8554013044946691,3.598593029563446e-06,7.197186059126892e-06,gamma_diag_plus,gamma_diag_minus
