D,eta,mu_mumu_uv_rge,chi2_uv_rge,mu_mumu_release_bridge,mu_mumu_direct_y2,delta_mu_mumu_direct_minus_release,abs_delta_mu_mumu_direct_minus_release,chi2_release_bridge,chi2_direct_y2,accept_release,accept_direct_y2,acceptance_flip,acceptance_gain,acceptance_loss
4.0,0.2,2.4082829678814335,6.353965895748699,2.408282967882146,2.407168366689106,-0.0011146011930396327,0.0011146011930396327,6.353965895757677,6.339925742870012,False,False,False,False,False
4.0,0.39,2.444858357046273,6.823306164308981,2.444858357047335,2.4437158947715045,-0.0011424622758302583,0.0011424622758302583,6.823306164322848,6.808392931241766,False,False,False,False,False
4.0,0.5800000000000001,2.4816946922020406,7.312896294612922,2.4816946922032805,2.4805238257938864,-0.0011708664093941223,0.0011708664093941223,7.312896294629686,7.297073363176606,False,False,False,False,False
4.0,0.77,2.518787195135122,7.823029924989459,2.5187871951365346,2.5175873772896415,-0.0011998178468930476,0.0011998178468930476,7.823029925009216,7.806259661732124,False,False,False,False,False
4.0,0.96,2.556130964866399,8.353992549518189,2.5561309648674495,2.554901644209502,-0.0012293206579476745,0.0012293206579476745,8.353992549533373,8.336236298736317,False,False,False,False,False
4.0,1.15,2.59372098030372,8.906061117607962,2.59372098030432,2.5924616015818147,-0.0012593787225054776,0.0012593787225054776,8.906061117616922,8.887279195294166,False,False,False,False,False
4.0,1.34,2.631552103015893,9.479503640267929,2.631552103016107,2.6302621072912595,-0.001289995724847337,0.001289995724847337,9.479503640271222,9.459655328979567,False,False,False,False,False
4.0,1.53,2.6696190801249746,10.07457880385867,2.6696190801249093,2.6682979049771713,-0.0013211751477379963,0.0013211751477379963,10.074578803857632,10.053622348559262,False,False,False,False,False
4.0,1.72,2.7079165473131046,10.691535592096455,2.7079165473133937,2.7065636270466484,-0.0013529202667452722,0.0013529202667452722,10.69153559210118,10.669428197008084,False,False,False,False,False
4.0,1.91,2.746439031940409,11.330612917078913,2.746439031940849,2.7450537977961256,-0.0013852341447235794,0.0013852341447235794,11.33061291708632,11.30731074353613,False,False,False,False,False
4.0,2.1,2.785180956269893,11.992039260079846,2.785180956270464,2.7837628366439815,-0.001418119626482639,0.001418119626482639,11.992039260089735,11.967497425481241,False,False,False,False,False
4.0,2.29,2.824136640795359,12.676032322849313,2.8241366407956763,2.822685061462021,-0.0014515793336551397,0.0014515793336551397,12.676032322854956,12.650204900669968,False,False,False,False,False
4.0,2.4800000000000004,2.8633003076679997,13.382798690132892,2.863300307669143,2.861814692009382,-0.0014856156597606862,0.0014856156597606862,13.382798690153802,13.35563871109053,False,False,False,False,False
4.0,2.6700000000000004,2.9026660842173873,14.1125335041076,2.902666084217795,2.9011458534523125,-0.0015202307654824665,0.0015202307654824665,14.112533504115259,14.0839929583567,False,False,False,False,False
4.0,2.8600000000000003,2.942228006562086,14.86542015140291,2.942228006562729,2.9406725799885445,-0.0015554265741846152,0.0015554265741846152,14.865420151415307,14.835449992053487,False,False,False,False,False
