D,n_points,n_accept_release,n_accept_direct,n_acceptance_flips,n_crossings,min_s_cross,max_s_cross,mean_abs_delta_mu,max_abs_delta_mu
4.0,21,0,0,0,0,,,0.0014286245615974195,0.00177887297199808
4.8,21,0,0,0,0,,,0.032556154242265614,0.033099846312229175
5.6,21,0,0,0,0,,,0.816884940955433,0.8177831132295807
6.4,21,0,0,0,0,,,3.1368082286660774,3.137008780667415
7.2,21,0,0,0,0,,,0.3230093413101698,0.32301043265738505
8.0,21,0,21,21,21,0.4570843082747914,0.45708469001133645,0.2700559400908765,0.2700559856983875
8.8,21,21,21,0,0,,,0.25618950871580665,0.25618951088332054
9.6,21,21,21,0,0,,,0.17995732914082177,0.17995733020029192
10.4,21,0,0,0,0,,,0.09251966486279833,0.09251966647648874
11.2,21,0,0,0,0,,,0.02878394479916418,0.028783949561667008
12.0,21,0,0,0,0,,,0.007237092106245178,0.007237101285284545
12.8,21,0,0,0,0,,,0.00044812342838211887,0.00044813397891273546
13.6,21,0,0,0,0,,,3.376608699588525e-05,3.3767886216267665e-05
14.4,21,0,0,0,0,,,8.328674900118751e-06,8.329886100670718e-06
15.2,21,0,0,0,0,,,2.2993111636333262e-06,2.301010773153339e-06
16.0,21,0,0,0,0,,,3.347578430110944e-07,3.362585781683975e-07
16.8,21,0,0,0,0,,,6.707322533818123e-08,7.80477751802014e-08
17.6,21,0,0,0,0,,,5.540180778277107e-09,6.095428965975934e-09
18.4,21,0,0,0,0,,,3.851413351950197e-10,4.256825283734428e-10
19.200000000000003,21,0,0,0,0,,,1.513994448668842e-10,4.541983346006526e-10
20.0,21,0,0,0,0,,,1.0667757876168576e-52,1.0667757876168576e-52
