D,eta,width_ratio
4.0,0.2,473.94869895699594
4.0,0.6,464.4526781413878
4.0,1.0,455.174933356336
4.0,2.0,432.9368006115889
4.0,4.0,392.5038842910549
4.8,0.2,93.95499366753128
4.8,0.6,93.80066996437247
4.8,1.0,93.64669441289927
4.8,2.0,93.26327522205466
4.8,4.0,92.50292150925353
5.6,0.2,15.37090670049047
5.6,0.6,15.368993824344258
5.6,1.0,15.367081322517066
5.6,2.0,15.362301705279197
5.6,4.0,15.352749484985301
6.4,0.2,3.969666922829476
6.4,0.6,3.9696329784112434
6.4,1.0,3.9695990346015018
6.4,2.0,3.9695141778007614
6.4,4.0,3.969344475791216
7.2,0.2,2.179733538336576
7.2,0.6,2.179732270116455
7.2,1.0,2.179731001961926
7.2,2.0,2.179727831602201
7.2,4.0,2.179721490914391
8.0,0.2,1.6695137800602917
8.0,0.6,1.6695137077527318
8.0,1.0,1.6695136354539692
8.0,2.0,1.6695134550683104
8.0,4.0,1.6695130943533383
8.8,0.2,1.1371274943762815
8.8,0.6,1.1371274927524013
8.8,1.0,1.1371274908293343
8.8,2.0,1.1371274855959208
8.8,4.0,1.137127475418494
9.600000000000001,0.2,0.9999999986865027
9.600000000000001,0.6,0.9999999997127701
9.600000000000001,1.0,0.9999999999999999
9.600000000000001,2.0,0.999999999621595
9.600000000000001,4.0,0.9999999994387501
10.4,0.2,0.9547984217343722
10.4,0.6,0.9547984190428345
10.4,1.0,0.9547984189367312
10.4,2.0,0.9547984187052312
10.4,4.0,0.9547984188573403
11.2,0.2,0.9393574704063026
11.2,0.6,0.9393574702381269
11.2,1.0,0.939357470201778
11.2,2.0,0.9393574697268823
11.2,4.0,0.9393574695968523
12.0,0.2,0.9377375525441801
12.0,0.6,0.9377375506961043
12.0,1.0,0.9377375503260582
12.0,2.0,0.9377375498230356
12.0,4.0,0.9377375495394847
12.8,0.2,0.9369505060680684
12.8,0.6,0.9369505081041994
12.8,1.0,0.9369505085038143
12.8,2.0,0.9369505078640413
12.8,4.0,0.9369505078409414
13.600000000000001,0.2,0.9368124061989829
13.600000000000001,0.6,0.9368124039922494
13.600000000000001,1.0,0.9368124021853595
13.600000000000001,2.0,0.9368124021427179
13.600000000000001,4.0,0.9368124024837272
14.4,0.2,0.9367867062801833
14.4,0.6,0.9367867008229177
14.4,1.0,0.936786702910484
14.4,2.0,0.936786702090618
14.4,4.0,0.936786702115734
15.200000000000001,0.2,0.9367805580554164
15.200000000000001,0.6,0.9367805543978107
15.200000000000001,1.0,0.9367805536182684
15.200000000000001,2.0,0.936780553993902
15.200000000000001,4.0,0.9367805539917511
16.0,0.2,0.9367803934973477
16.0,0.6,0.9367803934956824
16.0,1.0,0.9367803934963455
16.0,2.0,0.9367803934962445
16.0,4.0,0.9367803934962898
16.8,0.2,0.9367803932173527
16.8,0.6,0.9367803932076444
16.8,1.0,0.9367803932057552
16.8,2.0,0.9367803932057552
16.8,4.0,0.9367803932049842
17.6,0.2,0.9367803931440628
17.6,0.6,0.9367803931440628
17.6,1.0,0.9367803931440628
17.6,2.0,0.9367803931440628
17.6,4.0,0.9367803931440628
18.4,0.2,0.9367803931440628
18.4,0.6,0.9367803931440628
18.4,1.0,0.9367803931440628
18.4,2.0,0.9367803931440628
18.4,4.0,0.9367803931440628
19.200000000000003,0.2,0.9367803931440628
19.200000000000003,0.6,0.9367803931440628
19.200000000000003,1.0,0.9367803931440628
19.200000000000003,2.0,0.9367803931440628
19.200000000000003,4.0,0.9367803931440628
20.0,0.2,0.9367803931440628
20.0,0.6,0.9367803931440628
20.0,1.0,0.9367803931440628
20.0,2.0,0.9367803931440628
20.0,4.0,0.9367803931440628
