center_D,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
5.8,0.1,4.813559322033898,0.2,14.72418112497265,13.420768932824766,1.303412192147885,0.09268768935397863,0.0
5.8,0.15,4.813559322033898,0.2,14.72418112552233,13.420768932824766,1.3034121926975644,0.09268768939131046,0.0
5.8,0.2,4.813559322033898,0.2,14.724188183008414,13.420768932824766,1.303419250183648,0.09268816870383252,0.0
6.0,0.1,4.813559322033898,0.2,14.72418112497265,13.420768932824766,1.303412192147885,0.09268768935397863,0.0
6.0,0.15,4.813559322033898,0.2,14.724181124972702,13.420768932824766,1.3034121921479365,0.09268768935398207,0.0
6.0,0.2,4.813559322033898,0.2,14.724181155840576,13.420768932824766,1.30341222301581,0.09268769145038899,0.0
6.2,0.1,4.813559322033898,0.2,14.72418112497265,13.420768932824766,1.303412192147885,0.09268768935397863,0.0
6.2,0.15,4.813559322033898,0.2,14.72418112497265,13.420768932824766,1.303412192147885,0.09268768935397863,0.0
6.2,0.2,4.813559322033898,0.2,14.724181125022291,13.420768932824766,1.3034121921975252,0.09268768935735001,0.0
5.8,0.1,4.813559322033898,0.39,14.737140583185584,13.432401023425971,1.3047395597596125,0.09270110250330946,0.0
5.8,0.15,4.813559322033898,0.39,14.737140583735748,13.432401023425971,1.304739560309777,0.09270110254064139,0.0
5.8,0.2,4.813559322033898,0.39,14.737147647433462,13.432401023425971,1.3047466240074908,0.09270158185316339,0.0
6.0,0.1,4.813559322033898,0.39,14.737140583185584,13.432401023425971,1.3047395597596125,0.09270110250330946,0.0
6.0,0.15,4.813559322033898,0.39,14.737140583185635,13.432401023425971,1.304739559759664,0.0927011025033129,0.0
6.0,0.2,4.813559322033898,0.39,14.73714061408067,13.432401023425971,1.3047395906547,0.09270110459971943,0.0
6.2,0.1,4.813559322033898,0.39,14.737140583185584,13.432401023425971,1.3047395597596125,0.09270110250330946,0.0
6.2,0.15,4.813559322033898,0.39,14.737140583185584,13.432401023425971,1.3047395597596125,0.09270110250330946,0.0
6.2,0.2,4.813559322033898,0.39,14.737140583235274,13.432401023425971,1.3047395598093026,0.0927011025066812,0.0
5.8,0.1,4.813559322033898,0.5800000000000001,14.750112559770676,13.444035074114167,1.306077485656509,0.092715195163495,0.0
5.8,0.15,4.813559322033898,0.5800000000000001,14.750112560321323,13.444035074114167,1.3060774862071565,0.0927151952008266,0.0
5.8,0.2,4.813559322033898,0.5800000000000001,14.75011963023667,13.444035074114167,1.306084556122503,0.09271567451334883,0.0
6.0,0.1,4.813559322033898,0.5800000000000001,14.750112559770676,13.444035074114167,1.306077485656509,0.092715195163495,0.0
6.0,0.15,4.813559322033898,0.5800000000000001,14.750112559770727,13.444035074114167,1.3060774856565605,0.09271519516349844,0.0
6.0,0.2,4.813559322033898,0.5800000000000001,14.750112590692954,13.444035074114167,1.306077516578787,0.09271519725990458,0.0
6.2,0.1,4.813559322033898,0.5800000000000001,14.750112559770676,13.444035074114167,1.306077485656509,0.092715195163495,0.0
6.2,0.15,4.813559322033898,0.5800000000000001,14.750112559770676,13.444035074114167,1.306077485656509,0.092715195163495,0.0
6.2,0.2,4.813559322033898,0.5800000000000001,14.750112559820405,13.444035074114167,1.306077485706238,0.0927151951668663,0.0
5.8,0.1,4.813559322033898,0.77,14.763077897904044,13.455671072630873,1.307406825273171,0.09272866883131238,0.0
5.8,0.15,4.813559322033898,0.77,14.763077898455176,13.455671072630873,1.3074068258243035,0.09272866886864409,0.0
5.8,0.2,4.813559322033898,0.77,14.763084974584967,13.455671072630873,1.307413901954094,0.0927291481811658,0.0
6.0,0.1,4.813559322033898,0.77,14.763077897904044,13.455671072630873,1.307406825273171,0.09272866883131238,0.0
6.0,0.15,4.813559322033898,0.77,14.763077897904095,13.455671072630873,1.3074068252732225,0.09272866883131582,0.0
6.0,0.2,4.813559322033898,0.77,14.763077928853503,13.455671072630873,1.3074068562226309,0.09272867092772204,0.0
6.2,0.1,4.813559322033898,0.77,14.763077897904044,13.455671072630873,1.307406825273171,0.09272866883131238,0.0
6.2,0.15,4.813559322033898,0.77,14.763077897904044,13.455671072630873,1.307406825273171,0.09272866883131238,0.0
6.2,0.2,4.813559322033898,0.77,14.763077897953815,13.455671072630873,1.3074068253229427,0.09272866883468363,0.0
5.8,0.1,4.813559322033898,0.96,14.776053488241448,13.467309006710973,1.308744481530475,0.09274266915133077,0.0
5.8,0.15,4.813559322033898,0.96,14.776053488793067,13.467309006710973,1.3087444820820942,0.09274266918866277,0.0
5.8,0.2,4.813559322033898,0.96,14.776060571142228,13.467309006710973,1.3087515644312546,0.09274314850118465,0.0
6.0,0.1,4.813559322033898,0.96,14.776053488241448,13.467309006710973,1.308744481530475,0.09274266915133077,0.0
6.0,0.15,4.813559322033898,0.96,14.7760534882415,13.467309006710973,1.3087444815305265,0.09274266915133421,0.0
6.0,0.2,4.813559322033898,0.96,14.776053519218118,13.467309006710973,1.308744512507145,0.09274267124774103,0.0
6.2,0.1,4.813559322033898,0.96,14.776053488241448,13.467309006710973,1.308744481530475,0.09274266915133077,0.0
6.2,0.15,4.813559322033898,0.96,14.776053488241448,13.467309006710973,1.308744481530475,0.09274266915133077,0.0
6.2,0.2,4.813559322033898,0.96,14.776053488291266,13.467309006710973,1.3087444815802929,0.09274266915470218,0.0
