beta_peak,sigma_D,beta_eff,D,eta,effective_ref_amp,effective_ref_vs_raw_ratio,base_mu,cur_mu,mu_cf,delta_mu_cf,delta_log_mu_cf,acceptance_mismatch_cf
0.0,0.05,0.0,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004798029621,-41.816977647062465,-0.617213496549675,0.0
0.25,0.05,7.027525579117002e-27,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004798029621,-41.816977647062465,-0.617213496549675,0.0
0.5,0.05,1.4055051158234003e-26,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004798029621,-41.816977647062465,-0.617213496549675,0.0
0.75,0.05,2.1082576737351005e-26,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004798029621,-41.816977647062465,-0.617213496549675,0.0
1.0,0.05,2.8110102316468006e-26,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004798029621,-41.816977647062465,-0.617213496549675,0.0
0.0,0.1,0.0,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004798029621,-41.816977647062465,-0.617213496549675,0.0
0.25,0.1,1.0236597216554897e-07,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.980047965774894,-41.816977661583785,-0.617213496846149,0.0
0.5,0.1,2.0473194433109794e-07,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004795125358,-41.8169776761051,-0.6172134971426231,0.0
0.75,0.1,3.070979164966469e-07,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004793673236,-41.81697769062632,-0.6172134974390954,0.0
1.0,0.1,4.094638886621959e-07,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.980047922211064,-41.816977705147615,-0.6172134977355691,0.0
0.0,0.15,0.0,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004798029621,-41.816977647062465,-0.617213496549675,0.0
0.25,0.15,0.00036218021542526696,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.979996602697426,-41.81702902466125,-0.617214545499765,0.0
0.5,0.15,0.0007243604308505339,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.979945225152655,-41.817080402206024,-0.6172155944498523,0.0
0.75,0.15,0.0010865406462758009,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.979893847661856,-41.81713177969682,-0.6172166433999381,0.0
1.0,0.15,0.0014487208617010678,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.97984247022484,-41.81718315713384,-0.6172176923500262,0.0
0.0,0.2,0.0,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004798029621,-41.816977647062465,-0.617213496549675,0.0
0.25,0.2,0.006324029837561282,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.97915088363486,-41.81787474372382,-0.617231812270338,0.0
0.5,0.2,0.012648059675122563,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.9782538034045,-41.81877182395418,-0.6172501279909973,0.0
0.75,0.2,0.018972089512683844,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.97735673960442,-41.81966888775426,-0.6172684437116617,0.0
1.0,0.2,0.025296119350245127,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.97645969223472,-41.82056593512396,-0.6172867594323227,0.0
0.0,0.3,0.0,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.98004798029621,-41.816977647062465,-0.617213496549675,0.0
0.25,0.3,0.04877375441437493,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.97312959379143,-41.82389603356725,-0.6173547556019616,0.0
0.5,0.3,0.09754750882874987,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.96621218450217,-41.83081344285651,-0.6174960146542517,0.0
0.75,0.3,0.1463212632431248,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.95929575229076,-41.83772987506792,-0.6176372737065383,0.0
1.0,0.3,0.19509501765749973,5.898305084745763,0.2,4.51929534106905e-05,0.9850124022215363,90.79702562735868,48.98004798029621,48.952380297018934,-41.844645330339745,-0.6177785327588262,0.0
0.0,0.05,0.0,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.9821252525353,-41.816496912209146,-0.6171886703013234,0.0
0.25,0.05,7.027525579117002e-27,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.9821252525353,-41.816496912209146,-0.6171886703013234,0.0
0.5,0.05,1.4055051158234003e-26,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.9821252525353,-41.816496912209146,-0.6171886703013234,0.0
0.75,0.05,2.1082576737351005e-26,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.9821252525353,-41.816496912209146,-0.6171886703013234,0.0
1.0,0.05,2.8110102316468006e-26,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.9821252525353,-41.816496912209146,-0.6171886703013234,0.0
0.0,0.1,0.0,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.9821252525353,-41.816496912209146,-0.6171886703013234,0.0
0.25,0.1,1.0236597216554897e-07,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.98212523801339,-41.816496926731055,-0.617188670597797,0.0
0.5,0.1,2.0473194433109794e-07,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.982125223491465,-41.81649694125298,-0.617188670894271,0.0
0.75,0.1,3.070979164966469e-07,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.982125208969705,-41.81649695577474,-0.6171886711907416,0.0
1.0,0.1,4.094638886621959e-07,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.982125194447775,-41.81649697029667,-0.6171886714872156,0.0
0.0,0.15,0.0,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.9821252525353,-41.816496912209146,-0.6171886703013234,0.0
0.25,0.15,0.00036218021542526696,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.98207387275768,-41.81654829198676,-0.6171897192514108,0.0
0.5,0.15,0.0007243604308505339,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.98202249303394,-41.816599671710506,-0.6171907682014987,0.0
0.75,0.15,0.0010865406462758009,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.981971113364025,-41.81665105138042,-0.6171918171515878,0.0
1.0,0.15,0.0014487208617010678,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.981919733748065,-41.81670243099638,-0.6171928661016757,0.0
0.0,0.2,0.0,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.9821252525353,-41.816496912209146,-0.6171886703013234,0.0
0.25,0.2,0.006324029837561282,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.98122811782767,-41.817394046916775,-0.6172069860219839,0.0
0.5,0.2,0.012648059675122563,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.98033099955152,-41.818291165192925,-0.6172253017426454,0.0
0.75,0.2,0.018972089512683844,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.97943389770652,-41.81918826703792,-0.6172436174633081,0.0
1.0,0.2,0.025296119350245127,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.97853681229254,-41.820085352451905,-0.6172619331839688,0.0
0.0,0.3,0.0,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.9821252525353,-41.816496912209146,-0.6171886703013234,0.0
0.25,0.3,0.04877375441437493,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.97520657261793,-41.823415592126516,-0.6173299293536059,0.0
0.5,0.3,0.09754750882874987,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.96828886995769,-41.830333294786755,-0.6174711884058887,0.0
0.75,0.3,0.1463212632431248,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.96137214441654,-41.8372500203279,-0.6176124474581718,0.0
1.0,0.3,0.19509501765749973,5.898305084745763,0.39,4.5192953410691016e-05,0.9850124022215476,90.79862216474444,48.98212525253532,48.954456395856496,-41.84416576888795,-0.6177537065104546,0.0
0.0,0.05,0.0,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420270724076,-41.81601596847671,-0.6171638415264118,0.0
0.25,0.05,7.027525579117002e-27,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420270724076,-41.81601596847671,-0.6171638415264118,0.0
0.5,0.05,1.4055051158234003e-26,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420270724076,-41.81601596847671,-0.6171638415264118,0.0
0.75,0.05,2.1082576737351005e-26,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420270724076,-41.81601596847671,-0.6171638415264118,0.0
1.0,0.05,2.8110102316468006e-26,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420270724076,-41.81601596847671,-0.6171638415264118,0.0
0.0,0.1,0.0,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420270724076,-41.81601596847671,-0.6171638415264118,0.0
0.25,0.1,1.0236597216554897e-07,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.984202692718206,-41.81601598299927,-0.6171638418228862,0.0
0.5,0.1,2.0473194433109794e-07,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420267819566,-41.816015997521816,-0.6171638421193602,0.0
0.75,0.1,3.070979164966469e-07,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420266367321,-41.816016012044265,-0.6171638424158323,0.0
1.0,0.1,4.094638886621959e-07,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420264915077,-41.81601602656671,-0.6171638427123043,0.0
0.0,0.15,0.0,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420270724076,-41.81601596847671,-0.6171638415264118,0.0
0.25,0.15,0.00036218021542526696,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98415132528389,-41.816067350433585,-0.6171648904765015,0.0
0.5,0.15,0.0007243604308505339,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.984099943381096,-41.81611873233638,-0.6171659394265875,0.0
0.75,0.15,0.0010865406462758009,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.984048561532035,-41.81617011418544,-0.6171669883766767,0.0
1.0,0.15,0.0014487208617010678,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98399717973704,-41.816221495980436,-0.6171680373267626,0.0
0.0,0.2,0.0,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420270724076,-41.81601596847671,-0.6171638415264118,0.0
0.25,0.2,0.006324029837561282,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98330553448338,-41.816913141234096,-0.617182157247073,0.0
0.5,0.2,0.012648059675122563,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.9824083781582,-41.81781029755928,-0.6172004729677342,0.0
0.75,0.2,0.018972089512683844,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98151123826478,-41.818707437452694,-0.6172187886883986,0.0
1.0,0.2,0.025296119350245127,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98061411480314,-41.819604560914335,-0.6172371044090598,0.0
0.0,0.3,0.0,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.98420270724076,-41.81601596847671,-0.6171638415264118,0.0
0.25,0.3,0.04877375441437493,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.97728373388463,-41.82293494183284,-0.6173051005786986,0.0
0.5,0.3,0.09754750882874987,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.970365737827116,-41.82985293789036,-0.6174463596309847,0.0
0.75,0.3,0.1463212632431248,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.96344871893014,-41.836769956787336,-0.6175876186832713,0.0
1.0,0.3,0.19509501765749973,5.898305084745763,0.5800000000000001,4.519295341068933e-05,0.9850124022215108,90.80021867571747,48.98420270724076,48.95653267705567,-41.843685998661805,-0.6177288777355582,0.0
0.0,0.05,0.0,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627997973061,-41.81553518073201,-0.6171390176718979,0.0
0.25,0.05,7.027525579117002e-27,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627997973061,-41.81553518073201,-0.6171390176718979,0.0
0.5,0.05,1.4055051158234003e-26,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627997973061,-41.81553518073201,-0.6171390176718979,0.0
0.75,0.05,2.1082576737351005e-26,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627997973061,-41.81553518073201,-0.6171390176718979,0.0
1.0,0.05,2.8110102316468006e-26,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627997973061,-41.81553518073201,-0.6171390176718979,0.0
0.0,0.1,0.0,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627997973061,-41.81553518073201,-0.6171390176718979,0.0
0.25,0.1,1.0236597216554897e-07,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627996520756,-41.815535195255066,-0.6171390179683697,0.0
0.5,0.1,2.0473194433109794e-07,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.986279950684306,-41.81553520977832,-0.6171390182648456,0.0
