beta_peak,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,hotspot_p95_abs_delta_mu,hotspot_max_abs_delta_mu,guard_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,p95_effective_ref_vs_raw_ratio
0.0,0.05,41.81548708537447,41.816977647062465,0.0,22.084295155929965,22.08437637417388,41.816977647062465,41.816977647062465,31.55654848497108,22.08437637417388,0.9999933101127902
0.0,0.1,41.81548708537447,41.816977647062465,0.0,22.084295155929965,22.08437637417388,41.816977647062465,41.816977647062465,31.55654848497108,22.08437637417388,0.9999933101127902
0.0,0.15,41.81548708537447,41.816977647062465,0.0,22.084295155929965,22.08437637417388,41.816977647062465,41.816977647062465,31.55654848497108,22.08437637417388,0.9999933101127902
0.0,0.2,41.81548708537447,41.816977647062465,0.0,22.084295155929965,22.08437637417388,41.816977647062465,41.816977647062465,31.55654848497108,22.08437637417388,0.9999933101127902
0.0,0.3,41.81548708537447,41.816977647062465,0.0,22.084295155929965,22.08437637417388,41.816977647062465,41.816977647062465,31.55654848497108,22.08437637417388,0.9999933101127902
0.25,0.05,41.81548708537447,41.816977647062465,0.0,8.880180808536778,8.880226436352153,41.816977647062465,41.816977647062465,31.556549929913366,8.880226436352153,0.9999933101127902
0.25,0.1,41.815487099897595,41.816977661583785,0.0,8.880180808536778,8.880226436352153,41.816977661583785,41.816977661583785,31.645743152145222,8.880226436352153,0.9999933101127902
0.25,0.15,41.81553846972818,41.81702902466125,0.0,8.880180808536778,8.880226436352153,41.81702902466125,41.81702902466125,32.24075134035286,8.880226436352153,0.9999933101127902
0.25,0.2,41.816384299983206,41.81787474372382,0.0,8.880180808536778,8.880226436352153,41.81787474372382,41.81787474372382,32.94615826925094,8.880226436352153,0.9999933101127902
0.25,0.3,41.82240638148671,41.82389603356725,0.0,8.880180808536778,8.880226436352153,41.82389603356725,41.82389603356725,33.8528802890728,8.880226436352153,0.9999933101127902
0.5,0.05,41.81548708537447,41.816977647062465,0.0,2.0076901699861196,2.0077064442259243,41.816977647062465,41.816977647062465,31.556551374855708,2.0077064442259243,0.9999933101127902
0.5,0.1,41.815487114420904,41.8169776761051,0.0,2.0076901699861196,2.0077064442259243,41.8169776761051,41.8169776761051,31.734794190130692,2.0077064442259243,0.9999933101127902
0.5,0.15,41.81558985402785,41.817080402206024,0.0,2.0076901699861196,2.0077064442259243,41.817080402206024,41.817080402206024,32.91650267826441,2.0077064442259243,0.9999933101127902
0.5,0.2,41.81728149815889,41.81877182395418,0.0,2.0076901699861196,2.0077064442259243,41.81877182395418,41.81877182395418,34.30090618541395,2.0077064442259243,0.9999933101127902
0.5,0.3,41.82932470025486,41.83081344285651,0.0,2.0076901699861196,2.0077064442259243,41.83081344285651,41.83081344285651,36.054012693314455,2.0077064442259243,0.9999933101127902
0.75,0.05,41.81548708537447,41.816977647062465,0.0,10.984853227393927,10.984861143880018,41.816977647062465,41.816977647062465,31.5565528197978,10.984861143880018,0.9999933101127902
0.75,0.1,41.81548712894394,41.81697769062632,0.0,10.984853227393927,10.984861143880018,41.81697769062632,41.81697769062632,31.82370183021188,10.984861143880018,0.9999933101127902
0.75,0.15,41.81564123827377,41.81713177969682,0.0,10.984853227393927,10.984861143880018,41.81713177969682,41.81713177969682,33.5839068948611,10.984861143880018,0.9999933101127902
0.75,0.2,41.818178679902,41.81966888775426,0.0,10.984853227393927,10.984861143880018,41.81966888775426,41.81966888775426,35.62166683139534,10.984861143880018,0.9999933101127902
0.75,0.3,41.83624204181678,41.83772987506792,0.0,10.984853227393927,10.984861143880018,41.83772987506792,41.83772987506792,38.163892394648975,10.984861143880018,0.9999933101127902
1.0,0.05,41.81548708537447,41.816977647062465,0.0,18.387299933623034,18.387327802697385,41.816977647062465,41.816977647062465,31.55655426473985,18.387327802697385,0.9999933101127902
1.0,0.1,41.815487143467244,41.816977705147615,0.0,18.387299933623034,18.387327802697385,41.816977705147615,41.816977705147615,31.912466303300775,18.387327802697385,0.9999933101127902
1.0,0.15,41.81569262246571,41.81718315713384,0.0,18.387299933623034,18.387327802697385,41.81718315713384,41.81718315713384,34.243067096759546,18.387327802697385,0.9999933101127902
1.0,0.2,41.81907584521271,41.82056593512396,0.0,18.387299933623034,18.387327802697385,41.82056593512396,41.82056593512396,36.90929286363507,18.387327802697385,0.9999933101127902
1.0,0.3,41.843158406310714,41.844645330339745,0.0,18.387299933623034,18.387327802697385,41.844645330339745,41.844645330339745,40.186302471173946,18.387327802697385,0.9999933101127902
