width_peak,refamp_peak,center_D,sigma_D,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,joint_hotspot_objective,guard_objective,joint_objective
0.0,0.0,5.63,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.0,0.5,5.63,0.1,14.042995898871474,12.987381956743278,0.7906539396762895,30.245533887575135,0.21506726694990164,14.042995898871474,30.245533887575135,15.122766943787568
0.0,1.0,5.63,0.1,14.067526485721359,12.936534891502937,0.7906523832816816,30.245533887575135,0.21506726694990164,14.067526485721359,30.245533887575135,15.122766943787568
0.25,0.0,5.63,0.1,14.018475615194689,13.038186183831392,0.7906554960706131,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.25,0.5,5.63,0.1,14.042995898871474,12.987381956743313,0.7906539396762895,30.245533887575135,0.21506726694990164,14.042995898871474,30.245533887575135,15.122766943787568
0.25,1.0,5.63,0.1,14.067526485721359,12.936534891502966,0.7906523832816816,30.245533887575135,0.21506726694990164,14.067526485721359,30.245533887575135,15.122766943787568
0.75,0.0,5.63,0.1,14.018475615194689,13.038186183831364,0.7906554960706274,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.75,0.5,5.63,0.1,14.042995898871474,12.987381956743278,0.7906539396763037,30.245533887575135,0.21506726694990164,14.042995898871474,30.245533887575135,15.122766943787568
0.75,1.0,5.63,0.1,14.067526485721359,12.936534891502937,0.7906523832816958,30.245533887575135,0.21506726694990164,14.067526485721359,30.245533887575135,15.122766943787568
0.0,0.0,5.63,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.0,0.0,5.63,0.2,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.0,0.0,5.76,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.0,0.0,5.76,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.0,0.0,5.76,0.2,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.0,0.0,5.9,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.0,0.0,5.9,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.0,0.0,5.9,0.2,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887575135,0.21506726694990164,14.018475615194689,30.245533887575135,15.122766943787568
0.5,0.0,5.63,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.24553388757515,0.21506726694990164,14.018475615194689,30.24553388757515,15.122766943787575
0.5,0.5,5.63,0.1,14.042995898871474,12.987381956743278,0.7906539396762895,30.24553388757515,0.21506726694990164,14.042995898871474,30.24553388757515,15.122766943787575
0.5,1.0,5.63,0.1,14.067526485721359,12.936534891502937,0.7906523832816816,30.24553388757515,0.21506726694990164,14.067526485721359,30.24553388757515,15.122766943787575
1.0,0.0,5.63,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.24553388757515,0.21506726694990164,14.018475615194689,30.24553388757515,15.122766943787575
1.0,0.5,5.63,0.1,14.042995898871474,12.987381956743278,0.7906539396762895,30.24553388757515,0.21506726694990164,14.042995898871474,30.24553388757515,15.122766943787575
1.0,1.0,5.63,0.1,14.067526485721359,12.936534891502937,0.7906523832816816,30.24553388757515,0.21506726694990164,14.067526485721359,30.24553388757515,15.122766943787575
0.0,0.25,5.63,0.1,14.030734469407093,13.01278942279972,0.7906547178733376,30.24553388757542,0.21506726694990164,14.030734469407093,30.24553388757542,15.12276694378771
0.0,0.75,5.63,0.1,14.055259904129478,12.961963781148953,0.7906531614789998,30.24553388757542,0.21506726694990164,14.055259904129478,30.24553388757542,15.12276694378771
0.25,0.25,5.63,0.1,14.030734469407093,13.012789422799749,0.7906547178733376,30.24553388757542,0.21506726694990164,14.030734469407093,30.24553388757542,15.12276694378771
0.25,0.75,5.63,0.1,14.055259904129478,12.961963781148981,0.7906531614789998,30.24553388757542,0.21506726694990164,14.055259904129478,30.24553388757542,15.12276694378771
0.75,0.25,5.63,0.1,14.030734469407093,13.01278942279972,0.790654717873366,30.24553388757542,0.21506726694990164,14.030734469407093,30.24553388757542,15.12276694378771
0.75,0.75,5.63,0.1,14.055259904129478,12.961963781148953,0.7906531614790282,30.24553388757542,0.21506726694990164,14.055259904129478,30.24553388757542,15.12276694378771
0.5,0.25,5.63,0.1,14.030734469407093,13.01278942279972,0.7906547178733376,30.245533887575434,0.21506726694990164,14.030734469407093,30.245533887575434,15.122766943787717
0.5,0.75,5.63,0.1,14.055259904129478,12.961963781148953,0.7906531614789998,30.245533887575434,0.21506726694990164,14.055259904129478,30.245533887575434,15.122766943787717
1.0,0.25,5.63,0.1,14.030734469407093,13.01278942279972,0.7906547178733376,30.245533887575434,0.21506726694990164,14.030734469407093,30.245533887575434,15.122766943787717
1.0,0.75,5.63,0.1,14.055259904129478,12.961963781148953,0.7906531614789998,30.245533887575434,0.21506726694990164,14.055259904129478,30.245533887575434,15.122766943787717
0.25,0.0,5.76,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887666994,0.21506726694990164,14.018475615194689,30.245533887666994,15.122766943833497
0.0,0.25,5.76,0.1,14.023547585033597,12.68025526492228,0.7902839707189173,30.24553388772685,0.21506726694990164,14.023547585033597,30.24553388772685,15.122766943863425
0.5,0.0,5.76,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887758896,0.21506726694990164,14.018475615194689,30.245533887758896,15.122766943879448
0.25,0.25,5.76,0.1,14.023547585033597,12.68025526492228,0.7902839707189173,30.245533887818723,0.21506726694990164,14.023547585033597,30.245533887818723,15.122766943909362
0.75,0.0,5.76,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887850755,0.21506726694990164,14.018475615194689,30.245533887850755,15.122766943925377
0.0,0.5,5.76,0.1,14.02861999570451,12.32019802192415,0.7899124434519251,30.24553388787858,0.21506726694990164,14.02861999570451,30.24553388787858,15.12276694393929
0.5,0.25,5.76,0.1,14.023547585033597,12.68025526492228,0.7902839707189173,30.24553388791061,0.21506726694990164,14.023547585033597,30.24553388791061,15.122766943955305
1.0,0.0,5.76,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.245533887942628,0.21506726694990164,14.018475615194689,30.245533887942628,15.122766943971314
0.25,0.5,5.76,0.1,14.02861999570451,12.32019802192415,0.7899124434519251,30.24553388797044,0.21506726694990164,14.02861999570451,30.24553388797044,15.12276694398522
0.75,0.25,5.76,0.1,14.023547585033597,12.68025526492228,0.7902839707189173,30.24553388800247,0.21506726694990164,14.023547585033597,30.24553388800247,15.122766944001235
0.0,0.75,5.76,0.1,14.033692847246378,11.958001823198032,0.7895409142695655,30.245533888030025,0.21506726694990164,14.033692847246378,30.245533888030025,15.122766944015012
0.5,0.5,5.76,0.1,14.02861999570451,12.32019802192415,0.7899124434519251,30.245533888062326,0.21506726694990164,14.02861999570451,30.245533888062326,15.122766944031163
1.0,0.25,5.76,0.1,14.023547585033597,12.68025526492228,0.7902839707189173,30.245533888094343,0.21506726694990164,14.023547585033597,30.245533888094343,15.122766944047171
0.25,0.75,5.76,0.1,14.033692847246378,11.958001823198032,0.7895409142695655,30.245533888121884,0.21506726694990164,14.033692847246378,30.245533888121884,15.122766944060942
0.75,0.5,5.76,0.1,14.02861999570451,12.32019802192415,0.7899124434519251,30.245533888154185,0.21506726694990164,14.02861999570451,30.245533888154185,15.122766944077092
0.0,1.0,5.76,0.1,14.03876613969667,11.593653962065275,0.7891693831718669,30.245533888181726,0.21506726694990164,14.03876613969667,30.245533888181726,15.122766944090863
0.5,0.75,5.76,0.1,14.033692847246378,11.958001823198032,0.7895409142695655,30.24553388821377,0.21506726694990164,14.033692847246378,30.24553388821377,15.122766944106885
1.0,0.5,5.76,0.1,14.02861999570451,12.32019802192415,0.7899124434519251,30.245533888246072,0.21506726694990164,14.02861999570451,30.245533888246072,15.122766944123036
0.25,1.0,5.76,0.1,14.03876613969667,11.593653962065275,0.7891693831718669,30.245533888273584,0.21506726694990164,14.03876613969667,30.245533888273584,15.122766944136792
0.75,0.75,5.76,0.1,14.033692847246378,11.958001823198032,0.7895409142695655,30.24553388830563,0.21506726694990164,14.033692847246378,30.24553388830563,15.122766944152815
0.5,1.0,5.76,0.1,14.03876613969667,11.593653962065275,0.7891693831718669,30.245533888365486,0.21506726694990164,14.03876613969667,30.245533888365486,15.122766944182743
1.0,0.75,5.76,0.1,14.033692847246378,11.958001823198032,0.7895409142695655,30.245533888397517,0.21506726694990164,14.033692847246378,30.245533888397517,15.122766944198759
0.75,1.0,5.76,0.1,14.03876613969667,11.593653962065275,0.7891693831718669,30.245533888457345,0.21506726694990164,14.03876613969667,30.245533888457345,15.122766944228673
1.0,1.0,5.76,0.1,14.03876613969667,11.593653962065275,0.7891693831718669,30.245533888549218,0.21506726694990164,14.03876613969667,30.245533888549218,15.122766944274609
0.25,0.0,5.9,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.24553436202727,0.21506726694989808,14.018475615194689,30.24553436202727,15.122767181013636
0.25,0.0,5.63,0.15,14.018475615194689,13.038186183831392,0.7906554960706131,30.24553436785881,0.215067266949994,14.018475615194689,30.24553436785881,15.122767183929405
0.0,0.25,5.9,0.1,14.018771835854466,12.10242163369525,0.7475763335043553,30.245534670642712,0.21506726694990164,14.018771835854466,30.245534670642712,15.122767335321356
0.0,0.25,5.63,0.15,14.030737297130322,12.850339930982933,0.7881304990595766,30.245534680267426,0.2150672669474396,14.030737297130322,30.245534680267426,15.122767340133713
0.5,0.0,5.9,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.245534836479408,0.21506726694990164,14.018475615194689,30.245534836479408,15.122767418239704
0.5,0.0,5.63,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.24553484814247,0.21506726695008993,14.018475615194689,30.24553484814247,15.122767424071235
0.25,0.25,5.9,0.1,14.018771835854466,12.10242163369525,0.7475763335043553,30.245535145094863,0.21506726694989808,14.018771835854466,30.245535145094863,15.122767572547431
0.25,0.25,5.63,0.15,14.030737297130322,12.850339930982962,0.7881304990595766,30.2455351605511,0.21506726694753198,14.030737297130322,30.2455351605511,15.12276758027555
0.75,0.0,5.9,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.245535310931544,0.21506726694989808,14.018475615194689,30.245535310931544,15.122767655465772
0.75,0.0,5.63,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.245535328426143,0.2150672669501823,14.018475615194689,30.245535328426143,15.122767664213072
0.0,0.5,5.9,0.1,14.019068058017673,11.152123784650222,0.7044714195121315,30.245535453710048,0.21506726694990164,14.019068058017673,30.245535453710048,15.122767726855024
0.0,0.5,5.63,0.15,14.04300155550635,12.661908030894459,0.7856054135803419,30.24553547295949,0.21506726694504152,14.04300155550635,30.24553547295949,15.122767736479744
0.5,0.25,5.9,0.1,14.018771835854466,12.10242163369525,0.7475763335043553,30.245535619547,0.21506726694990164,14.018771835854466,30.245535619547,15.1227678097735
0.5,0.25,5.63,0.15,14.030737297130322,12.850339930982933,0.7881304990595766,30.245535640834774,0.2150672669476279,14.030737297130322,30.245535640834774,15.122767820417387
1.0,0.0,5.9,0.1,14.018475615194689,13.038186183831364,0.7906554960706131,30.245535785383694,0.21506726694990164,14.018475615194689,30.245535785383694,15.122767892691847
1.0,0.0,5.63,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.245535808709832,0.21506726695027822,14.018475615194689,30.245535808709832,15.122767904354916
0.25,0.5,5.9,0.1,14.019068058017673,11.152123784650222,0.7044714195121315,30.245535928162198,0.21506726694989808,14.019068058017673,30.245535928162198,15.122767964081099
0.25,0.5,5.63,0.15,14.04300155550635,12.661908030894487,0.7856054135803419,30.245535953243177,0.2150672669451339,14.04300155550635,30.245535953243177,15.122767976621589
0.75,0.25,5.9,0.1,14.018771835854466,12.10242163369525,0.7475763335043553,30.245536093999135,0.21506726694989808,14.018771835854466,30.245536093999135,15.122768046999568
0.75,0.25,5.63,0.15,14.030737297130322,12.850339930982933,0.7881304990595766,30.245536121118462,0.21506726694772027,14.030737297130322,30.245536121118462,15.122768060559231
0.0,0.75,5.9,0.1,14.019364281684787,10.187066920967546,0.661340738699522,30.24553623677764,0.21506726694990164,14.019364281684787,30.24553623677764,15.12276811838882
0.0,0.75,5.63,0.15,14.05526839086393,12.472888657696743,0.7830802396295127,30.245536265651836,0.21506726694256528,14.05526839086393,30.245536265651836,15.122768132825918
0.5,0.5,5.9,0.1,14.019068058017673,11.152123784650222,0.7044714195121315,30.245536402614334,0.21506726694990164,14.019068058017673,30.245536402614334,15.122768201307167
0.5,0.5,5.63,0.15,14.04300155550635,12.661908030894459,0.7856054135803419,30.245536433526837,0.21506726694522982,14.04300155550635,30.245536433526837,15.122768216763419
1.0,0.25,5.9,0.1,14.018771835854466,12.10242163369525,0.7475763335043553,30.2455365684513,0.21506726694990164,14.018771835854466,30.2455365684513,15.12276828422565
1.0,0.25,5.63,0.15,14.030737297130322,12.850339930982933,0.7881304990595766,30.24553660140215,0.21506726694781264,14.030737297130322,30.24553660140215,15.122768300701075
0.25,0.75,5.9,0.1,14.019364281684787,10.187066920967546,0.661340738699522,30.24553671122979,0.21506726694989808,14.019364281684787,30.24553671122979,15.122768355614895
0.25,0.75,5.63,0.15,14.05526839086393,12.472888657696771,0.7830802396295127,30.24553674593551,0.2150672669426612,14.05526839086393,30.24553674593551,15.122768372967755
0.75,0.5,5.9,0.1,14.019068058017673,11.152123784650222,0.7044714195121315,30.245536877066485,0.21506726694989808,14.019068058017673,30.245536877066485,15.122768438533242
0.75,0.5,5.63,0.15,14.04300155550635,12.661908030894459,0.7856054135803419,30.245536913810525,0.2150672669453222,14.04300155550635,30.245536913810525,15.122768456905263
0.0,1.0,5.9,0.1,14.019660506855352,9.20702182134174,0.6181842756643476,30.245537019845216,0.21506726694990164,14.019660506855352,30.245537019845216,15.122768509922608
0.0,1.0,5.63,0.15,14.067537803744955,12.283279979828023,0.7805549772037637,30.245537058343857,0.21506726694002154,14.067537803744955,30.245537058343857,15.122768529171928
0.5,0.75,5.9,0.1,14.019364281684787,10.187066920967546,0.661340738699522,30.245537185681926,0.21506726694990164,14.019364281684787,30.245537185681926,15.122768592840963
0.5,0.75,5.63,0.15,14.05526839086393,12.472888657696743,0.7830802396295127,30.245537226219184,0.21506726694275358,14.05526839086393,30.245537226219184,15.122768613109592
1.0,0.5,5.9,0.1,14.019068058017673,11.152123784650222,0.7044714195121315,30.24553735151865,0.21506726694990164,14.019068058017673,30.24553735151865,15.122768675759325
1.0,0.5,5.63,0.15,14.04300155550635,12.661908030894459,0.7856054135803419,30.245537394094228,0.2150672669454181,14.04300155550635,30.245537394094228,15.122768697047114
0.25,1.0,5.9,0.1,14.019660506855352,9.20702182134174,0.6181842756643476,30.24553749429738,0.21506726694989808,14.019660506855352,30.24553749429738,15.12276874714869
0.25,1.0,5.63,0.15,14.067537803744955,12.283279979828059,0.7805549772037637,30.245537538627545,0.2150672669401139,14.067537803744955,30.245537538627545,15.122768769313772
0.75,0.75,5.9,0.1,14.019364281684787,10.187066920967546,0.661340738699522,30.245537660134076,0.21506726694989808,14.019364281684787,30.245537660134076,15.122768830067038
0.75,0.75,5.63,0.15,14.05526839086393,12.472888657696743,0.7830802396295127,30.245537706502887,0.21506726694284595,14.05526839086393,30.245537706502887,15.122768853251443
0.5,1.0,5.9,0.1,14.019660506855352,9.20702182134174,0.6181842756643476,30.245537968749517,0.21506726694990164,14.019660506855352,30.245537968749517,15.122768984374758
0.5,1.0,5.63,0.15,14.067537803744955,12.283279979828023,0.7805549772037637,30.245538018911233,0.21506726694020983,14.067537803744955,30.245538018911233,15.122769009455617
1.0,0.75,5.9,0.1,14.019364281684787,10.187066920967546,0.661340738699522,30.245538134586255,0.21506726694990164,14.019364281684787,30.245538134586255,15.122769067293127
1.0,0.75,5.63,0.15,14.05526839086393,12.472888657696743,0.7830802396295127,30.24553818678659,0.21506726694294187,14.05526839086393,30.24553818678659,15.122769093393295
0.75,1.0,5.9,0.1,14.019660506855352,9.20702182134174,0.6181842756643476,30.24553844320168,0.21506726694989808,14.019660506855352,30.24553844320168,15.12276922160084
0.75,1.0,5.63,0.15,14.067537803744955,12.283279979828023,0.7805549772037637,30.245538499194936,0.2150672669403022,14.067537803744955,30.245538499194936,15.122769249597468
1.0,1.0,5.9,0.1,14.019660506855352,9.20702182134174,0.6181842756643476,30.24553891765386,0.21506726694990164,14.019660506855352,30.24553891765386,15.12276945882693
1.0,1.0,5.63,0.15,14.067537803744955,12.283279979828023,0.7805549772037637,30.24553897947864,0.21506726694039457,14.067537803744955,30.24553897947864,15.12276948973932
0.25,0.0,5.76,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.24556958160437,0.21506726698313372,14.018475615194689,30.24556958160437,15.122784790802186
0.0,0.25,5.76,0.15,14.026758916833359,12.428001914886359,0.7514819890189983,30.245592799393904,0.2150672660774653,14.026758916833359,30.245592799393904,15.122796399696952
0.5,0.0,5.76,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.245605275650348,0.21506726701636225,14.018475615194689,30.245605275650348,15.122802637825174
0.25,0.25,5.76,0.15,14.026758916833359,12.428001914886359,0.7514819890189983,30.24562849345081,0.21506726611069737,14.026758916833359,30.24562849345081,15.122814246725405
0.75,0.0,5.76,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.245640969713108,0.21506726704959434,14.018475615194689,30.245640969713108,15.122820484856554
0.0,0.5,5.76,0.15,14.035043394254416,11.811638150125198,0.7122871882394719,30.245651711258333,0.2150672652050325,14.035043394254416,30.245651711258333,15.122825855629166
0.5,0.25,5.76,0.15,14.026758916833359,12.428001914886359,0.7514819890189983,30.245664187524454,0.21506726614392946,14.026758916833359,30.245664187524454,15.122832093762227
1.0,0.0,5.76,0.15,14.018475615194689,13.038186183831364,0.7906554960706274,30.245676663792636,0.21506726708282287,14.018475615194689,30.245676663792636,15.122838331896318
0.25,0.5,5.76,0.15,14.035043394254416,11.811638150125198,0.7122871882394719,30.245687405342906,0.21506726523826458,14.035043394254416,30.245687405342906,15.122843702671453
0.75,0.25,5.76,0.15,14.026758916833359,12.428001914886359,0.7514819890189983,30.245699881614883,0.21506726617716154,14.026758916833359,30.245699881614883,15.122849940807441
0.0,0.75,5.76,0.15,14.043329047624795,11.189032308176692,0.6730710821578612,30.24571062316869,0.2150672643325855,14.043329047624795,30.24571062316869,15.122855311584345
0.5,0.5,5.76,0.15,14.035043394254416,11.811638150125198,0.7122871882394719,30.245723099444234,0.2150672652714931,14.035043394254416,30.245723099444234,15.122861549722117
1.0,0.25,5.76,0.15,14.026758916833359,12.428001914886359,0.7514819890190125,30.245735575722094,0.21506726621038652,14.026758916833359,30.245735575722094,15.122867787861047
0.25,0.75,5.76,0.15,14.043329047624795,11.189032308176692,0.6730710821578612,30.245746317280933,0.21506726436581758,14.043329047624795,30.245746317280933,15.122873158640466
0.75,0.5,5.76,0.15,14.035043394254416,11.811638150125198,0.7122871882394719,30.24575879356233,0.2150672653047252,14.035043394254416,30.24575879356233,15.122879396781165
0.0,1.0,5.76,0.15,14.051615877111608,10.560121173890927,0.6338336591925753,30.245769535124168,0.2150672634601385,14.051615877111608,30.245769535124168,15.122884767562084
0.5,0.75,5.76,0.15,14.043329047624795,11.189032308176692,0.6730710821578612,30.245782011409943,0.2150672643990461,14.043329047624795,30.245782011409943,15.122891005704972
