family,peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,D4p814_max_abs_delta_mu,D5p356_max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
pointamp3,1.0,6.31,0.15,10.447432996210637,10.465690389209314,8.95885793912742,3.082724186938705,10.272607772163028,1.3772517909103215,10.465690389209314,8.974643266990832,7.443514779470064,10.465690389209314,10.272607772163028,10.465690389209314
partial2,1.0,6.31,0.15,11.531131580003517,11.549665851151957,8.958857939127423,3.0827241806098797,10.273109450779835,1.2007751473766177,11.549665851151957,9.549775494758386,7.455514445104626,11.549665851151957,10.273109450779835,11.549665851151957
pointamp3,0.75,6.31,0.15,14.068449161707337,14.087631701487055,8.95885793912742,3.0827241869153923,10.272608022571987,1.3759748601409427,14.087631701487055,13.873583559780954,7.448258910683194,14.087631701487055,10.272608022571987,14.087631701487055
partial2,0.75,6.31,0.15,14.913988053770183,14.93338662340139,8.958857939127423,3.082724182168821,10.27298428113314,1.2436534227453961,14.93338662340139,14.341956720397498,7.457259658616664,14.93338662340139,10.27298428113314,14.93338662340139
pointamp3,1.0,6.31,0.1,16.64948790527709,16.66932988416916,8.95885793912742,3.082724186845642,10.272608773796378,1.3721900221608792,16.66932988416916,16.538833447359323,7.462282015177646,16.66932988416916,10.272608773796378,16.66932988416916
pointamp3,1.0,6.24,0.15,17.07473960850527,17.075113005339766,8.95885793912742,3.082724188468866,10.27260125606152,1.3886321224938598,5.123884802516244,17.075113005339766,7.4576188106098975,17.075113005339766,10.27260125606152,17.075113005339766
partial2,1.0,6.31,0.1,17.318941194920168,17.338954214903154,8.958857939127423,3.0827241868456454,10.272608774984342,1.3705996335362158,17.338954214903154,16.944147122812332,7.462417261897535,17.338954214903154,10.272608774984342,17.338954214903154
partial2,1.0,6.24,0.15,17.466952291047427,17.467333403941105,8.958857939127423,3.082724078033479,10.276366689877356,0.8175362307610072,6.5393584339481805,17.467333403941105,7.460702340214471,17.467333403941105,10.276366689877356,17.467333403941105
pointamp3,1.0,6.4,0.15,18.209508798018184,18.229749352404212,8.95885793912742,3.08272418684739,10.272608719317077,1.37296597417469,18.229749352404212,1.7967539268202728,7.383462103245744,18.229749352404212,10.272608719317077,18.229749352404212
partial2,1.0,6.4,0.15,18.770057210413086,18.790440981381252,8.958857939127423,3.0827241867310136,10.27263600685884,1.3445913611547127,18.790440981381252,2.504914417233543,7.433407498203021,18.790440981381252,10.27263600685884,18.790440981381252
pointamp3,0.5,6.31,0.15,19.199387607569857,19.199802802924687,8.95885793912742,3.0827241868921718,10.27260827298094,1.374697907983716,17.86147268775497,19.199802802924687,7.453003811763029,19.199802802924687,10.27260827298094,19.199802802924687
partial2,0.5,6.31,0.15,19.538431140925248,19.53885300633467,8.958857939127423,3.082724183727766,10.272859111754066,1.2865076375565963,18.448039444566007,19.53885300633467,7.45900497626954,19.53885300633467,10.272859111754066,19.53885300633467
pointamp3,0.75,6.31,0.1,19.942690886930823,19.943120705403153,8.95885793912742,3.082724186845642,10.272608773796897,1.3721785014992065,18.893214307999628,19.943120705403153,7.462335492242335,19.943120705403153,10.272608773796897,19.943120705403153
pointamp3,0.75,6.4,0.15,20.06842223903591,20.08913773407619,8.95885793912742,3.0827241868469315,10.272608732937542,1.3727604663379935,20.08913773407619,7.921768226716857,7.403200518016703,20.08913773407619,10.272608732937542,20.08913773407619
partial2,0.75,6.31,0.1,20.2626533607179,20.263089473860312,8.958857939127423,3.0827241868456454,10.27260877468791,1.370985712960632,19.407034591784566,20.263089473860312,7.462436927408994,20.263089473860312,10.27260877468791,20.263089473860312
pointamp3,0.75,6.24,0.15,20.36593220316531,20.36637034812785,8.95885793912742,3.0827241880630716,10.272603135495743,1.3845104110662447,9.880119288891066,20.36637034812785,7.458838012729295,20.36637034812785,10.272603135495743,20.36637034812785
partial2,0.75,6.4,0.15,20.496819963872156,20.517644911827702,8.958857939127423,3.0827241867596733,10.272629198592597,1.3514804390747628,20.517644911827702,8.5182183235016,7.440676891893947,20.517644911827702,10.272629198592597,20.517644911827702
partial2,0.75,6.24,0.15,20.674920529968734,20.67536475370526,8.958857939127423,3.0827241052365437,10.275427188243548,0.9565652403468476,11.001608062995615,20.67536475370526,7.461150725856832,20.67536475370526,10.275427188243548,20.67536475370526
pointamp3,1.0,6.31,0.08,21.804129739467093,21.804596178306603,8.95885793912742,3.082724186845642,10.272608773798765,1.3721443314834971,20.491512829439216,21.804596178306603,7.462493645547106,21.804596178306603,10.272608773798765,21.804596178306603
pointamp3,0.5,6.4,0.15,21.96405684001401,21.985256657732748,8.95885793912742,3.0827241868465407,10.272608746557935,1.3725549579472158,21.985256657732748,14.812557902145265,7.422952287045547,21.985256657732748,10.272608746557935,21.985256657732748
partial2,1.0,6.31,0.08,22.075242567342656,22.07571433982583,8.958857939127423,3.0827241868456454,10.272608773798773,1.372130803753322,20.891079205852193,22.07571433982583,7.462495086145648,22.07571433982583,10.272608773798773,22.07571433982583
partial2,0.5,6.4,0.15,22.25508079727152,22.276354969775042,8.958857939127423,3.0827241867883295,10.2726223903272,1.3583688947354773,22.276354969775042,15.259102127203285,7.447948093794327,22.276354969775042,10.2726223903272,22.276354969775042
pointamp3,0.5,6.31,0.1,23.5287479111474,23.52924827866031,8.95885793912742,3.082724186845642,10.272608773797629,1.3721669808357717,21.170527056388522,23.52924827866031,7.462388969404692,23.52924827866031,10.272608773797629,23.52924827866031
partial2,0.5,6.31,0.1,23.75327200214661,23.753776786755857,8.958857939127423,3.0827241868456454,10.272608774391536,1.3713717904301035,21.520987381150178,23.753776786755857,7.462456592933702,23.753776786755857,10.272608774391536,23.753776786755857
pointamp3,0.5,6.24,0.15,23.825669003846656,23.826175212733027,8.95885793912742,3.082724187657277,10.27260501493003,1.3803884767666403,14.915562980663438,23.826175212733027,7.460057265669914,23.826175212733027,10.27260501493003,23.826175212733027
pointamp3,0.25,6.4,0.15,23.89713799437788,23.9188317021337,8.95885793912742,3.0827241868460895,10.2726087601783,1.372349449002499,23.9188317021337,22.56486345215739,7.442717419367202,23.9188317021337,10.2726087601783,23.9188317021337
partial2,0.5,6.24,0.15,24.042045494931482,24.042555960625144,8.958857939127423,3.0827241324395622,10.274487701685977,1.0953425580356395,15.705397724950444,24.042555960625144,7.461599118372284,24.042555960625144,10.274487701685977,24.042555960625144
pointamp3,0.75,6.31,0.08,24.06133260627665,24.061843451408613,8.95885793912742,3.082724186845642,10.272608773798765,1.3721442334884841,21.813825244513296,24.061843451408613,7.462494215165936,24.061843451408613,10.272608773798765,24.061843451408613
partial2,0.25,6.4,0.15,24.045414270745745,24.067145862154376,8.958857939127423,3.0827241868169644,10.272615582062585,1.3652567281930743,24.067145862154376,22.81559938117413,7.455221104353988,24.067145862154376,10.272615582062585,24.067145862154376
pointamp3,1.0,6.4,0.1,24.0646724848886,24.086408996649325,8.95885793912742,3.082724186845642,10.272608773798765,1.372144695425746,24.086408996649325,2.8448791625596783,7.457186479343932,24.086408996649325,10.272608773798765,24.086408996649325
pointamp3,1.0,6.17,0.15,24.104862907903957,24.105374609414092,8.95885793912742,3.0827242096274325,10.272563391688628,1.4149480125652758,2.9930035361806517,24.105374609414092,7.461488186054403,24.105374609414092,10.272563391688628,24.105374609414092
partial2,1.0,6.4,0.1,24.20045257686257,24.222223779580062,8.958857939127423,3.0827241868456454,10.272608773800492,1.3721186075732419,24.222223779580062,3.5354735073241628,7.460543339020443,24.222223779580062,10.272608773800492,24.222223779580062
partial2,0.75,6.31,0.08,24.27121624029484,24.271731214499162,8.958857939127423,3.0827241868456454,10.272608773798773,1.372134087691208,22.117453995387535,24.271731214499162,7.4624952956149215,24.271731214499162,10.272608773798773,24.271731214499162
partial2,1.0,6.17,0.15,24.313544694093093,24.314060501031484,8.958857939127423,3.0827226596822577,10.295297753522156,0.12055476017401645,4.533796425397995,24.314060501031484,7.462125338644245,24.314060501031484,10.295297753522156,24.314060501031484
pointamp3,0.75,6.4,0.1,24.51258604803166,24.534436998881574,8.95885793912742,3.082724186845642,10.272608773798765,1.3721445064451672,24.534436998881574,8.803798712594634,7.458513750164705,24.534436998881574,10.272608773798765,24.534436998881574
partial2,0.75,6.4,0.1,24.614860083596458,24.63673716481702,8.958857939127423,3.0827241868456454,10.272608773800073,1.3721249405566596,24.63673716481702,9.382430398122303,7.461031473052387,24.63673716481702,10.272608773800073,24.63673716481702
pointamp3,0.5,6.4,0.1,24.962506723109538,24.984472625852916,8.95885793912742,3.082724186845642,10.272608773798765,1.3721443174647163,24.984472625852916,15.472343005191028,7.459841081216371,24.984472625852916,10.272608773798765,24.984472625852916
pointamp3,0.25,6.31,0.15,24.990038573207165,24.990567688911504,8.95885793912742,3.082724186868859,10.272608523389813,1.3734209344381298,21.79358382974307,24.990567688911504,7.457749482834579,24.990567688911504,10.272608523389813,24.990567688911504
partial2,0.5,6.4,0.1,25.030983319995055,25.052966718076647,8.958857939127423,3.0827241868456454,10.272608773799654,1.3721312735396225,25.052966718076647,15.903295409733893,7.461519615229982,25.052966718076647,10.272608773799654,25.052966718076647
partial2,0.25,6.31,0.15,25.174111099266916,25.174643836257907,8.958857939127423,3.082724185286704,10.272733942642603,1.3293378053114964,22.098690690564013,25.174643836257907,7.460750398069532,25.174643836257907,10.272733942642603,25.174643836257907
pointamp3,0.25,6.4,0.1,25.41444350404104,25.436524873779888,8.95885793912742,3.082724186845642,10.272608773798765,1.3721441284842655,25.436524873779888,22.935018513548762,7.4611684725014165,25.436524873779888,10.272608773798765,25.436524873779888
partial2,0.25,6.4,0.1,25.448829389521137,25.470919544636928,8.958857939127423,3.0827241868456454,10.272608773799192,1.3721376065219744,25.470919544636928,23.17574179403693,7.462007765553398,25.470919544636928,10.272608773799192,25.470919544636928
pointamp3,1.0,6.4,0.08,25.460865696872148,25.482958927188477,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439401407451,25.482958927188477,3.8794557363679445,7.462151488627576,25.482958927188477,10.272608773798765,25.482958927188477
partial2,1.0,6.4,0.08,25.49174181817331,25.513842937143778,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439181587982,25.513842937143778,4.552066356379619,7.462369262320696,25.513842937143778,10.272608773798773,25.513842937143778
pointamp3,0.75,6.4,0.08,25.562597360337698,25.58471658245206,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439399814983,25.58471658245206,9.66990889421681,7.4622375970961485,25.58471658245206,10.272608773798765,25.58471658245206
partial2,0.75,6.4,0.08,25.585776812101486,25.607901956419525,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439234950452,25.607901956419525,10.23064039941874,7.462400927694791,25.607901956419525,10.272608773798773,25.607901956419525
pointamp3,0.5,6.4,0.08,25.664431134510753,25.68657637451183,8.95885793912742,3.082724186845642,10.272608773798765,1.372143939822351,25.68657637451183,16.11685658533805,7.462323705818243,25.68657637451183,10.272608773798765,25.68657637451183
partial2,0.5,6.4,0.08,25.67989902394739,25.702048215896625,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439288313064,25.702048215896625,16.532378621606455,7.462432593103184,25.702048215896625,10.272608773798773,25.702048215896625
pointamp3,0.25,6.4,0.08,25.76636712188268,25.788538405885305,8.95885793912742,3.082724186845642,10.272608773798765,1.37214393966309,25.788538405885305,23.29472909359135,7.462409814793805,25.788538405885305,10.272608773798765,25.788538405885305
partial2,0.25,6.4,0.08,25.774108534605823,25.796281796490547,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439341674966,25.796281796490547,23.525666781626505,7.462464258545825,25.796281796490547,10.272608773798773,25.796281796490547
pointamp3,0.75,6.17,0.15,25.836006545462016,25.8365523040221,8.95885793912742,3.0827242039319636,10.272574737212892,1.4042492477564963,8.182515820878038,25.8365523040221,7.461740117291942,25.8365523040221,10.272574737212892,25.8365523040221
pointamp3,1.0,6.4,0.05,25.86777640003764,25.88997359347094,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395038004,25.88997359347094,8.04784694072734,7.462495921572579,25.88997359347094,10.272608773798765,25.88997359347094
partial2,1.0,6.4,0.05,25.86782414471884,25.890021350350594,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439395038146,25.890021350350594,8.641775694932491,7.462495923121754,25.890021350350594,10.272608773798773,25.890021350350594
pointamp3,0.75,6.4,0.05,25.867933655925643,25.89013088953682,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395038004,25.89013088953682,13.116291350958079,7.462495922185084,25.89013088953682,10.272608773798765,25.89013088953682
partial2,0.75,6.4,0.05,25.867969464489615,25.890166707249662,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439395038146,25.890166707249662,13.601957121955039,7.462495923347021,25.890166707249662,10.272608773798773,25.890166707249662
pointamp3,0.5,6.4,0.05,25.86809091205648,25.890288185845606,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395038004,25.890288185845606,18.64976723043639,7.46249592279765,25.890288185845606,10.272608773798765,25.890288185845606
partial2,0.5,6.4,0.05,25.86811478446802,25.890312064356294,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439395038146,25.890312064356294,19.002778343027778,7.462495923572266,25.890312064356294,10.272608773798773,25.890312064356294
pointamp3,0.25,6.4,0.05,25.868248168430313,25.890445482397638,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395038004,25.890445482397638,24.690941371946288,7.462495923410206,25.890445482397638,10.272608773798765,25.890445482397638
partial2,0.25,6.4,0.05,25.868260104653753,25.89045742167052,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439395038146,25.89045742167052,24.88338377876463,7.462495923797505,25.89045742167052,10.272608773798773,25.89045742167052
pointamp3,1.0,6.4,0.03,25.8684054250434,25.890602779188626,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395038004,25.890602779188626,17.384718425420537,7.462495924022775,25.890602779188626,10.272608773798765,25.890602779188626
partial2,1.0,6.4,0.03,25.86840542504349,25.890602779188697,8.95885793912742,3.0827241868456454,10.272608773798773,1.3721439395038146,25.890602779188697,17.769319196615648,7.462495924022772,25.890602779188697,10.272608773798773,25.890602779188697
pointamp3,0.75,6.4,0.03,25.86840542504428,25.890602779189493,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395038004,25.890602779189493,20.610319048866778,7.462495924022775,25.890602779189493,10.272608773798765,25.890602779189493
partial2,0.75,6.4,0.03,25.868405425044482,25.89060277918969,8.95885793912742,3.0827241868456454,10.272608773798773,1.3721439395038146,25.89060277918969,20.912952388203514,7.462495924022772,25.89060277918969,10.272608773798773,25.89060277918969
pointamp3,0.5,6.4,0.03,25.868405425045182,25.890602779190417,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395038004,25.890602779190417,23.997033478385866,7.462495924022775,25.890602779190417,10.272608773798765,25.890602779190417
partial2,0.5,6.4,0.03,25.868405425045392,25.8906027791906,8.95885793912742,3.0827241868456454,10.272608773798773,1.3721439395038146,25.8906027791906,24.20870915007543,7.462495924022772,25.8906027791906,10.272608773798773,25.8906027791906
partial2,0.75,6.17,0.15,25.9962594710667,25.996808382306604,8.958857939127423,3.0827230414731197,10.289624684344169,0.28839636188668294,9.411144805205765,25.996808382306604,7.462217984548769,25.996808382306604,10.289624684344169,25.996808382306604
pointamp3,1.0,6.24,0.1,26.327131346428388,26.32768676696049,8.95885793912742,3.082724186845642,10.272608773577673,1.372787680949827,7.5439213669387755,26.32768676696049,7.462485874726564,26.32768676696049,10.272608773577673,26.32768676696049
pointamp3,0.5,6.31,0.08,26.392378655071468,26.39293535922382,8.95885793912742,3.082724186845642,10.272608773798765,1.372144135493599,23.154277900015686,26.39293535922382,7.462494784784891,26.39293535922382,10.272608773798765,26.39293535922382
partial2,1.0,6.24,0.1,26.473422579373725,26.47398087791536,8.958857939127423,3.0827241868456454,10.2726088843363,1.3505681818107007,8.812225158753307,26.47398087791536,7.462492228536252,26.47398087791536,10.2726088843363,26.47398087791536
partial2,0.5,6.31,0.08,26.536807718719608,26.53736726424669,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721373716288952,23.35936784421878,26.53736726424669,7.4624955050841955,26.53736726424669,10.272608773798773,26.53736726424669
pointamp3,0.25,6.31,0.1,27.30635449926048,27.306929184197337,8.95885793912742,3.082724186845642,10.272608773798154,1.372155460170589,23.502551732851984,27.306929184197337,7.462442446664902,27.306929184197337,10.272608773798154,27.306929184197337
partial2,0.25,6.31,0.1,27.424519320420977,27.425096330032254,8.958857939127423,3.0827241868456454,10.272608774095147,1.3717578659444314,23.68183008611598,27.425096330032254,7.462476258471629,27.425096330032254,10.272608774095147,27.425096330032254
pointamp3,0.25,6.24,0.15,27.462581273706007,27.463159032115847,8.95885793912742,3.0827241872514364,10.272606894364372,1.3762663195832943,20.246606529010123,27.463159032115847,7.46127656943365,27.463159032115847,10.272606894364372,27.463159032115847
