family,peak2,center2_D,sigma2_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta2
pointamp2,0.25,5.9,0.08,5.898305084745763,0.2,90.79702562735869,60.251653720638146,60.208053830512995,-30.588971796845698,-0.41082039973633244,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,0.39,90.79862216474444,60.25448559082204,60.210883651471434,-30.58773851327301,-0.410790983568394,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,0.5800000000000001,90.80021867571749,60.257317741395916,60.21371375261684,-30.586504923100648,-0.4107615643560458,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,0.77,90.80181516046262,60.26014963122751,60.21654359320869,-30.585271567253933,-0.4107321510817306,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,0.96,90.80341161896216,60.26298173779924,60.21937365038379,-30.58403796857837,-0.41070273582115147,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,1.15,90.80500805110192,60.26581328900283,60.22220315259253,-30.582804898509394,-0.4106733313850899,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,1.34,90.8066044569945,60.268644897635,60.225032712188494,-30.581571744806013,-0.410643927605547,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,1.53,90.80820083658355,60.27147678658714,60.22786255190152,-30.580338284682036,-0.4106145207837357,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,1.72,90.80979718986694,60.27430895591068,60.230692671783046,-30.579104518083895,-0.4105851109192528,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,1.91,90.81139351683984,60.27714140564782,60.23352307187523,-30.57787044496461,-0.4105556980118198,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,2.1,90.81298981754493,60.27997294177464,60.23635255901822,-30.57663725852671,-0.41052630187035033,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,2.29,90.81458609192988,60.28280368338697,60.23918125222167,-30.575404839708213,-0.4104969205163328,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,2.4800000000000004,90.81618234001765,60.28563470510325,60.24201022532635,-30.5741721146913,-0.41046753612253467,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,2.6700000000000004,90.81777856178608,60.288466006961094,60.24483947836979,-30.572939083416294,-0.41043814868856265,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,2.8600000000000003,90.8193747572609,60.291297589012885,60.247669011404525,-30.571705745856377,-0.41040875821430156,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,3.0500000000000003,90.82097092640565,60.29412945129645,60.25049882446836,-30.57047210193729,-0.4103793646991967,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,3.24,90.82256706925467,60.29696159386269,60.25332891761183,-30.569238151642843,-0.4103499681432609,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,3.43,90.8241631857692,60.29979401674245,60.25615929086621,-30.568003894902986,-0.4103205685460223,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,3.62,90.82575927598117,60.30262671999676,60.258989944292004,-30.566769331689166,-0.4102911659073025,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,3.81,90.82735533987562,60.30545970366357,60.26182087792746,-30.56553446194816,-0.410261760226776,0.2499438981372048
pointamp2,0.25,5.9,0.08,5.898305084745763,4.0,90.82895137743073,60.30829296778385,60.26465209181362,-30.564299285617103,-0.4102323515039957,0.2499438981372048
pointamp2,0.25,5.9,0.08,6.169491525423729,0.2,86.94702113806258,72.06646393780726,72.05069690355849,-14.896324234504092,-0.18792898583385156,0.000858627143611238
