peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
1.0,5.9,0.16,22.447283385695734,22.455684742223838,1.674172632657097,22.455684742223838,16.55889688270743,4.882446035094652,2.6032031465727314,22.455684742223838,2.441223017547326,22.455684742223838
1.0,5.9,0.12,22.447659204769984,22.45606046946787,1.0442253906216052,22.45606046946787,15.441802422550722,4.945186961257036,2.6032105960244074,22.45606046946787,2.472593480628518,22.45606046946787
1.0,5.9,0.1,22.44803715275682,22.456438325104443,0.8417857244507303,22.456438325104443,15.06608726268199,4.945927069917424,2.60321059635832,22.456438325104443,2.472963534958712,22.456438325104443
1.0,5.9,0.08,22.448732871803678,22.457133874154664,0.7582371688731229,22.457133874154664,14.904645857189237,4.9459356710917675,2.6032105963583376,22.457133874154664,2.4729678355458837,22.457133874154664
1.0,5.9,0.06,22.450235752442925,22.458636387569996,0.7466391333342699,22.458636387569996,14.880849167780056,4.945935673403689,2.6032105963583376,22.458636387569996,2.4729678367018444,22.458636387569996
1.0,5.9,0.04,22.454528069896945,22.462927656210468,0.7465120747356337,22.462927656210468,14.880557201231355,4.945935673403689,2.6032105963583376,22.462927656210468,2.4729678367018444,22.462927656210468
1.0,5.88,0.16,22.50295796692913,22.511345719557852,1.8877228789019753,22.511345719557852,16.232787413546447,4.90463616554468,2.6032066763115047,22.511345719557852,2.45231808277234,22.511345719557852
1.0,5.92,0.16,22.525565720754646,22.5339479492537,1.4890674755279676,22.5339479492537,16.930673330027105,4.8498549986693575,2.6031966580370494,22.5339479492537,2.4249274993346788,22.5339479492537
1.0,5.88,0.12,22.54635124469015,22.55472839431532,1.1759024207588027,22.55472839431532,15.26172187795737,4.945587211981426,2.6032105962516887,22.55472839431532,2.472793605990713,22.55472839431532
1.0,5.92,0.12,22.586267164405605,22.594634560708073,0.9473328755336397,22.594634560708073,15.683970502494205,4.944371050207607,2.6032105953412703,22.594634560708073,2.4721855251038036,22.594634560708073
1.0,5.88,0.1,22.58974268505272,22.598109232123235,0.9077821466172296,22.598109232123235,14.98670002623372,4.945932813432293,2.60321059635832,22.598109232123235,2.4729664067161465,22.598109232123235
1.0,5.92,0.1,22.646825457376178,22.655178056460485,0.8006014653897253,22.655178056460485,15.192033621634891,4.945910806859658,2.603210596358263,22.655178056460485,2.472955403429829,22.655178056460485
1.0,5.88,0.08,22.66897258339795,22.67731977090547,0.7731773874352541,22.67731977090547,14.890615794385994,4.945935672990068,2.6032105963583376,22.67731977090547,2.472967836495034,22.67731977090547
1.0,5.92,0.08,22.757037237345862,22.765362906547054,0.7513557225315921,22.765362906547054,14.93474431588325,4.945935661264521,2.6032105963583376,22.765362906547054,2.4729678306322604,22.765362906547054
