peak2,center2_D,sigma2_D,p95_abs_delta_mu,max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
1.0,5.95,0.16,26.908424817169863,26.91426039895031,26.91426039895031,12.296706983100691,22.87066041329068,2.939856057068347,26.91426039895031,22.87066041329068,26.91426039895031
1.0,5.95,0.12,27.057004707274245,27.06281131255998,27.06281131255998,13.649034018787447,22.8089478389538,2.939879152248956,27.06281131255998,22.8089478389538,27.06281131255998
1.0,5.95,0.08,27.448082011925994,27.453812348145647,27.453812348145647,14.729512664664497,22.807314336528748,2.9398791556705532,27.453812348145647,22.807314336528748,27.453812348145647
1.0,6.03,0.16,27.83326095088525,27.838916168355745,27.838916168355745,10.292079329713289,23.06668801670638,2.9396587206289766,27.838916168355745,23.06668801670638,27.838916168355745
0.75,5.95,0.16,27.836400790013986,27.84205539514366,27.84205539514366,12.95122740630022,22.854818933154064,2.9398618317213447,27.84205539514366,22.854818933154064,27.84205539514366
0.75,5.95,0.12,27.946249245070074,27.951882427225378,27.951882427225378,13.95887388204325,22.808539448231514,2.939879153104318,27.951882427225378,22.808539448231514,27.951882427225378
0.75,5.95,0.08,28.23568803170761,28.24126476664471,28.24126476664471,14.767303451594515,22.807314324705246,2.9398791556705532,28.24126476664471,22.807314324705246,28.24126476664471
1.0,6.03,0.12,28.470866606230462,28.476397475938292,28.476397475938292,11.493384874146741,22.827292506916265,2.9398789669105483,28.476397475938292,22.827292506916265,28.476397475938292
0.75,6.03,0.16,28.521198327016908,28.526719380881964,28.526719380881964,11.465886130485615,23.00176170021274,2.9397138296054273,28.526719380881964,23.00176170021274,28.526719380881964
0.5,5.95,0.16,28.7508993959797,28.756375652855006,28.756375652855006,13.600009113069177,22.838980752890407,2.939867606372694,28.756375652855006,22.838980752890407,28.756375652855006
0.5,5.95,0.12,28.823089117006074,28.828551295225978,28.828551295225978,14.267404013004167,22.80813105970435,2.9398791539597617,28.828551295225978,22.80813105970435,28.828551295225978
1.0,6.1,0.16,28.838016379715366,28.843475646775836,28.843475646775836,8.711188188204133,23.534057554484946,2.938586571994019,28.843475646775836,23.534057554484946,28.843475646775836
0.75,6.03,0.12,28.99477947853351,29.0002081731854,29.0002081731854,12.354818112130545,22.82229746011089,2.9398790141005477,29.0002081731854,22.82229746011089,29.0002081731854
0.5,5.95,0.08,29.013502911554966,29.018927954706932,29.018927954706932,14.805074462938691,22.807314312881715,2.9398791556705532,29.018927954706932,22.807314312881715,29.018927954706932
0.5,6.03,0.16,29.201620141747284,29.207008497714156,29.207008497714156,12.62171858579481,22.936890671516522,2.939768938437904,29.207008497714156,22.936890671516522,29.207008497714156
0.75,6.1,0.16,29.26802889439051,29.273404299123754,29.273404299123754,10.301357957020699,23.351722691217248,2.9389097253425085,29.273404299123754,23.351722691217248,29.273404299123754
0.5,6.03,0.12,29.514288814237783,29.519616192624632,29.519616192624632,13.206416605756772,22.817302741576313,2.9398790612905543,29.519616192624632,22.817302741576313,29.519616192624632
1.0,6.03,0.08,29.574133297039833,29.57944900437657,29.57944900437657,13.443924342286891,22.80732751425583,2.9398791556705532,29.57944900437657,22.80732751425583,29.57944900437657
1.0,6.1,0.12,29.628583026668373,29.63388811505594,29.63388811505594,9.16441021958785,22.931470416858062,2.939874775002693,29.63388811505594,22.931470416858062,29.63388811505594
0.25,5.95,0.16,29.65211637226629,29.657416871110378,29.657416871110378,14.243102419432802,22.82314587181314,2.9398733810223803,29.657416871110378,22.82314587181314,29.657416871110378
0.25,5.95,0.12,29.687697364049427,29.692990923782034,29.692990923782034,14.574629948074517,22.807722673371828,2.939879154815195,29.692990923782034,22.807722673371828,29.692990923782034
0.5,6.1,0.16,29.695057323392064,29.700349447763394,29.700349447763394,11.859206987394373,23.169821212240578,2.939232873738092,29.700349447763394,23.169821212240578,29.700349447763394
0.25,5.95,0.08,29.78164837021978,29.78692360734606,29.78692360734606,14.842825709044376,22.80731430105793,2.9398791556705532,29.78692360734606,22.80731430105793,29.78692360734606
0.75,6.03,0.08,29.81710353129784,29.82237185385253,29.82237185385253,13.805745411826862,22.807324208000168,2.9398791556705532,29.82237185385253,22.807324208000168,29.82237185385253
0.75,6.1,0.12,29.857783301547396,29.863043690611576,29.863043690611576,10.634607286312502,22.900412379431856,2.939875870169786,29.863043690611576,22.900412379431856,29.863043690611576
0.25,6.03,0.16,29.874608500898628,29.879865608662087,29.879865608662087,13.759851934372094,22.872074883536982,2.939824047126258,29.879865608662087,22.872074883536982,29.879865608662087
0.25,6.03,0.12,30.029431625479003,30.03465853917345,30.03465853917345,14.048292635574114,22.812308351291534,2.9398791084805573,30.03465853917345,22.812308351291534,30.03465853917345
0.5,6.03,0.08,30.059109614001684,30.064330739806024,30.064330739806024,14.165785406935242,22.80732090174469,2.9398791556706385,30.064330739806024,22.80732090174469,30.064330739806024
0.5,6.1,0.12,30.08612484806457,30.09134070527714,30.09134070527714,12.077015630217488,22.869367015799625,2.9398769653367367,30.09134070527714,22.869367015799625,30.09134070527714
0.25,6.1,0.16,30.1191223748785,30.124331796814637,30.124331796814637,13.385392209266257,22.988352087460925,2.9395560171807666,30.124331796814637,22.988352087460925,30.124331796814637
0.25,6.03,0.08,30.300155371086152,30.30532948742571,30.30532948742571,14.52405309500071,22.807317595489337,2.9398791556705532,30.30532948742571,22.807317595489337,30.30532948742571
0.25,6.1,0.12,30.31361088355572,30.31878237576099,30.31878237576099,13.492160495933831,22.838334320790466,2.939878060503716,30.31878237576099,22.838334320790466,30.31878237576099
1.0,6.1,0.08,30.385252334198853,30.39040985467406,30.39040985467406,10.27897466842522,22.80811949153754,2.9398791556701838,30.39040985467406,22.80811949153754,30.39040985467406
