center_D,sigma_D,beta_peak,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D5p898_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,D6p983_max_abs_delta_mu,joint_objective,p95_effective_ref_vs_raw_ratio
6.71,0.1,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.179740359033559,13.171817599197006,,13.171817599197006,0.9999999999999902
6.71,0.08,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.621734974683001,13.17311028097299,,13.17311028097299,0.9999999999999902
6.71,0.05,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.688072048482226,13.178708663381,,13.178708663381,0.9999999999999902
6.71,0.03,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.6880816612090825,13.195011242214875,,13.195011242214875,0.9999999999999902
6.74,0.1,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.470913299877836,13.670955998461011,,13.670955998461011,0.9999999999999902
6.68,0.1,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,4.6032644457540215,13.804996716969741,,13.804996716969741,0.9999999999999902
6.74,0.08,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.670575561512045,13.93458190223882,,13.93458190223882,0.9999999999999902
6.68,0.08,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.4698111132222,14.132891581086703,,14.132891581086703,0.9999999999999902
6.74,0.05,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.68808134418466,14.943577320556019,,14.943577320556019,0.9999999999999902
6.68,0.05,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.687878306720684,15.347687499663753,,15.347687499663753,0.9999999999999902
6.71,0.1,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.2966588782962205,15.831977055559818,,15.831977055559818,0.9999999999999902
6.71,0.08,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.637039108385402,15.832727690751712,,15.832727690751712,0.9999999999999902
6.71,0.05,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.688074266803646,15.83597880093551,,15.83597880093551,0.9999999999999902
6.71,0.03,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.6880816612090825,15.845448292907877,,15.845448292907877,0.9999999999999902
6.74,0.1,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.520957857981202,16.123381225142815,,16.123381225142815,0.9999999999999902
6.68,0.1,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,4.851818935300173,16.202183655550403,,16.202183655550403,0.9999999999999902
6.74,0.08,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.674614968538904,16.278593795078834,,16.278593795078834,0.9999999999999902
6.68,0.08,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.520109296807668,16.395967914052385,,16.395967914052385,0.9999999999999902
6.74,0.05,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.688081417344186,16.881602979422762,,16.881602979422762,0.9999999999999902
6.74,0.03,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.6880816612090825,16.988906275019062,,16.988906275019062,0.9999999999999902
6.68,0.05,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.687925234617268,17.127382650759813,,17.127382650759813,0.9999999999999902
6.68,0.03,0.65,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.688081661208777,17.605715043191353,,17.605715043191353,0.9999999999999902
6.71,0.1,0.35,30.541541964430852,30.54537190672358,0.0,30.54537190672358,5.4138116395129785,17.84003428122906,,17.84003428122906,0.9999999999999902
6.71,0.08,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.652347225348073,17.8404309147692,,17.8404309147692,0.9999999999999902
6.71,0.05,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.68807648512513,17.842148918238337,,17.842148918238337,0.9999999999999902
6.71,0.03,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.6880816612090825,17.847154104862007,,17.847154104862007,0.9999999999999902
6.74,0.1,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.571045118289646,17.994843933355725,,17.994843933355725,0.9999999999999902
6.68,0.1,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.1014426094217455,18.03700057673285,,18.03700057673285,0.9999999999999902
6.74,0.08,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.678654652831469,18.077999284164,,18.077999284164,0.9999999999999902
6.68,0.08,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.570450617334586,18.141214956132796,,18.141214956132796,0.9999999999999902
6.74,0.03,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.6880816612090825,18.15467442913942,,18.15467442913942,0.9999999999999902
6.74,0.05,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.68808149050362,18.405946377231256,,18.405946377231256,0.9999999999999902
6.68,0.05,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.687972162551176,18.54197725977157,,18.54197725977157,0.9999999999999902
6.68,0.03,0.5,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.688081661208777,18.554663758054062,,18.554663758054062,0.9999999999999902
6.74,0.03,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.6880816612090825,19.12723503847486,,19.12723503847486,0.9999999999999902
6.71,0.1,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.5311991119788075,19.355801776802718,,19.355801776802718,0.9999999999999902
6.71,0.08,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.667659326608039,19.355972862562304,,19.355972862562304,0.9999999999999902
6.71,0.05,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.6880787034467915,19.356713968505865,,19.356713968505865,0.9999999999999902
6.71,0.03,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.6880816612090825,19.358873590719554,,19.358873590719554,0.9999999999999902
6.68,0.03,0.35,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.68808166120899,19.36328497791433,,19.36328497791433,0.9999999999999902
6.74,0.1,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.621175117240156,19.422939791259147,,19.422939791259147,0.9999999999999902
6.68,0.1,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.3521400673346236,19.441349913594706,,19.441349913594706,0.9999999999999902
6.74,0.08,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.682694614408675,19.459307731455976,,19.459307731455976,0.9999999999999902
6.68,0.08,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.620835111798314,19.487101142035726,,19.487101142035726,0.9999999999999902
6.74,0.05,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.688081563663147,19.604910273200026,,19.604910273200026,0.9999999999999902
6.68,0.05,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.688019090522467,19.666370899105065,,19.666370899105065,0.9999999999999902
6.74,0.03,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.6880816612090825,19.93860918305736,,19.93860918305736,0.9999999999999902
6.68,0.03,0.2,30.541541964430962,30.545371906723688,0.0,30.545371906723688,5.68808166120899,20.052329883047,,20.052329883047,0.9999999999999902
