mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
full_direct,5.627118644067797,0.2,48.22384834337098,48.22384834337098,0.0,0.0,0.0
base_mode,5.627118644067797,0.2,58.482628287989414,48.22384834337098,10.258779944618432,0.19287608019473,0.0
refamp2_mode,5.627118644067797,0.2,58.344279953009334,48.22384834337098,10.120431609638352,0.19050764638551695,0.0
full_direct,5.627118644067797,0.39,48.22616683774059,48.22616683774059,0.0,0.0,0.0
base_mode,5.627118644067797,0.39,58.485638137808934,48.22616683774059,10.259471300068341,0.19287946797816297,0.0
refamp2_mode,5.627118644067797,0.39,58.34728268263397,48.22616683774059,10.121115844893374,0.19051103416894985,0.0
full_direct,5.627118644067797,0.5800000000000001,48.22848529519555,48.22848529519555,0.0,0.0,0.0
base_mode,5.627118644067797,0.5800000000000001,58.48864825980471,48.22848529519555,10.260162964609165,0.19288286084329828,0.0
refamp2_mode,5.627118644067797,0.5800000000000001,58.350285683791,48.22848529519555,10.121800388595453,0.19051442703408542,0.0
full_direct,5.627118644067797,0.77,48.2308037156956,48.2308037156956,0.0,0.0,0.0
base_mode,5.627118644067797,0.77,58.4916580539513,48.2308037156956,10.260854338255697,0.19288624853188388,0.0
refamp2_mode,5.627118644067797,0.77,58.35328835787439,48.2308037156956,10.12248464217879,0.19051781472267085,0.0
full_direct,5.627118644067797,0.96,48.2331220992686,48.2331220992686,0.0,0.0,0.0
base_mode,5.627118644067797,0.96,58.49466804969386,48.2331220992686,10.261545950425258,0.19288964009531734,0.0
refamp2_mode,5.627118644067797,0.96,58.35629123307685,48.2331220992686,10.123169133808254,0.19052120628610417,0.0
full_direct,5.627118644067797,1.15,48.23544044586339,48.23544044586339,0.0,0.0,0.0
base_mode,5.627118644067797,1.15,58.4976773910256,48.23544044586339,10.262236945162208,0.19289302090089144,0.0
refamp2_mode,5.627118644067797,1.15,58.35929345541661,48.23544044586339,10.123853009553223,0.19052458709167858,0.0
full_direct,5.627118644067797,1.34,48.23775875549112,48.23775875549112,0.0,0.0,0.0
base_mode,5.627118644067797,1.34,58.50068675731391,48.23775875549112,10.262928001822786,0.19289640256302296,0.0
refamp2_mode,5.627118644067797,1.34,58.36229570265388,48.23775875549112,10.12453694716276,0.19052796875380987,0.0
full_direct,5.627118644067797,1.53,48.240077028133015,48.240077028133015,0.0,0.0,0.0
base_mode,5.627118644067797,1.53,58.50369639567997,48.240077028133015,10.263619367546951,0.19289978930600168,0.0
refamp2_mode,5.627118644067797,1.53,58.36529822132528,48.240077028133015,10.125221193192267,0.1905313554967888,0.0
full_direct,5.627118644067797,1.72,48.24239526376186,48.24239526376186,0.0,0.0,0.0
base_mode,5.627118644067797,1.72,58.50670630618943,48.24239526376186,10.264311042427572,0.1929031811307359,0.0
refamp2_mode,5.627118644067797,1.72,58.36830101149627,48.24239526376186,10.125905747734414,0.19053474732152292,0.0
full_direct,5.627118644067797,1.91,48.244713462375024,48.244713462375024,0.0,0.0,0.0
base_mode,5.627118644067797,1.91,58.50971648889707,48.244713462375024,10.265003026522045,0.1929065780374382,0.0
refamp2_mode,5.627118644067797,1.91,58.37130407322154,48.244713462375024,10.126590610846513,0.19053814422822538,0.0
full_direct,5.627118644067797,2.1,48.24703162394638,48.24703162394638,0.0,0.0,0.0
base_mode,5.627118644067797,2.1,58.512725619946536,48.24703162394638,10.26569399600016,0.19290995740077088,0.0
refamp2_mode,5.627118644067797,2.1,58.374306085776446,48.24703162394638,10.12727446183007,0.19054152359155768,0.0
full_direct,5.627118644067797,2.29,48.249349748467594,48.249349748467594,0.0,0.0,0.0
base_mode,5.627118644067797,2.29,58.5157338313672,48.249349748467594,10.266384082899606,0.19291332147992438,0.0
refamp2_mode,5.627118644067797,2.29,58.377307180878084,48.249349748467594,10.12795743241049,0.1905448876707114,0.0
full_direct,5.627118644067797,2.4800000000000004,48.25166783592071,48.25166783592071,0.0,0.0,0.0
base_mode,5.627118644067797,2.4800000000000004,58.51874231460356,48.25166783592071,10.267074478682844,0.19291669063768385,0.0
refamp2_mode,5.627118644067797,2.4800000000000004,58.38030854715238,48.25166783592071,10.128640711231668,0.1905482568284709,0.0
full_direct,5.627118644067797,2.6700000000000004,48.25398588629282,48.25398588629282,0.0,0.0,0.0
base_mode,5.627118644067797,2.6700000000000004,58.52175106972318,48.25398588629282,10.267765183430363,0.19292006487469476,0.0
refamp2_mode,5.627118644067797,2.6700000000000004,58.38331018466677,48.25398588629282,10.129324298373952,0.19055163106548184,0.0
full_direct,5.627118644067797,2.8600000000000003,48.25630389956368,48.25630389956368,0.0,0.0,0.0
base_mode,5.627118644067797,2.8600000000000003,58.52476009677827,48.25630389956368,10.26845619721459,0.19292344419149082,0.0
refamp2_mode,5.627118644067797,2.8600000000000003,58.386312093473315,48.25630389956368,10.130008193909632,0.19055501038227762,0.0
full_direct,5.627118644067797,3.0500000000000003,48.25862187572324,48.25862187572324,0.0,0.0,0.0
