family,beta,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D4p8_max_abs_delta_mu,D5p6_max_abs_delta_mu,D6p4_max_abs_delta_mu,D7p2_max_abs_delta_mu
partial_blend,0.0,22.49027291500938,22.501670410150297,0.0,0.1167619400543014,22.501670410150297,0.41714236262311744,0.7570349676046164
partial_blend,0.25,20.533993809130877,20.54436855067914,0.0,0.23228105121095588,20.54436855067914,6.169007369823248,0.6256798058623194
partial_blend,0.5,18.469944772159696,18.479240417396277,0.0,0.5901088196212854,18.479240417396277,12.035766107128659,0.4881055004564394
partial_blend,0.75,17.261367272656766,17.261711383195795,0.0,0.9569424620369915,16.300345942719304,17.261711383195795,0.34401764304384974
partial_blend,1.0,21.91636493322364,21.91683787660137,0.0,1.3330086399242038,14.001417825251593,21.91683787660137,0.19310804640399626
point_amp_blend,0.0,22.490272915009406,22.50167041015029,0.0,0.11676194005429608,22.50167041015029,0.41714236262312454,0.7570349676046133
point_amp_blend,0.25,22.47590922213315,22.487299207855543,0.0,0.5046032422993392,22.487299207855543,8.952832288530402,0.7762818857307119
point_amp_blend,0.5,22.461539719363106,22.472922192629575,0.0,0.8815982593997091,22.472922192629575,16.866749091961644,0.7953952800517814
point_amp_blend,0.75,23.550355643737003,23.55087380983602,0.0,1.2480503161966414,22.45853936212105,23.55087380983602,0.8143760768774966
point_amp_blend,1.0,29.195636973082514,29.196311379350036,0.0,1.6042542548151957,22.44415071397792,29.196311379350036,0.8332251960913446
ref_amp_blend,0.0,22.49027291500933,22.50167041015027,0.0,0.11676194005428542,22.50167041015027,0.4171423626231956,0.7570349676046133
ref_amp_blend,0.25,20.54914265946741,20.5595253209189,0.0,0.6413227853012877,20.5595253209189,3.713154889596659,0.6053808002622891
ref_amp_blend,0.5,18.501905087744316,18.51121744201155,0.0,1.4408464277082853,18.51121744201155,7.189336182853673,0.4454368148418433
ref_amp_blend,0.75,16.342760093167666,16.350943634427814,0.0,2.28407414802402,16.350943634427814,10.855534743902801,0.2767500415543407
ref_amp_blend,1.0,14.721596361723813,14.722137419405136,0.0,3.173394926792069,14.072583544233837,14.722137419405136,0.09884256431215332
