beta_peak,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.0,0.2,4.0,0.2,1.7088539774157543,2.408283091800889,-0.6994291143851348,-0.34309112638480743,1.0
0.0,0.3,4.0,0.2,1.7088539774157543,2.408283091800889,-0.6994291143851348,-0.34309112638480743,1.0
0.0,0.4,4.0,0.2,1.7088539774157543,2.408283091800889,-0.6994291143851348,-0.34309112638480743,1.0
0.0,0.6,4.0,0.2,1.7088539774157543,2.408283091800889,-0.6994291143851348,-0.34309112638480743,1.0
0.0,0.8,4.0,0.2,1.7088539774157543,2.408283091800889,-0.6994291143851348,-0.34309112638480743,1.0
0.25,0.2,4.0,0.2,1.7088539774157565,2.408283091800889,-0.6994291143851326,-0.34309112638480616,1.0
0.25,0.3,4.0,0.2,1.7088540379714463,2.408283091800889,-0.6994290538294428,-0.34309109094837364,1.0
0.25,0.4,4.0,0.2,1.708884486950862,2.408283091800889,-0.6993986048500271,-0.34307327274537514,1.0
0.25,0.6,4.0,0.2,1.711453894977654,2.408283091800889,-0.696829196823235,-0.3415708433227814,1.0
0.25,0.8,4.0,0.2,1.7212067254719383,2.408283091800889,-0.6870763663289507,-0.33588845417015634,1.0
0.5,0.2,4.0,0.2,1.7088539774157627,2.408283091800889,-0.6994291143851263,-0.3430911263848026,1.0
0.5,0.3,4.0,0.2,1.7088540985271385,2.408283091800889,-0.6994289932737505,-0.3430910555119409,1.0
0.5,0.4,4.0,0.2,1.7089149970306776,2.408283091800889,-0.6993680947702114,-0.3430554191059446,1.0
0.5,0.6,4.0,0.2,1.714057768156238,2.408283091800889,-0.6942253236446512,-0.340050560260764,1.0
0.5,0.8,4.0,0.2,1.7336487675149417,2.408283091800889,-0.6746343242859474,-0.3286857819555067,1.0
0.75,0.2,4.0,0.2,1.7088539774157627,2.408283091800889,-0.6994291143851263,-0.3430911263848026,1.0
0.75,0.3,4.0,0.2,1.7088541590828321,2.408283091800889,-0.699428932718057,-0.3430910200755087,1.0
0.75,0.4,4.0,0.2,1.708945507655209,2.408283091800889,-0.6993375841456801,-0.34303756546651704,1.0
0.75,0.6,4.0,0.2,1.7166656029697573,2.408283091800889,-0.6916174888311317,-0.3385302771987428,1.0
0.75,0.8,4.0,0.2,1.7461807490218801,2.408283091800889,-0.6621023427790089,-0.3214831097408534,1.0
1.0,0.2,4.0,0.2,1.7088539774157627,2.408283091800889,-0.6994291143851263,-0.3430911263848026,1.0
1.0,0.3,4.0,0.2,1.7088542196385217,2.408283091800889,-0.6994288721623674,-0.3430909846390799,1.0
1.0,0.4,4.0,0.2,1.7089760188244767,2.408283091800889,-0.6993070729764124,-0.343019711827086,1.0
1.0,0.6,4.0,0.2,1.719277405445593,2.408283091800889,-0.689005686355296,-0.33700999413672156,1.0
1.0,0.8,4.0,0.2,1.758803320135792,2.408283091800889,-0.6494797716650971,-0.31428043752620394,1.0
0.0,0.2,4.0,0.6,1.7637168141362323,2.4855873168468285,-0.7218705027105963,-0.3430855679378008,1.0
0.0,0.3,4.0,0.6,1.7637168141362323,2.4855873168468285,-0.7218705027105963,-0.3430855679378008,1.0
0.0,0.4,4.0,0.6,1.7637168141362323,2.4855873168468285,-0.7218705027105963,-0.3430855679378008,1.0
0.0,0.6,4.0,0.6,1.7637168141362323,2.4855873168468285,-0.7218705027105963,-0.3430855679378008,1.0
0.0,0.8,4.0,0.6,1.7637168141362323,2.4855873168468285,-0.7218705027105963,-0.3430855679378008,1.0
0.25,0.2,4.0,0.6,1.7637168141362347,2.4855873168468285,-0.7218705027105938,-0.34308556793779943,1.0
0.25,0.3,4.0,0.6,1.7637168766360674,2.4855873168468285,-0.7218704402107612,-0.3430855325013672,1.0
0.25,0.4,4.0,0.6,1.7637483031813888,2.4855873168468285,-0.7218390136654398,-0.34306771429836846,1.0
0.25,0.6,4.0,0.6,1.7664002021728307,2.4855873168468285,-0.7191871146739979,-0.3415652848757747,1.0
0.25,0.8,4.0,0.6,1.7764661477454315,2.4855873168468285,-0.709121169101397,-0.3358828957231498,1.0
0.5,0.2,4.0,0.6,1.7637168141362407,2.4855873168468285,-0.7218705027105878,-0.343085567937796,1.0
0.5,0.3,4.0,0.6,1.763716939135903,2.4855873168468285,-0.7218703777109254,-0.3430854970649343,1.0
0.5,0.4,4.0,0.6,1.7637797927887418,2.4855873168468285,-0.7218075240580868,-0.3430498606589376,1.0
0.5,0.6,4.0,0.6,1.7690876728213711,2.4855873168468285,-0.7164996440254574,-0.3400450018137573,1.0
0.5,0.8,4.0,0.6,1.7893076421290655,2.4855873168468285,-0.6962796747177631,-0.32868022350850007,1.0
0.75,0.2,4.0,0.6,1.7637168141362407,2.4855873168468285,-0.7218705027105878,-0.343085567937796,1.0
0.75,0.3,4.0,0.6,1.76371700163574,2.4855873168468285,-0.7218703152110886,-0.34308546162850206,1.0
0.75,0.4,4.0,0.6,1.7638112829582973,2.4855873168468285,-0.7217760338885313,-0.34303200701951053,1.0
0.75,0.6,4.0,0.6,1.771779232293322,2.4855873168468285,-0.7138080845535066,-0.338524718751736,1.0
0.75,0.8,4.0,0.6,1.8022419634873224,2.4855873168468285,-0.6833453533595062,-0.3214775512938471,1.0
1.0,0.2,4.0,0.6,1.7637168141362407,2.4855873168468285,-0.7218705027105878,-0.343085567937796,1.0
1.0,0.3,4.0,0.6,1.7637170641355733,2.4855873168468285,-0.7218702527112553,-0.3430854261920731,1.0
1.0,0.4,4.0,0.6,1.763842773690079,2.4855873168468285,-0.7217445431567495,-0.34301415338007946,1.0
1.0,0.6,4.0,0.6,1.7744748868095725,2.4855873168468285,-0.711112430037256,-0.337004435689715,1.0
1.0,0.8,4.0,0.6,1.8152697828361142,2.4855873168468285,-0.6703175340107144,-0.3142748790791975,1.0
0.0,0.2,4.0,1.0,1.819384350023561,2.564024495423726,-0.744640145400165,-0.34307991796524234,1.0
0.0,0.3,4.0,1.0,1.819384350023561,2.564024495423726,-0.744640145400165,-0.34307991796524234,1.0
0.0,0.4,4.0,1.0,1.819384350023561,2.564024495423726,-0.744640145400165,-0.34307991796524234,1.0
0.0,0.6,4.0,1.0,1.819384350023561,2.564024495423726,-0.744640145400165,-0.34307991796524234,1.0
