beta_peak,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D4p0_max_abs_delta_mu,D4p8_max_abs_delta_mu,D5p6_max_abs_delta_mu,D6p4_max_abs_delta_mu,D7p2_max_abs_delta_mu,D8p0_max_abs_delta_mu
0.0,0.2,22.486973133178807,22.501670410150318,0.3,0.9244091557313165,0.1167619400543014,22.501670410150318,0.4171423626231032,0.7570349676046169,0.3226590997374843
0.0,0.3,22.486973133178807,22.501670410150318,0.3,0.9244091557313165,0.1167619400543014,22.501670410150318,0.4171423626231032,0.7570349676046169,0.3226590997374843
0.0,0.4,22.486973133178807,22.501670410150318,0.3,0.9244091557313165,0.1167619400543014,22.501670410150318,0.4171423626231032,0.7570349676046169,0.3226590997374843
0.0,0.6,22.486973133178807,22.501670410150318,0.3,0.9244091557313165,0.1167619400543014,22.501670410150318,0.4171423626231032,0.7570349676046169,0.3226590997374843
0.0,0.8,22.486973133178807,22.501670410150318,0.3,0.9244091557313165,0.1167619400543014,22.501670410150318,0.4171423626231032,0.7570349676046169,0.3226590997374843
0.25,0.2,20.54613668173567,20.5595253209189,0.3,0.9244091557313139,0.11651433601142891,20.5595253209189,0.41821889932110423,0.7570349676046133,0.3226590997374812
0.25,0.3,20.54613668173567,20.5595253209189,0.3,0.9244090756816474,0.09566197582364744,20.5595253209189,0.5088811143703609,0.7570348692909903,0.3226590997374812
0.25,0.4,20.54613668173567,20.5595253209189,0.3,0.924368824622634,0.016511629830873176,20.5595253209189,0.8530122163184188,0.7569854346385818,0.32265909811484406
0.25,0.6,20.54613668173567,20.5595253209189,0.3,0.9209722774772087,0.19002012632857834,20.5595253209189,1.7509741891046247,0.75281393874159,0.32262335850026647
0.25,0.8,20.54613668173567,20.5595253209189,0.3,0.908079833680906,0.33821655227742653,20.5595253209189,2.3953049084065086,0.7369799832285362,0.3214751731264909
0.5,0.2,18.499208974220902,18.51121744201155,0.3,0.9244091557313059,0.11626672754790057,18.51121744201155,0.41929545523928624,0.7570349676046035,0.3226590997374812
0.5,0.3,18.499208974220902,18.51121744201155,0.3,0.9244089956319783,0.0745299092787608,18.51121744201155,0.6007594410577468,0.7570347709773642,0.32265909973747453
0.5,0.4,18.499208974220902,18.51121744201155,0.3,0.9243284927938915,0.08446335718827491,18.51121744201155,1.2920328310261056,0.7569359007881995,0.3226590964922065
0.5,0.6,18.499208974220902,18.51121744201155,0.3,0.9175301702215486,0.5035884893869724,18.51121744201155,3.1143115815290443,0.7485864878394608,0.32258761662493507
0.5,0.8,18.499208974220902,18.51121744201155,0.3,0.8916324722872409,0.8081214296137844,18.51121744201155,4.438364622424764,0.7167800279114034,0.320290546334014
0.75,0.2,16.34039078185013,16.350943634427814,0.3,0.9244091557313059,0.11601911466367554,16.350943634427814,0.4203720303778553,0.7570349676046035,0.3226590997374812
0.75,0.3,16.34039078185013,16.350943634427814,0.3,0.9244089155823065,0.0533656915777474,16.350943634427814,0.6927775550401947,0.7570346726637349,0.32265909973747453
0.75,0.4,16.34039078185013,16.350943634427814,0.3,0.924288160245081,0.18616825945541748,16.350943634427814,1.7342269825699503,0.7568863660534597,0.3226590948695822
0.75,0.6,16.34039078185013,16.350943634427814,0.3,0.9140828260087024,0.8240932681389346,16.350943634427814,4.507807229691345,0.744352605127482,0.322551874111483
0.75,0.8,16.34039078185013,16.350943634427814,0.3,0.875066218282397,1.2934423787708855,16.350943634427814,6.5484505726121185,0.6964340537055236,0.31910521894597244
1.0,0.2,14.063565874648345,14.072583544233837,0.3,0.9244091557313059,0.11577149735856906,14.072583544233837,0.42144862473762856,0.7570349676046035,0.3226590997374812
1.0,0.3,14.063565874648345,14.072583544233837,0.3,0.9244088355326405,0.03216927380464085,14.072583544233837,0.7849356689955513,0.7570345743501119,0.32265909973747453
1.0,0.4,14.063565874648345,14.072583544233837,0.3,0.9242478269761722,0.28860835328971923,14.072583544233837,2.179617611412901,0.7568368304343269,0.3226590932469384
1.0,0.6,14.063565874648345,14.072583544233837,0.3,0.9106302368709662,1.1516879023708828,14.072583544233837,5.932128261474894,0.7401122808200369,0.3225161309598832
1.0,0.8,14.063565874648345,14.072583544233837,0.3,0.8583802122304798,1.7946851516186157,14.072583544233837,8.727761674792895,0.6759410050880144,0.31791919054802387
