alpha,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.65,4.0,0.2,1.5002251095757149,2.408283091800889,-0.9080579822251742,-0.473298913678011,1.0
0.675,4.0,0.2,1.528392072400294,2.408283091800889,-0.8798910194005951,-0.4546978338615479,1.0
0.7,4.0,0.2,1.5570878743902046,2.408283091800889,-0.8511952174106845,-0.43609675404508635,1.0
0.725,4.0,0.2,1.5863224445841106,2.408283091800889,-0.8219606472167784,-0.41749567422862327,1.0
0.75,4.0,0.2,1.6161058984399312,2.408283091800889,-0.7921771933609578,-0.398894594412162,1.0
0.775,4.0,0.2,1.6464485413349126,2.408283091800889,-0.7618345504659765,-0.38029351459569916,1.0
0.8,4.0,0.2,1.6773608721313715,2.408283091800889,-0.7309222196695175,-0.3616924347792377,1.0
0.825,4.0,0.2,1.7088535868094308,2.408283091800889,-0.6994295049914583,-0.3430913549627745,1.0
0.85,4.0,0.2,1.7409375821679125,2.408283091800889,-0.6673455096329766,-0.32449027514631335,1.0
0.875,4.0,0.2,1.7736239595947654,2.408283091800889,-0.6346591322061237,-0.3058891953298511,1.0
0.9,4.0,0.2,1.8069240289082398,2.408283091800889,-0.6013590628926493,-0.28728811551338895,1.0
0.65,4.0,0.6,1.54839851345201,2.4855873168468285,-0.9371888033948186,-0.47328779676448274,1.0
0.675,4.0,0.6,1.5774686869115384,2.4855873168468285,-0.9081186299352901,-0.4546875110132731,1.0
0.7,4.0,0.6,1.6070846339413907,2.4855873168468285,-0.8785026829054379,-0.4360872252620619,1.0
0.725,4.0,0.6,1.6372566010848262,2.4855873168468285,-0.8483307157620024,-0.4174869395108523,1.0
0.75,4.0,0.6,1.667995027257289,2.4855873168468285,-0.8175922895895396,-0.3988866537596418,1.0
0.775,4.0,0.6,1.6993105473580532,2.4855873168468285,-0.7862767694887753,-0.3802863680084323,1.0
0.8,4.0,0.6,1.731213995949705,2.4855873168468285,-0.7543733208971235,-0.36168608225722193,1.0
0.825,4.0,0.6,1.763716411006682,2.4855873168468285,-0.7218709058401465,-0.34308579650601145,1.0
0.85,4.0,0.6,1.7968290377342004,2.4855873168468285,-0.6887582791126281,-0.3244855107548019,1.0
0.875,4.0,0.6,1.830563332458886,2.4855873168468285,-0.6550239843879426,-0.30588522500359067,1.0
0.9,4.0,0.6,1.8649309665924234,2.4855873168468285,-0.6206563502544051,-0.287284939252381,1.0
0.65,4.0,1.0,1.5972790627238413,2.564024495423726,-0.9667454326998846,-0.4732764967995304,1.0
0.675,4.0,1.0,1.6272656232227625,2.564024495423726,-0.9367588722009634,-0.45467701818867273,1.0
0.7,4.0,1.0,1.6578151372039747,2.564024495423726,-0.9062093582197512,-0.4360775395778166,1.0
0.725,4.0,1.0,1.6889381732894897,2.564024495423726,-0.8750863221342362,-0.4174780609669599,1.0
0.75,4.0,1.0,1.7206454985116142,2.564024495423726,-0.8433789969121117,-0.3988785823561049,1.0
0.775,4.0,1.0,1.7529480820378298,2.564024495423726,-0.8110764133858961,-0.3802791037452482,1.0
0.8,4.0,1.0,1.785857098965561,2.564024495423726,-0.7781673964581648,-0.3616796251343924,1.0
0.825,4.0,1.0,1.8193839341882265,2.564024495423726,-0.7446405612354994,-0.34308014652353563,1.0
0.85,4.0,1.0,1.853540186333834,2.564024495423726,-0.7104843090898918,-0.3244806679126797,1.0
0.875,4.0,1.0,1.888337671777546,2.564024495423726,-0.6756868236461799,-0.3058811893018229,1.0
0.9,4.0,1.0,1.923788428729549,2.564024495423726,-0.6402360666941769,-0.28728171069096625,1.0
0.65,4.0,2.0,1.72238103379407,2.7647636140617435,-1.0423825802676736,-0.4732474836093718,1.0
0.675,4.0,2.0,1.7547125630188467,2.7647636140617435,-1.0100510510428968,-0.45465007736924057,1.0
0.7,4.0,2.0,1.7876510007972475,2.7647636140617435,-0.977112613264496,-0.43605267112911056,1.0
0.725,4.0,2.0,1.821207739661621,2.7647636140617435,-0.9435558744001225,-0.41745526488897944,1.0
0.75,4.0,2.0,1.855394385998264,2.7647636140617435,-0.9093692280634795,-0.3988578586488485,1.0
0.775,4.0,2.0,1.8902227640617686,2.7647636140617435,-0.874540849999975,-0.38026045240871736,1.0
0.8,4.0,2.0,1.9257049200647154,2.7647636140617435,-0.8390586939970281,-0.3616630461685873,1.0
0.825,4.0,2.0,1.9618531263441472,2.7647636140617435,-0.8029104877175963,-0.3430656399284561,1.0
