pair,lhs_family,rhs_family,layer,D,eta,amp_eff_lhs,amp_eff_rhs,amp_ref_eff_lhs,amp_ref_eff_rhs,partial_ratio_lhs,partial_ratio_rhs,width_ratio_lhs,width_ratio_rhs,mu_lhs,mu_rhs,mu_identity_residual_lhs,mu_identity_residual_rhs,delta_log_amp_point,delta_log_amp_ref,delta_log_partial,delta_log_width,delta_log_mu,delta_mu,path_closure_residual,acceptance_mismatch
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,0.2,0.00016328794601215666,0.00016328794601215666,1.0744892977952553e-05,1.0744892977952553e-05,230.9426069242374,230.9426069242374,539.8938642809987,539.8938642809987,0.4277555686464305,0.4277555686464305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.0,0.2,0.0014804778760172169,0.0014804778760172169,4.874513847058988e-05,4.874513847058988e-05,922.4465834335901,922.4465834335901,539.8938642809987,539.8938642809987,1.708570229191351,1.708570229191351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.0,0.2,0.00034459332653744403,0.00034459332653744403,2.7397481066954424e-06,2.7397481066954424e-06,15819.489120700891,15819.489120700891,539.8938642809987,539.8938642809987,29.301109287041864,29.301109287041864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,1,4.0,0.2,0.0001655842744170721,0.00016328794601215666,1.076751426188826e-05,1.0744892977952553e-05,236.48699746928023,230.9426069242374,535.3485713752906,539.8938642809987,0.44174395919606907,0.4277555686464305,0.0,0.0,0.013965093930385909,0.002103092603382631,0.023724002654006496,-0.008454502592564389,0.03217850524657086,0.013988390549638574,-2.7755575615628914e-17,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,2,4.0,0.2,0.0015062187967988462,0.0014804778760172169,4.8798490031606536e-05,4.874513847058988e-05,952.7157795954405,922.4465834335901,535.3485713752906,539.8938642809987,1.77961767442089,1.708570229191351,0.0,0.0,0.017237477364712712,0.0010939016142008733,0.03228715150102351,-0.008454502592564389,0.040741654093587924,0.0710474452295391,2.7755575615628914e-17,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,3,4.0,0.2,0.00033373491643283194,0.00034459332653744403,2.718378639560777e-06,2.7397481066954424e-06,15072.434137021759,15819.489120700891,535.3485713752906,539.8938642809987,28.154430483117263,29.301109287041864,0.0,0.0,-0.03201794359902689,-0.007830370131197077,-0.048375146935659516,-0.008454502592564389,-0.039920644343095155,-1.1466788039246012,-2.7755575615628914e-17,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,1,4.0,0.2,0.0001655842744170721,0.00016328794601215666,1.076751426188826e-05,1.0744892977952553e-05,236.48699746928023,230.9426069242374,535.3485713752906,539.8938642809987,0.44174395919606907,0.4277555686464305,0.0,0.0,0.013965093930385909,0.002103092603382631,0.023724002654006496,-0.008454502592564389,0.03217850524657086,0.013988390549638574,-2.7755575615628914e-17,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,2,4.0,0.2,0.0015062187967988462,0.0014804778760172169,4.8798490031606536e-05,4.874513847058988e-05,952.7157795954405,922.4465834335901,535.3485713752906,539.8938642809987,1.77961767442089,1.708570229191351,0.0,0.0,0.017237477364712712,0.0010939016142008733,0.03228715150102351,-0.008454502592564389,0.040741654093587924,0.0710474452295391,2.7755575615628914e-17,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,3,4.0,0.2,0.00033373491643283194,0.00034459332653744403,2.718378639560777e-06,2.7397481066954424e-06,15072.434137021759,15819.489120700891,535.3485713752906,539.8938642809987,28.154430483117263,29.301109287041864,0.0,0.0,-0.03201794359902689,-0.007830370131197077,-0.048375146935659516,-0.008454502592564389,-0.039920644343095155,-1.1466788039246012,-2.7755575615628914e-17,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,0.6,0.00016662024005912124,0.00016662024005912124,1.0744892977952553e-05,1.0744892977952553e-05,240.46469558403396,240.46469558403396,529.0736264647921,529.0736264647921,0.4545013842228176,0.4545013842228176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.0,0.6,0.0014889075549256335,0.0014889075549256335,4.874513847058988e-05,4.874513847058988e-05,932.9811091803808,932.9811091803808,529.0736264647921,529.0736264647921,1.7634239593730103,1.7634239593730103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.0,0.6,0.00034111391084756137,0.00034111391084756137,2.7397481066954424e-06,2.7397481066954424e-06,15501.637975977164,15501.637975977164,529.0736264647921,529.0736264647921,29.29958554078246,29.29958554078246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,1,4.0,0.6,0.0001689273749793499,0.00016662024005912124,1.076751426188826e-05,1.0744892977952553e-05,246.13260919754754,240.46469558403396,524.5777346468143,529.0736264647921,0.4692014032262783,0.4545013842228176,0.0,0.0,0.013751677407155308,0.002103092603382631,0.023297169607545347,-0.008533978637991673,0.031831148245536914,0.014700019003460685,-1.0408340855860843e-16,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,2,4.0,0.6,0.0015144611329696324,0.0014889075549256335,4.8798490031606536e-05,4.874513847058988e-05,963.1712184350339,932.9811091803808,524.5777346468143,529.0736264647921,1.8360886381948982,1.7634239593730103,0.0,0.0,0.01701702144818558,0.0010939016142008733,0.031846239667969074,-0.008533978637991673,0.04038021830596083,0.07266467882188787,8.326672684688674e-17,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,3,4.0,0.6,0.00033028980646225797,0.00034111391084756137,2.718378639560777e-06,2.7397481066954424e-06,14762.858025538237,15501.637975977164,524.5777346468143,529.0736264647921,28.14236489750698,29.29958554078246,0.0,0.0,-0.03224600043969826,-0.007830370131197077,-0.04883126061700231,-0.008533978637991673,-0.040297281979010495,-1.1572206432754797,1.457167719820518e-16,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,1,4.0,0.6,0.0001689273749793499,0.00016662024005912124,1.076751426188826e-05,1.0744892977952553e-05,246.13260919754754,240.46469558403396,524.5777346468143,529.0736264647921,0.4692014032262783,0.4545013842228176,0.0,0.0,0.013751677407155308,0.002103092603382631,0.023297169607545347,-0.008533978637991673,0.031831148245536914,0.014700019003460685,-1.0408340855860843e-16,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,2,4.0,0.6,0.0015144611329696324,0.0014889075549256335,4.8798490031606536e-05,4.874513847058988e-05,963.1712184350339,932.9811091803808,524.5777346468143,529.0736264647921,1.8360886381948982,1.7634239593730103,0.0,0.0,0.01701702144818558,0.0010939016142008733,0.031846239667969074,-0.008533978637991673,0.04038021830596083,0.07266467882188787,8.326672684688674e-17,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,3,4.0,0.6,0.00033028980646225797,0.00034111391084756137,2.718378639560777e-06,2.7397481066954424e-06,14762.858025538237,15501.637975977164,524.5777346468143,529.0736264647921,28.14236489750698,29.29958554078246,0.0,0.0,-0.03224600043969826,-0.007830370131197077,-0.04883126061700231,-0.008533978637991673,-0.040297281979010495,-1.1572206432754797,1.457167719820518e-16,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,1.0,0.00016996596172585754,0.00016996596172585754,1.0744892977952553e-05,1.0744892977952553e-05,250.21867711185342,250.21867711185342,518.5021056528425,518.5021056528425,0.4825798668586018,0.4825798668586018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.0,1.0,0.0014970377069592079,0.0014970377069592079,4.874513847058988e-05,4.874513847058988e-05,943.1979797609877,943.1979797609877,518.5021056528425,518.5021056528425,1.8190822553621329,1.8190822553621329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.0,1.0,0.0003376798577500963,0.0003376798577500963,2.7397481066954424e-06,2.7397481066954424e-06,15191.093662003053,15191.093662003053,518.5021056528425,518.5021056528425,29.298036587288397,29.298036587288397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,1,4.0,1.0,0.00017228356069681598,0.00016996596172585754,1.076751426188826e-05,1.0744892977952553e-05,256.00990397970475,250.21867711185342,514.0562040869315,518.5021056528425,0.4980192864988965,0.4825798668586018,0.0,0.0,0.013543536191773358,0.002103092603382631,0.02288088717678115,-0.008611482758379118,0.03149236993516037,0.01543941964029466,1.0408340855860843e-16,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,2,4.0,1.0,0.001522403324924354,0.0014970377069592079,4.8798490031606536e-05,4.874513847058988e-05,973.2999023975335,943.1979797609877,514.0562040869315,518.5021056528425,1.893372543039943,1.8190822553621329,0.0,0.0,0.01680192752945234,0.0010939016142008733,0.03141605183050276,-0.008611482758379118,0.040027534588881884,0.07429028767781021,6.938893903907228e-18,0.0
