D,uniform_omega1,uniform_omega2,uniform_delta_omega12,uniform_t_coh_deph,prolate_E1,prolate_E2,prolate_omega1,prolate_omega2,prolate_delta_omega12,prolate_t_coh_deph,rel_delta_bias_vs_uniform,rel_tcoh_bias_vs_uniform
4.0,0.7035248467819583,0.7809626776642773,0.077437830882319,40.56922330848882,-0.5061813520144096,-0.39136808692017977,0.7027223121444134,0.7801486480663927,0.07742633592197934,40.575246344544844,0.00014844114573824395,0.0001484631837839718
5.0,0.7159835278627331,0.7532473204940567,0.0372637926313236,84.30684135326037,-0.48850626421726073,-0.4338682354196939,0.7151879024303608,0.7524172808889401,0.03722937845857932,84.38477309217149,0.0009235284525320275,0.0009243821457450992
6.0,0.721500223480184,0.7396293659720765,0.0181291424918924,173.28964428376833,-0.48059719551284763,-0.45418416140889173,0.7206960555512653,0.7387935019957257,0.01809744644446043,173.5931454877395,0.0017483478573873076,0.0017514099311911064
7.0,0.7236429223000547,0.7325130848346884,0.0088701625346336,354.1753199361789,-0.4775242205568663,-0.4646563697088808,0.7228248608363811,0.7316718050404287,0.008846944204047635,355.1048340682942,0.002617576678590606,0.0026244463682078096
8.0,0.7241808800174905,0.72853372043104,0.0043528404135495,721.7339380995043,-0.4767686981107875,-0.4704748559223243,0.723347289957744,0.7276847834589341,0.0043374935011900595,724.2875759301652,0.0035257236428124245,0.0035381983524084555
9.0,0.7239983893293975,0.7261381140119952,0.0021397246825977,1468.2228415366858,-0.47705602401585645,-0.4739706447534142,0.7231486541397582,0.7252788120761462,0.002130157936388044,1474.8167729369243,0.004471017363804807,0.004491097137091999
10.0,0.7235274331458404,0.7245804572590424,0.0010530241132019,2983.4004883677926,-0.47776116694084914,-0.47624641298432013,0.722660939209496,0.7237082195302744,0.0010472803207783876,2999.762901354639,0.005454568752511614,0.005484484248977945
11.0,0.7229708845929181,0.7234895536993469,0.0005186691064287,6057.026752993047,-0.47859073876925645,-0.4778462778778208,0.7220867407941677,0.7226020496249503,0.000515308830782657,6096.523998663687,0.0064786500765009695,0.006520896684354694
12.0,0.7224184535018031,0.7226741019993743,0.0002556484975712,12288.719407454337,-0.47941541458565606,-0.47904922671619315,0.7215154782915915,0.721769196685344,0.00025371839375254446,12382.202989405008,0.007549834389767841,0.007607268003366115
13.0,0.7219056797083513,0.7220317607914495,0.0001260810830981,24917.24036938231,-0.4801842869075017,-0.4800040431202175,0.7209824637898611,0.721107451687876,0.00012498789801496102,25135.174712784956,0.00867049248211483,0.0087463274492643
14.0,0.721443182027787,0.7215053942637425,6.221223595548331e-05,50497.986534960684,-0.48088241153738487,-0.48079364202963915,0.7204981529904259,0.7205597532268652,6.160023643930757e-05,50999.684987980334,0.009837285331034661,0.009935018947187419
15.0,0.721030786829939,0.7210614978082328,3.0710978293768676e-05,102295.4275027842,-0.481510343903914,-0.48146660466482843,0.7200622584860882,0.7200926296909111,3.0371204822965403e-05,103439.84283475825,0.011063583437594813,0.011187355680613489
16.0,0.7206641579829557,0.7206793243427394,1.5166359783713723e-05,207142.16848286617,-0.48207458188078867,-0.48205302203633726,0.7196703537865176,0.7196853326028416,1.4978816324062727e-05,209735.70845801613,0.012365753043283877,0.012520579436554899
17.0,0.7203377883392568,0.720345280730304,7.492391047247971e-06,419304.4161441268,-0.4825832833864174,-0.48257265266068883,0.7193168402126997,0.7193242296345308,7.389421831094367e-06,425147.2882993507,0.013743171639636426,0.013934678315468909
18.0,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,848504.9999919219,-0.4830444926955114,-0.4830392488376262,0.718996180312864,0.7189998269557328,3.646642868782024e-06,861502.6934729923,0.015087234874069166,0.01531834636353832
19.0,0.7197847344702595,0.7197865646473032,1.8301770436934817e-06,1716551.228972768,-0.4834655316484505,-0.4834629446882951,0.7187033242942108,0.7187051240332887,1.7997390778790034e-06,1745582.2859012247,0.016631159220012584,0.016912432579032174
20.0,0.7195490228861463,0.7195499277901196,9.049039733088904e-07,3471741.473409804,-0.48385291565692645,-0.4838516399309002,0.7184337717166931,0.7184346595683562,8.87851663078365e-07,3538420.644161709,0.01884433125889757,0.019206260391968495
