D,eta,mu_full,mu_detlin_map,mu_detlin_path,chi2_full,chi2_detlin,acceptance_mismatch,width_full,width_detlin,c_uv22_full,c_uv22_detlin,delta_log_mu,delta_log_uv_ratio,delta_log_fin_ratio,delta_log_rge_ratio,delta_log_width_term,identity_residual,delta_log_uv_g_only,delta_log_uv_p_only,delta_log_uv_m2_only,dominant_component,abs_width_component,abs_uv_component,abs_fin_component,abs_rge_component
4.0,0.2,1.8414344787177772,1.9649703091680983,1.9649703091684754,1.2179024937552234,1.9949465640093544,0.0,473.94869895699594,558.6370386096645,0.0014758502143104744,0.0016101726559720145,-0.20343694820767455,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.1644008716634211,-3.164135620181696e-15,-0.10523521912657152,0.0,0.08579379762159878,width,0.1644008716634211,0.03888284300994549,0.0,0.00015323353430481135
4.0,0.29500000000000004,1.8553977041522351,1.9792994457531707,1.9792994457535502,1.2961691809195433,2.097424049062068,0.0,471.6736746166491,556.1142922548236,0.0014778732995230066,0.0016123798694536635,-0.20372253213600033,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.164686455591748,-2.0539125955565396e-15,-0.10523521912657063,0.0,0.08579379762159878,width,0.164686455591748,0.03888284300994549,0.0,0.00015323353430481135
4.0,0.39,1.869411360343974,1.9936742906922391,1.993674290692622,1.3771689076248776,2.2028072714308347,0.0,469.4109237215333,553.604429852354,0.0014798793343970764,0.0016145684807841584,-0.20400792790126088,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.16497185135700843,-3.885780586188048e-16,-0.10523521912657152,0.0,0.08579379762159789,width,0.16497185135700843,0.038882843009947266,0.0,0.00015323353430481135
4.0,0.48500000000000004,1.8834750003050624,2.0080943546904053,2.00809435469079,1.4609254744998763,2.3111171512896287,0.0,467.1604615280256,551.1074764397424,0.0014818683828695962,0.0016167385597195404,-0.20429312438133218,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.16525704783707873,-1.3877787807814457e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.16525704783707873,0.038882843009947266,0.0,0.00015323353430481135
4.0,0.5800000000000001,1.8975881710511824,2.0225591430955303,2.022559143095918,1.5474624248128812,2.4223742915740067,0.0,464.9223011719615,548.6234547400209,0.0014838405094366235,0.0016188901766258854,-0.2045781105718637,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.16554203402760947,-3.941291737419306e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.16554203402760947,0.03888284300994549,0.0,0.00015323353430481135
4.0,0.675,1.9117504136610723,2.0370681559660087,2.037068155966399,1.636803036764242,2.536598970912068,0.0,462.69645371025234,546.1523852043647,0.0014857957791370197,0.001621023402461476,-0.2048628755862385,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.1658267990419855,-9.43689570931383e-16,-0.10523521912657152,0.0,0.08579379762159789,width,0.1658267990419855,0.038882843009947266,0.0,0.00015323353430481135
4.0,0.77,1.9259612633374992,2.0516208881398894,2.0516208881402833,1.7289703158223635,2.653811136626365,0.0,460.48292816215394,543.6942860543788,0.0014877342575363118,0.001623138308759193,-0.20514740865550996,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.16611133211125662,-1.27675647831893e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.16611133211125662,0.038882843009947266,0.0,0.00015323353430481135
4.0,0.865,1.9402202494696392,2.06621682930519,2.066216829305586,1.823986987106496,2.774030397809131,0.0,458.28173155019647,541.2491733240803,0.0014896560107107246,0.0016252349676090972,-0.20543169912832338,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.16639562258407015,-1.1657341758564144e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.16639562258407015,0.038882843009947266,0.0,0.00015323353430481135
4.0,0.96,1.9545268956969832,2.080855464071558,2.080855464071957,1.9218754878208313,2.89727601847561,0.0,456.0928689407299,538.8170609015292,0.0014915611052314021,0.0016273134516412119,-0.20571573647082608,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.1666796599265732,-2.609024107869118e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.1666796599265732,0.03888284300994549,0.0,0.00015323353430481135
4.0,1.055,1.9688807199746967,2.09553627204315,2.0955362720435518,2.0226579597433085,3.0235669107980168,0.0,453.9163434841082,536.3979605701329,0.0014934496081488158,0.001629373834008513,-0.20599951026656715,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.16696343372231492,-1.6653345369377348e-16,-0.10523521912657152,0.0,0.08579379762159789,width,0.16696343372231492,0.038882843009947266,0.0,0.00015323353430481135
4.0,1.15,1.983281234640386,2.1102587278927576,2.1102587278931613,2.1263562417725805,3.15292162842399,0.0,451.7521564544984,533.9918820496046,0.0014953215869773688,0.0016314161883701323,-0.2062830102163774,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.16724693367212407,-1.27675647831893e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.16724693367212407,0.038882843009947266,0.0,0.00015323353430481135
