case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D60E21_release,D60 x E21 release,4.0,4.0,0.2,0.07643582046474662,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.39,0.07203241869951782,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.5800000000000001,0.06746543158000451,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.77,0.0627337261779779,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.96,0.057836252943996413,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.15,0.052772047089488794,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.34,0.04754022986904838,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.53,0.042140009760657904,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.72,0.036570683541872206,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.91,0.03083163726009852,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.1,0.02492234709539609,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.29,0.018842380114488577,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.4800000000000004,0.01259139491473693,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.6700000000000004,0.006169142157259611,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.8600000000000003,0.000424535011538385,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.0500000000000003,0.007189700650476194,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.24,0.014126325826333108,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.43,0.02123428852887299,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.62,0.028513373697829802,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.81,0.03596327336152161,0.0
D60E21_release,D60 x E21 release,4.0,4.0,4.0,0.043583586886263515,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.2,2.640058512595262,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.39,2.6535908773932224,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.5800000000000001,2.6671170921617833,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.77,2.6806371604379056,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.96,2.694151085728066,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.15,2.7076588715086825,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.34,2.7211605212256895,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.53,2.7346560382943306,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.72,2.7481454261002494,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.91,2.7616286879988774,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.1,2.7751058273156257,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.29,2.788576847346212,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.4800000000000004,2.802041751356402,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.6700000000000004,2.8155005425820168,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.8600000000000003,2.828953224230025,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.0500000000000003,2.8423997994769135,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.24,2.855840271470397,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.43,2.869274643328442,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.62,2.88270291814006,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.81,2.8961250989650935,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,4.0,2.909541188833975,0.0
