eta,abs_delta_mu_mumu
0.2,5.195290559390422
0.39,5.195121591880543
0.5800000000000001,5.194952625204863
0.77,5.194783659443999
0.96,5.194614694605086
1.15,5.194445730819794
1.34,5.194276768131296
1.53,5.194107806256476
1.72,5.19393884543949
1.91,5.1937698856551435
2.1,5.193600926825916
2.29,5.193431968949909
2.4800000000000004,5.193263012072563
2.6700000000000004,5.1930940561961165
2.8600000000000003,5.1929251012937385
3.0500000000000003,5.192756147371298
3.24,5.192587194425236
3.43,5.192418242515771
3.62,5.192249291571272
3.81,5.192080341586276
4.0,5.191911392589347
