D,release_slice_max_abs_delta_mu_mumu,release_slice_p95_abs_delta_mu_mumu,release_slice_acceptance_mismatch,band_slice_max_abs_delta_mu_mumu,band_slice_p95_abs_delta_mu_mumu,band_slice_acceptance_mismatch
4.0,1.2113442977544018,1.1958969718117798,0.3902439024390244,1.2113442977541795,1.19589697181156,0.3902439024390244
4.8,2.709745234069489,2.7073711734676102,0.0,7.311200734232331,7.258430459329819,0.0
5.6,44.222720748152256,44.22045413105293,0.0,28.631853286652387,28.62041296841828,0.0
6.4,49.70231928806595,49.70220077602296,0.0,9.98569946539893,9.985430164505331,0.0
7.2,1.3540378758961014,1.3540378744534767,1.0,1.3540378758796279,1.3540378744370045,1.0
8.0,0.3081281529194815,0.30812815289449125,1.0,0.3081281529296973,0.3081281529047075,1.0
8.8,0.36920544457525173,0.36920544396967814,0.0,0.36920544457482896,0.36920544396925536,0.0
9.6,2.9234059617522234e-11,2.8057445256024494e-11,0.0,2.923461472903455e-11,2.805766730062942e-11,0.0
10.4,0.1254657332903587,0.12546573154920293,0.0,0.12546573331663008,0.12546573157547414,0.0
11.2,0.03775882409616141,0.037758823685904316,0.0,0.0377588240961947,0.03775882368593751,0.0
12.0,0.006763989869735799,0.006763987091823201,0.0,0.006763989869658902,0.006763987091746304,0.0
12.8,0.0019053956887733,0.0019053585581887,0.0,0.0019053956887733,0.0019053585581887,0.0
13.6,7.292099926789999e-05,7.291581871030001e-05,0.0,7.292099926789999e-05,7.291581871030001e-05,0.0
14.4,2.1990883425758448e-05,2.198979216946993e-05,0.0,2.1990883425759258e-05,2.198979216947074e-05,0.0
15.2,9.488490680780785e-06,9.48786264399552e-06,0.0,9.488490680780437e-06,9.48786264399517e-06,0.0
16.0,1.314628229256493e-06,1.3125180781495124e-06,0.0,1.3146282292563847e-06,1.3125180781494044e-06,0.0
16.8,3.6271946054841827e-07,3.090253623648796e-07,0.0,3.6271946054842187e-07,3.090253623648832e-07,0.0
17.6,9.833838899840993e-09,9.833838899840993e-09,0.0,9.83383889984458e-09,9.83383889984458e-09,0.0
18.4,9.833838899840993e-09,9.833838899840993e-09,0.0,9.83383889984458e-09,9.83383889984458e-09,0.0
19.200000000000003,9.833838899840993e-09,9.833838899840993e-09,0.0,9.83383889984458e-09,9.83383889984458e-09,0.0
20.0,9.833838899840993e-09,9.833838899840993e-09,0.0,9.83383889984458e-09,9.83383889984458e-09,0.0
