D,release_width_ratio,raw_width_ratio,stabilized_width_ratio,width_compression_factor,rho_target,activation,rho,partial_mu,partial_tau,log_partial_mu_over_tau,mu_mumu_full_probe,mu_mumu_release_probe,mu_mumu_combo_probe,release_slice_p95_abs_delta_mu_mumu,release_slice_max_abs_delta_mu_mumu,release_slice_acceptance_mismatch,combo_slice_p95_abs_delta_mu_mumu,combo_slice_max_abs_delta_mu_mumu,combo_slice_acceptance_mismatch
4.0,997.3904157104267,997.3904157069958,21.783273502532374,0.02184026752161178,0.6,1.0,0.6,922.5387432545034,15813.502794186938,-2.841490088132596,1.8414344787177772,0.9249524847276016,42.3507854843707,1.1958969718117798,1.2113442977544018,0.3902439024390244,48.79755568600224,49.225322266982054,0.6097560975609756
4.8,132.25106344474884,132.25106344430745,10.982370997270179,0.08304183506165144,0.6635087215098101,1.0,0.6635087215098101,1168.6980935643962,2080.272535845885,-0.5766085232679323,11.49929856244426,8.836965564764474,106.4158271339149,2.7073711734676102,2.709745234069489,0.0,94.86837476423258,94.91652857147065,0.0
5.6,81.93850031656774,81.93850031629123,8.206974461117461,0.10016017414814375,0.6631183156790988,1.0,0.6631183156790988,719.0456579775533,1283.2306039838606,-0.5792112288060075,52.95280990608075,8.775431026929118,87.61397533099048,44.22045413105293,44.222720748152256,0.0,34.65634351489385,34.66116542490973,0.0
6.4,46.62239515429052,46.62239515413266,5.569633370579227,0.1194626177433857,0.6523589073920225,1.0,0.6523589073920225,377.5276158994245,723.8501082158226,-0.6509406173865164,57.79750829366997,8.097559437913082,67.7832077590689,49.70220077602296,49.70231928806595,0.0,9.985430164505331,9.98569946539893,0.0
7.2,3.0027869093533837,3.0027869098351925,3.0027869098351925,1.0,0.6,0.0,1.0,6.397184842585837,32.77141745866049,-1.633698691291408,3.4844537025541538,2.130415855554428,2.130415855570899,1.3540378744534767,1.3540378758961014,1.0,1.3540378744370045,1.3540378758796279,1.0
8.0,1.660702796431123,1.6607027964285739,1.6607027964285739,1.0,0.6,0.0,1.0,3.3390797106919425,11.47917524546929,-1.2348393122807595,2.318770705646786,2.0106425531929357,2.0106425531827203,0.30812815289449125,0.3081281529194815,1.0,0.3081281529047075,0.3081281529296973,1.0
8.8,1.2199249868732174,1.2199249868721247,1.2199249868721247,1.0,0.6,0.0,1.0,1.481678870120726,4.489189429688341,-1.1084963409821906,1.583771000707045,1.2145655561317932,1.214565556132216,0.36920544396967814,0.36920544457525173,0.0,0.36920544396925536,0.36920544457482896,0.0
10.4,0.9463196043233838,0.9463196042525696,0.9463196042525696,1.0,0.85,0.0,1.0,0.3486922357885995,0.15020467790980876,0.8421908038852788,0.4939376795916252,0.368471956219152,0.3684719561928809,0.12546573154920293,0.1254657332903587,0.0,0.12546573157547414,0.12546573331663008,0.0
11.2,0.9393593284762828,0.9393593284761896,0.9393593284761896,1.0,0.85,0.0,1.0,0.10624587613349101,0.040570770425586995,0.9627081271202563,0.150863428900592,0.1131046160002484,0.1131046160002152,0.037758823685904316,0.03775882409616141,0.0,0.03775882368593751,0.0377588240961947,0.0
12.0,0.9373724575874252,0.9373724575889975,0.9373724575889975,1.0,0.85,0.0,1.0,0.028897783939111167,0.009303250811378004,1.1334010231792133,0.0375924868096493,0.0308284969399135,0.0308284969399904,0.006763987091823201,0.006763989869735799,0.0,0.006763987091746304,0.006763989869658902,0.0
12.8,0.9369069085028281,0.9369069085028277,0.9369069085028277,1.0,0.6,0.0,1.0,0.0004052938195873704,0.002013083958190619,-1.6028108482279493,0.0023379827642972,0.0004325870755239,0.0004325870755239,0.0019053585581887,0.0019053956887733,0.0,0.0019053585581887,0.0019053956887733,0.0
