region,D,eta,mu_full,mu_base,mu_cf,chi2_full,chi2_base,chi2_cf,delta_base,delta_cf,abs_delta_base,abs_delta_cf,abs_improvement,cf_shift_vs_base,improved,worsened,obs_acceptance_flip_vs_base
D21_guard,4.0,0.2,2.408283091800887,1.7088539774154017,1.787258352075588,6.353967457572223,0.5961923710332094,0.937306445326876,-0.6994291143854852,-0.6210247397252988,0.6994291143854852,0.6210247397252988,0.07840437466018635,0.07840437466018635,1.0,0.0,0.0
D21_guard,4.0,0.295,2.426537875766881,1.721749963029307,1.8006033294685795,6.586125064899877,0.6470189919335028,1.0030189223831956,-0.704787912737574,-0.6259345462983015,0.704787912737574,0.6259345462983015,0.07885336643927254,0.07885336643927254,1.0,0.0,0.0
D21_guard,4.0,0.39,2.444858483789307,1.7347286463553877,1.8140334928928903,6.823307819665558,0.7002704168181891,1.0713983327317944,-0.7101298374339191,-0.6308249908964165,0.7101298374339191,0.6308249908964165,0.07930484653750258,0.07930484653750258,1.0,0.0,0.0
D21_guard,4.0,0.485,2.463244330280558,1.7477910238007683,1.8275498796612764,7.065553161710952,0.7559912264774167,1.1424931224898245,-0.7154533064797897,-0.6356944506192816,0.7154533064797897,0.6356944506192816,0.07975885586050802,0.07975885586050802,1.0,0.0,0.0
D21_guard,4.0,0.5800000000000001,2.481694821821148,1.7609381139352602,1.8411535500545184,7.312898047216783,0.8142270130696435,1.2163528420356533,-0.7207567078858879,-0.6405412717666297,0.7207567078858879,0.6405412717666297,0.08021543611925819,0.08021543611925819,1.0,0.0,0.0
D21_guard,4.0,0.675,2.500209357237757,1.7740414941581613,1.8547102370601511,7.565378935959492,0.8744189959504366,1.292258748045618,-0.7261678630795958,-0.6454991201776059,0.7261678630795958,0.6454991201776059,0.08066874290198989,0.08066874290198989,1.0,0.0,0.0
D21_guard,4.0,0.77,2.518787327683288,1.7871935483273715,1.868316544264373,7.823031778654458,0.9369927741646292,1.370752410198278,-0.7315937793559166,-0.6504707834189152,0.7315937793559166,0.6504707834189152,0.08112299593700145,0.08112299593700145,1.0,0.0,0.0
D21_guard,4.0,0.865,2.5374281167187394,1.800429385011821,1.8820091749440293,8.085892004389615,1.0021480773809075,1.4520802795638994,-0.7369987317069184,-0.65541894177471,0.7369987317069184,0.65541894177471,0.08157978993220838,0.08157978993220838,1.0,0.0,0.0
D21_guard,4.0,0.96,2.5561311003970992,1.813750031551268,1.895789198443978,8.353994508158797,1.0699318038042196,1.5362933080857646,-0.7423810688458312,-0.6603419019531211,0.7423810688458312,0.6603419019531211,0.08203916689271007,0.08203916689271007,1.0,0.0,0.0
D21_guard,4.0,1.055,2.574895647349112,1.8269818958066275,1.9094751798694658,8.627373638499304,1.139459620916386,1.6222809931439035,-0.7479137515424843,-0.665420467479646,0.7479137515424843,0.665420467479646,0.08249328406283829,0.08249328406283829,1.0,0.0,0.0
D21_guard,4.0,1.15,2.5937211188708993,1.8401679114085652,1.9231120244875022,8.906063185239947,1.210923688961116,1.710288688521332,-0.7535532074623341,-0.6706090943833971,0.7535532074623341,0.6706090943833971,0.08294411307893701,0.08294411307893701,1.0,0.0,0.0
D21_guard,4.0,1.245,2.6126068690134527,1.8534345227135596,1.9368318921655128,9.190096367366303,1.2850179149279604,1.8011780027875302,-0.7591723462998932,-0.67577497684794,0.7591723462998932,0.67577497684794,0.0833973694519532,0.0833973694519532,1.0,0.0,0.0
D21_guard,4.0,1.34,2.631552244673955,1.866782700501997,1.9506357936004537,9.479505821009107,1.361788059299607,1.8949986074625094,-0.764769544171958,-0.6809164510735013,0.764769544171958,0.6809164510735013,0.08385309309845668,0.08385309309845668,1.0,0.0,0.0
D21_guard,4.0,1.435,2.6505565856888667,1.880213436765445,1.9645247614550962,9.774323587561224,1.4412809053130011,1.9918012893495838,-0.7703431489234216,-0.6860318242337704,0.7703431489234216,0.6860318242337704,0.08431132468965119,0.08431132468965119,1.0,0.0,0.0
