z,psi_1,psi_2,psi_3
-80.0,0.0,0.0,0.0
-79.98,6.900323356632193e-25,0.0,0.00014266433384946056
-79.96,1.3801971918738099e-24,0.0,0.0002853284546928511
-79.94,2.0706271149109284e-24,0.0,0.0004279921495825614
-79.92,2.7614547022413418e-24,0.0,0.000570655205629802
-79.9,3.452812627985179e-24,0.0,0.0007133174100049625
-79.88,4.144833668396545e-24,0.0,0.0008559785499379758
-79.86,4.8376507273638994e-24,0.0,0.00099863841271869
-79.84,5.531396861934919e-24,0.0,0.0011412967856972134
-79.82,6.2262053078709904e-24,0.0,0.0012839534562842816
-79.8,6.922209505236103e-24,0.0,0.0014266082119516138
-79.78,7.619543124025184e-24,0.0,0.0015692608402322927
-79.76,8.318340089836456e-24,0.0,0.0017119111287210932
-79.74,9.018734609593294e-24,0.0,0.0018545588650748716
-79.72,9.720861197320082e-24,9.921603800109202e-24,0.0019972038370129233
-79.7,1.0424854699977008e-23,1.0640127703759203e-23,0.002139845832317313
-79.68,1.1130850323359148e-23,1.136069349954281e-23,0.0022824846388332528
-79.66,1.1838983658064628e-23,1.2083439469864096e-23,0.002425120044469487
-79.64,1.254939070553647e-23,1.2808504315811045e-23,0.0025677518371986113
-79.62,1.3262207904183594e-23,1.3536027183774565e-23,0.00271037980505742
-79.6,1.3977572155586162e-23,1.4266147692153404e-23,0.0028530037361473204
-79.58,1.4695620850789654e-23,1.4999005958149376e-23,0.0029956234186346675
-79.56,1.5416491896693132e-23,1.5734742624658512e-23,0.0031382386407511195
-79.54,1.6140323742536585e-23,1.6473498887263174e-23,0.0032808491907939785
-79.52,1.6867255406492997e-23,1.721541652133068e-23,0.0034234548571266056
-79.5,1.759742650236907e-23,1.7960637909222703e-23,0.0035660554281787037
-79.48,1.833097726642093e-23,1.8709306067621636e-23,0.0037086506924466855
-79.46,1.9068048584289794e-23,1.946156467497923e-23,0.003851240438494109
-79.44,1.980878201806166e-23,2.0217558099091403e-23,0.003993824454951944
-79.42,2.0553319833457483e-23,2.097743142480604e-23,0.004136402530518929
-79.4,2.1301805027158896e-23,2.1741330481868724e-23,0.0042789744539619935
-79.38,2.2054381354274047e-23,2.2509401872911178e-23,0.004421540014116588
-79.36,2.2811193355949043e-23,2.3281793001588e-23,0.004564098999886994
-79.34,2.3572386387131135e-23,2.4058652100867868e-23,0.004706651200246755
-79.32,2.433810664448768e-23,2.4840128261483392e-23,0.004849196404238983
-79.3,2.5108501194487294e-23,2.5626371460546165e-23,0.004991734400976746
-79.28,2.5883718001647777e-23,2.6417532590331516e-23,0.005134264979643375
-79.26,2.666390595695717e-23,2.7213763487239684e-23,0.005276787929492868
-79.24,2.744921490647255e-23,2.801521696093793e-23,0.005419303039850256
-79.22,2.8239795680101883e-23,2.8822046823689026e-23,0.005561810100111833
-79.2,2.903580012057606e-23,2.963440791987342e-23,0.005704308899745629
-79.18,2.9837381112614963e-23,3.045245615570901e-23,0.005846799228291755
-79.16,3.0644692612293914e-23,3.1276348529174896e-23,0.0059892808753627715
-79.14,3.1457889676615736e-23,3.2106243160144583e-23,0.006131753630643998
-79.12,3.2277128493294474e-23,3.294229932073459e-23,0.006274217283893848
-79.1,3.3102566410756575e-23,3.3784677465874606e-23,0.006416671624944185
-79.08,3.393436196836538e-23,3.463353926410497e-23,0.006559116443700736
-79.06,3.477267492687397e-23,3.548904762860674e-23,0.006701551530143407
-79.04,3.5617666299113064e-23,3.635136674847099e-23,0.00684397667432665
-79.02,3.646949838091907e-23,3.722066212021273e-23,0.006986391666379757
-79.0,3.732833478230928e-23,3.809710057953647e-23,0.0071287962965072525
-78.98,3.8194340458909607e-23,3.898085033335891e-23,0.007271190354989307
-78.96,3.9067681743640295e-23,3.9872080992094345e-23,0.007413573632182009
-78.94,3.994852637866649e-23,4.077096360220973e-23,0.0075559459185176895
-78.92,4.083704354762005e-23,4.167767067905592e-23,0.00769830700450533
-78.9,4.1733403908097986e-23,4.259237623998066e-23,0.007840656680730897
-78.88,4.263777962444459e-23,4.3515255837730296e-23,0.007982994737857753
-78.86,4.3550344400821907e-23,4.4446486594145254e-23,0.008125320966626859
-78.84,4.447127351457776e-23,4.538624723415839e-23,0.008267635157857273
-78.82,4.540074384991497e-23,4.6334718120100034e-23,0.008409937102446459
-78.8,4.633893393186903e-23,4.729208128631718e-23,0.008552226591370523
-78.78,4.7286023960602583e-23,4.825852047411511e-23,0.008694503415684734
-78.76,4.824219584602003e-23,4.923422116702514e-23,0.008836767366523713
-78.74,4.920763324271244e-23,5.021937062640859e-23,0.008979018235101971
-78.72,5.01825215852359e-23,5.1214157927400305e-23,0.00912125581271408
-78.7,5.116704812373368e-23,5.221877399520221e-23,0.009263479890735197
-78.68,5.216140195990506e-23,5.323341164172989e-23,0.009405690260621175
-78.66,5.316577408333199e-23,5.425826560262351e-23,0.009547886713909057
-78.64,5.418035740816803e-23,5.529353257462754e-23,0.009690069042217466
-78.62,5.520534681019664e-23,5.633941125334662e-23,0.009832237037246911
-78.6,5.62409391642658e-23,5.739610237138467e-23,0.009974390490780024
-78.58,5.72873333821084e-23,5.846380873687657e-23,0.010116529194682039
-78.56,5.83447304505526e-23,5.954273527241718e-23,0.010258652940901057
-78.54,5.941333347013194e-23,6.063308905439714e-23,0.01040076152146847
-78.52,6.049334769410125e-23,6.173507935275195e-23,0.010542854728499326
-78.5,6.158498056786506e-23,6.284891767113114e-23,0.010684932354192513
-78.48,6.268844176882853e-23,6.397481778749742e-23,0.010826994190831154
-78.46,6.380394324667762e-23,6.511299579516311e-23,0.010969040030783058
-78.44,6.493169926409521e-23,6.626367014427026e-23,0.011111069666501067
-78.42,6.607192643792145e-23,6.742706168372321e-23,0.011253082890523387
-78.4,6.722484378076648e-23,6.860339370358157e-23,0.01139507949547387
-78.38,6.839067274308329e-23,6.979289197792189e-23,0.011537059274062315
-78.36,6.956963725570957e-23,7.099578480817669e-23,0.011679022019084846
-78.34,7.076196377288589e-23,7.221230306695849e-23,0.011820967523424226
-78.32,7.196788131575922e-23,7.344268024237812e-23,0.011962895580050295
-78.3,7.318762151637936e-23,7.468715248286465e-23,0.012104805982020307
