D,n,E,omega2,omega_real,omega_imag,S_z,z1,z2,has_bound,has_stable_bound,has_turning_points,is_physical_tunnel
4.0,1,-19.588656059600567,-19.588656059600567,,4.425907371330829,,,,True,False,False,False
4.0,2,-19.588653134790047,-19.588653134790047,,4.425907040911507,,,,True,False,False,False
4.0,3,0.0015694635999527224,0.0015694635999527224,0.039616456176098366,0.0,,,,False,False,False,False
4.5,1,-19.773989129399407,-19.773989129399407,,4.446795377504952,,,,True,False,False,False
4.5,2,-19.77398883315978,-19.77398883315978,,4.446795344195613,,,,True,False,False,False
4.5,3,0.0015750746236604383,0.0015750746236604383,0.03968720982458251,0.0,,,,False,False,False,False
5.0,1,-19.92442094085735,-19.92442094085735,,4.463677961150126,,,,True,False,False,False
5.0,2,-19.924420910975414,-19.924420910975414,,4.463677957802894,,,,True,False,False,False
5.0,3,0.001581036080111456,0.001581036080111456,0.039762244404855415,0.0,,,,False,False,False,False
5.5,1,-20.048951077253722,-20.048951077253722,,4.477605507104632,,,,True,False,False,False
5.5,2,-20.048951074248514,-20.048951074248514,,4.4776055067690494,,,,True,False,False,False
5.5,3,0.0015873168807975613,0.0015873168807975613,0.03984114557586869,0.0,,,,False,False,False,False
6.0,1,-20.15373340797324,-20.15373340797324,,4.489290969404104,,,,True,False,False,False
6.0,2,-20.153733407671687,-20.153733407671687,,4.4892909693705185,,,,True,False,False,False
6.0,3,0.001593890750873831,0.001593890750873831,0.039923561350082876,0.0,,,,False,False,False,False
6.5,1,-20.243117044751997,-20.243117044751997,,4.499235162197237,,,,True,False,False,False
6.5,2,-20.243117044721778,-20.243117044721778,,4.499235162193878,,,,True,False,False,False
6.5,3,0.0016007353533727495,0.0016007353533727495,0.04000919086126024,0.0,,,,False,False,False,False
7.0,1,-20.320262195290333,-20.320262195290333,,4.507800150327245,,,,True,False,False,False
7.0,2,-20.320262195286794,-20.320262195286794,,4.507800150326853,,,,True,False,False,False
7.0,3,0.0016078315983831398,0.0016078315983831398,0.040097775479235,0.0,,,,False,False,False,False
7.5,1,-20.387520168050948,-20.387520168050948,,4.515254164280339,,,,True,False,False,False
7.5,2,-20.387520168050646,-20.387520168050646,,4.515254164280306,,,,True,False,False,False
