D,n,E,omega2,omega_real,omega_imag,S_z,z1,z2,has_bound,has_stable_bound,has_turning_points,is_physical_tunnel
4.0,1,-0.5050527899606458,0.49494721003935416,0.7035248467817993,0.0,2.9235629320857486,-1.8609117598718166,1.8609117598718166,True,True,True,True
4.0,2,-0.39009729609595895,0.609902703904041,0.7809626776639463,0.0,2.6268055503248418,-1.8543295939207631,1.8543295939207631,True,True,True,True
4.0,3,0.005636667360766385,1.0056366673607664,1.002814373331758,0.0,,,,False,False,False,False
4.5,1,-0.4945348731955857,0.5054651268044144,0.710960706934226,0.0,3.259335347295209,-2.1091513101480697,2.1091513101480714,True,True,True,True
4.5,2,-0.4154158275017025,0.5845841724982975,0.7645810437738418,0.0,3.036751705569671,-2.105361071034317,2.105361071034319,True,True,True,True
4.5,3,0.005640657086240045,1.00564065708624,1.0028163625939897,0.0,,,,False,False,False,False
5.0,1,-0.48736758782923956,0.5126324121707604,0.7159835278627298,0.0,3.6033085888890133,-2.3600063625766126,2.3600063625766126,True,True,True,True
5.0,2,-0.4326184741698604,0.5673815258301396,0.7532473204931694,0.0,3.420379882743706,-2.356570176450055,2.356570176450055,True,True,True,True
5.0,3,0.005645036706656801,1.0056450367066567,1.0028185462518415,0.0,,,,False,False,False,False
5.5,1,-0.48256707500724605,0.517432924992754,0.7193281066333735,0.0,3.945107053444854,-2.608307717642555,2.608307717642557,True,True,True,True
5.5,2,-0.4445360437424832,0.5554639562575168,0.7452945432897766,0.0,3.8120733387931427,-2.606488666680002,2.6064886666800047,True,True,True,True
5.5,3,0.005649802228219616,1.0056498022282196,1.0028209223127624,0.0,,,,False,False,False,False
6.0,1,-0.479437427519251,0.520562572480749,0.721500223479348,0.0,4.281584505003245,-2.859221750492509,2.859221750492509,True,True,True,True
6.0,2,-0.45294840099311257,0.5470515990068874,0.7396293659711514,0.0,4.180384939920101,-2.857559268900113,2.857559268900113,True,True,True,True
6.0,3,0.00565494993949699,1.005654949939497,1.002823488924894,0.0,,,,False,False,False,False
6.5,1,-0.477481009715339,0.522518990284661,0.7228547504752674,0.0,4.638405097751283,-3.107879954245616,3.107879954245618,True,True,True,True
6.5,2,-0.45899631648826816,0.5410036835117318,0.7355295259279071,0.0,4.560923525229767,-3.1069967780791274,3.1069967780791297,True,True,True,True
6.5,3,0.005660476380381096,1.0056604763803811,1.002826244361595,0.0,,,,False,False,False,False
7.0,1,-0.47634092100579284,0.5236590789942072,0.7236429222995324,0.0,4.97841497640594,-3.3588220743426414,3.3588220743426414,True,True,True,True
7.0,2,-0.4634245805468926,0.5365754194531074,0.7325130848340576,0.0,4.920074914665851,-3.358012216340128,3.358012216340128,True,True,True,True
7.0,3,0.005666378319615632,1.0056663783196156,1.0028291870102384,0.0,,,,False,False,False,False
7.5,1,-0.4757618142218094,0.5242381857781906,0.7240429447057616,0.0,5.337979185878084,-3.607663795004485,3.607663795004487,True,True,True,True
7.5,2,-0.46672763930165695,0.533272360698343,0.7302549970375711,0.0,5.293803074437187,-3.6072324975777654,3.6072324975777676,True,True,True,True
7.5,3,0.005672652737378859,1.005672652737379,1.0028323153635301,0.0,,,,False,False,False,False
8.0,1,-0.4755620530173172,0.5244379469826828,0.7241808800173357,0.0,5.6804020246484,-3.85862046712138,3.85862046712138,True,True,True,True
8.0,2,-0.4692386181952465,0.5307613818047535,0.7285337204308072,0.0,5.647415798409881,-3.8582242753731295,3.8582242753731295,True,True,True,True
8.0,3,0.005679296811891295,1.0056792968118913,1.002835628012832,0.0,,,,False,False,False,False
8.5,1,-0.47561344201740297,0.524386557982597,0.7241453983714852,0.0,6.041719763267556,-4.107554918177763,4.107554918177764,True,True,True,True
8.5,2,-0.471184888075815,0.5288151119241851,0.7271967491155231,0.0,6.016960638962016,-4.107343625364385,4.107343625364388,True,True,True,True
8.5,3,0.0056863079082975785,1.0056863079082976,1.0028391236426197,0.0,,,,False,False,False,False
9.0,1,-0.47582633224820137,0.5241736677517986,0.7239983893295611,0.0,6.385546857445714,-4.358518896899127,4.358518896899127,True,True,True,True
9.0,2,-0.47272343938001066,0.5272765606199894,0.72613811401137,0.0,6.36718276410423,-4.358324597225361,4.358324597225361,True,True,True,True
9.0,3,0.005693683569715647,1.0056936835697157,1.002842801026021,0.0,,,,False,False,False,False
9.5,1,-0.4761386797089907,0.5238613202910093,0.7237826471331081,0.0,6.747814751124725,-4.607500020775797,4.607500020775799,True,True,True,True
9.5,2,-0.47396380661459386,0.5260361933854061,0.7252835262057219,0.0,6.734127256843276,-4.607396304533043,4.6073963045330455,True,True,True,True
9.5,3,0.005701421509831707,1.0057014215098317,1.0028466590211245,0.0,,,,False,False,False,False
10.0,1,-0.47650805348632375,0.5234919465136763,0.7235274331451961,0.0,7.092334101049856,-4.858467504441694,4.858467504441694,True,True,True,True
10.0,2,-0.47498316095841564,0.5250168390415844,0.7245804572589467,0.0,7.082236639589411,-4.858372060901843,4.858372060901843,True,True,True,True
10.0,3,0.005709519606307386,1.0057095196063073,1.002850696567693,0.0,,,,False,False,False,False
10.5,1,-0.47690584373334294,0.5230941562666571,0.7232524844524608,0.0,7.455015428678332,-5.107472132987749,5.107472132987751,True,True,True,True
10.5,2,-0.4758363830316551,0.5241636169683449,0.7239914481320514,0.0,7.447531932042377,-5.107421152078205,5.107421152078207,True,True,True,True
10.5,3,0.005717975895235281,1.0057179758952353,1.0028549126843997,0.0,,,,False,False,False,False
11.0,1,-0.47731310003165295,0.522686899968347,0.7229708845924205,0.0,7.799786108788589,-5.358441188932163,5.358441188932163,True,True,True,True
11.0,2,-0.47656286568921236,0.5234371343107876,0.7234895536984537,0.0,7.794289683819842,-5.358394249044197,5.358394249044197,True,True,True,True
11.0,3,0.005726788566405212,1.0057267885664052,1.002859306466468,0.0,,,,False,False,False,False
11.5,1,-0.47771756521810116,0.5222824347818988,0.7226911060625409,0.0,8.1625615551747,-5.607457735919154,5.607457735919157,True,True,True,True
