z,U1D,U2D_axis,rel_error
-80.0,-9.146888194254243e-10,-9.146888246824858e-10,1.1446567425372289e-19
-79.98,-9.158748973297797e-10,-9.158748759396929e-10,4.657413108149382e-19
-79.96,-9.170628398179587e-10,-9.170628145760418e-10,5.496099000250927e-19
-79.94,-9.182526503411055e-10,-9.182526405915326e-10,2.1228426672235966e-19
-79.92,-9.194443323577233e-10,-9.194443539861652e-10,4.709311828289253e-19
-79.9,-9.206378893336961e-10,-9.206378992487885e-10,2.1588823538202453e-19
-79.88,-9.218333247422971e-10,-9.218333318905536e-10,1.5564398543659574e-19
-79.86,-9.230306420642155e-10,-9.230306519114606e-10,2.1441095054898017e-19
-79.84,-9.24229844787571e-10,-9.242298593115095e-10,3.162398641782353e-19
-79.82,-9.254309364079303e-10,-9.254309540907002e-10,3.8501930871645947e-19
-79.8,-9.266339204283251e-10,-9.266339362490328e-10,3.4447532600563905e-19
-79.78,-9.278388003592759e-10,-9.278388057865072e-10,1.1817090177902458e-19
-79.76,-9.290455797188023e-10,-9.290455627031236e-10,3.7049426622768266e-19
-79.74,-9.302542620324475e-10,-9.30254262510033e-10,1.0398801686279854e-20
-79.72,-9.31464850833289e-10,-9.314649052072355e-10,1.1839219394906288e-18
-79.7,-9.326773496619678e-10,-9.326773797724286e-10,6.556161082687053e-19
-79.68,-9.338917620666952e-10,-9.338917417167636e-10,4.430932842410427e-19
-79.66,-9.351080916032798e-10,-9.35108102062543e-10,2.277368464539816e-19
-79.64,-9.363263418351395e-10,-9.36326349787464e-10,1.7315152105702132e-19
-79.62,-9.37546516333326e-10,-9.375464848915271e-10,6.846042631736454e-19
-79.6,-9.38768618676541e-10,-9.387686183970345e-10,6.0858881376427855e-21
-79.58,-9.399926524511481e-10,-9.399926392816838e-10,2.867479522139723e-19
-79.56,-9.41218621251204e-10,-9.412186585677773e-10,8.125198330611544e-19
-79.54,-9.42446528678467e-10,-9.424465652330127e-10,7.959276751546301e-19
-79.52,-9.436763783424223e-10,-9.4367635927739e-10,4.151162726272454e-19
-79.5,-9.44908173860293e-10,-9.449081517232116e-10,4.820061452789266e-19
-79.48,-9.461419188570675e-10,-9.461419425704776e-10,5.163286524366924e-19
-79.46,-9.473776169655155e-10,-9.473776207968854e-10,8.342309477803696e-20
-79.44,-9.486152718262003e-10,-9.486152974247375e-10,5.573748410282684e-19
-79.42,-9.498548870875101e-10,-9.498548614317315e-10,5.586212006247229e-19
-79.4,-9.510964664056655e-10,-9.510964238401698e-10,9.268082879777419e-19
-79.38,-9.523400134447462e-10,-9.523399846500524e-10,6.269669928197473e-19
-79.36,-9.535855318767044e-10,-9.535855438613794e-10,2.609507044515886e-19
-79.34,-9.548330253813907e-10,-9.548329904518482e-10,7.605453415629922e-19
-79.32,-9.560824976465682e-10,-9.560825464660638e-10,1.0629809997599901e-18
-79.3,-9.5733395236793e-10,-9.573339898594213e-10,8.163284424729768e-19
-79.28,-9.585873932491258e-10,-9.585874316542231e-10,8.362210265824165e-19
-79.26,-9.598428240017751e-10,-9.598428718504692e-10,1.0418430601551712e-18
-79.24,-9.611002483454903e-10,-9.611001994258572e-10,1.0651613624698926e-18
