preset,D,z,rel_error
physical_gap,6.0,-80.0,9.110669046753444e-12
physical_gap,6.0,-79.6,2.472862353038181e-12
physical_gap,6.0,-79.2,6.597128191604696e-12
physical_gap,6.0,-78.8,7.88144834342624e-12
physical_gap,6.0,-78.4,8.394898183612251e-12
physical_gap,6.0,-78.0,7.590084527668529e-12
physical_gap,6.0,-77.6,2.235295566159225e-12
physical_gap,6.0,-77.2,4.719808673959519e-12
physical_gap,6.0,-76.8,6.230206479505832e-12
physical_gap,6.0,-76.4,4.948656040122866e-12
physical_gap,6.0,-76.0,6.759486954246738e-12
physical_gap,6.0,-75.6,1.4210429276482571e-12
physical_gap,6.0,-75.2,1.3001346995158446e-12
physical_gap,6.0,-74.8,2.2900013657520926e-12
physical_gap,6.0,-74.4,7.771434924517472e-12
physical_gap,6.0,-74.0,1.9505152467585883e-12
physical_gap,6.0,-73.6,7.71528349802237e-12
physical_gap,6.0,-73.2,1.1561755061561167e-12
physical_gap,6.0,-72.8,3.319818210042352e-12
physical_gap,6.0,-72.4,5.895386405768679e-12
physical_gap,6.0,-72.0,4.616223461862049e-12
physical_gap,6.0,-71.6,8.954282411311175e-12
physical_gap,6.0,-71.2,4.265361228466871e-12
physical_gap,6.0,-70.8,4.277003597525058e-12
physical_gap,6.0,-70.4,5.264011354814838e-12
physical_gap,6.0,-70.0,1.6365969679007474e-12
physical_gap,6.0,-69.6,8.287664779578315e-12
physical_gap,6.0,-69.2,5.801241682242424e-12
physical_gap,6.0,-68.8,4.18796648646478e-12
physical_gap,6.0,-68.4,4.881889168140648e-13
physical_gap,6.0,-68.0,1.747561086043261e-12
physical_gap,6.0,-67.6,1.070419772383397e-12
physical_gap,6.0,-67.2,6.834074094119447e-12
physical_gap,6.0,-66.8,2.2272039779625024e-12
physical_gap,6.0,-66.4,3.7289203551660976e-12
physical_gap,6.0,-66.0,5.902334834269698e-12
physical_gap,6.0,-65.6,5.377313304530024e-12
physical_gap,6.0,-65.2,8.727931075592131e-12
physical_gap,6.0,-64.8,3.9341099734114655e-12
physical_gap,6.0,-64.4,3.92907923560271e-12
physical_gap,6.0,-64.0,6.065629270333143e-12
physical_gap,6.0,-63.6,9.376955055531076e-13
physical_gap,6.0,-63.2,5.501849804273656e-12
physical_gap,6.0,-62.8,4.327180672041794e-13
physical_gap,6.0,-62.4,3.659797442654108e-12
physical_gap,6.0,-62.0,2.6567565275027635e-12
physical_gap,6.0,-61.6,1.53926232260078e-12
physical_gap,6.0,-61.2,8.352268105720084e-12
physical_gap,6.0,-60.8,6.038988984233663e-13
physical_gap,6.0,-60.4,7.265862135417112e-12
physical_gap,6.0,-60.0,6.4760990724262874e-12
physical_gap,6.0,-59.6,8.11424102926396e-12
physical_gap,6.0,-59.2,8.83428774572369e-14
physical_gap,6.0,-58.8,2.0452647677884533e-12
physical_gap,6.0,-58.4,3.642878172592714e-12
physical_gap,6.0,-58.0,5.348042474449786e-12
physical_gap,6.0,-57.6,1.3505506810260842e-12
physical_gap,6.0,-57.2,1.8138750615587124e-12
physical_gap,6.0,-56.8,3.1972434858344838e-12
physical_gap,6.0,-56.4,6.978171155297203e-12
physical_gap,6.0,-56.0,3.6046269381542506e-12
physical_gap,6.0,-55.6,6.042789111434336e-12
