z,U
-80.0,-7.789372176750274e-10
-79.98,-7.79887141304921e-10
-79.96,-7.808384585622535e-10
-79.94,-7.817911718383074e-10
-79.92,-7.827452835290702e-10
-79.9,-7.837007960352388e-10
-79.88,-7.846577117622312e-10
-79.86,-7.856160331201981e-10
-79.84,-7.86575762524034e-10
-79.82,-7.875369023933858e-10
-79.8,-7.884994551526627e-10
-79.78,-7.894634232310496e-10
-79.76,-7.904288090625171e-10
-79.74,-7.913956150858304e-10
-79.72,-7.923638437445609e-10
-79.7,-7.933334974870964e-10
-79.68,-7.943045787666533e-10
-79.66,-7.952770900412867e-10
-79.64,-7.962510337738982e-10
-79.62,-7.972264124322526e-10
-79.6,-7.982032284889831e-10
-79.58,-7.99181484421606e-10
-79.56,-8.00161182712528e-10
-79.54,-8.011423258490614e-10
-79.52,-8.02124916323432e-10
-79.5,-8.031089566327893e-10
-79.48,-8.040944492792202e-10
-79.46,-8.050813967697602e-10
-79.44,-8.060698016163996e-10
-79.42,-8.070596663361003e-10
-79.4,-8.08050993450804e-10
-79.38,-8.090437854874454e-10
-79.36,-8.100380449779576e-10
-79.34,-8.110337744592915e-10
-79.32,-8.120309764734227e-10
-79.3,-8.130296535673595e-10
-79.28,-8.140298082931611e-10
-79.26,-8.150314432079442e-10
-79.24,-8.160345608738967e-10
-79.22,-8.170391638582852e-10
-79.2,-8.180452547334706e-10
-79.18,-8.190528360769184e-10
-79.16,-8.200619104712097e-10
-79.14,-8.210724805040506e-10
-79.12,-8.220845487682884e-10
-79.1,-8.230981178619184e-10
-79.08,-8.241131903880977e-10
-79.06,-8.251297689551575e-10
-79.04,-8.261478561766127e-10
-79.02,-8.271674546711753e-10
-79.0,-8.281885670627639e-10
-78.98,-8.292111959805174e-10
-78.96,-8.302353440588073e-10
-78.94,-8.312610139372457e-10
-78.92,-8.322882082607013e-10
-78.9,-8.333169296793098e-10
-78.88,-8.343471808484841e-10
-78.86,-8.353789644289272e-10
-78.84,-8.364122830866455e-10
-78.82,-8.374471394929598e-10
-78.8,-8.384835363245151e-10
-78.78,-8.395214762632959e-10
-78.76,-8.405609619966359e-10
-78.74,-8.416019962172325e-10
-78.72,-8.426445816231554e-10
-78.7,-8.436887209178608e-10
-78.68,-8.447344168102043e-10
-78.66,-8.45781672014452e-10
-78.64,-8.468304892502918e-10
-78.62,-8.478808712428465e-10
-78.6,-8.489328207226879e-10
-78.58,-8.499863404258439e-10
-78.56,-8.510414330938174e-10
-78.54,-8.520981014735941e-10
-78.52,-8.531563483176568e-10
-78.5,-8.542161763839957e-10
-78.48,-8.552775884361243e-10
-78.46,-8.563405872430883e-10
-78.44,-8.574051755794808e-10
-78.42,-8.584713562254524e-10
-78.4,-8.595391319667267e-10
-78.38,-8.606085055946115e-10
-78.36,-8.616794799060083e-10
-78.34,-8.627520577034309e-10
-78.32,-8.638262417950144e-10
-78.3,-8.649020349945269e-10
-78.28,-8.65979440121385e-10
-78.26,-8.670584600006667e-10
-78.24,-8.681390974631231e-10
-78.22,-8.69221355345187e-10
-78.2,-8.703052364889948e-10
-78.18,-8.713907437423926e-10
-78.16,-8.724778799589512e-10
-78.14,-8.735666479979783e-10
-78.12,-8.746570507245341e-10
-78.1,-8.757490910094404e-10
-78.08,-8.768427717292966e-10
-78.06,-8.779380957664919e-10
-78.04,-8.790350660092185e-10
-78.02,-8.801336853514852e-10
-78.0,-8.812339566931286e-10
-77.98,-8.823358829398292e-10
-77.96,-8.834394670031243e-10
-77.94,-8.845447118004174e-10
-77.92,-8.856516202549979e-10
-77.9,-8.867601952960481e-10
-77.88,-8.878704398586629e-10
-77.86,-8.889823568838558e-10
-77.84,-8.900959493185801e-10
-77.82,-8.912112201157389e-10
-77.8,-8.923281722341942e-10
-77.78,-8.934468086387893e-10
-77.76,-8.945671323003584e-10
-77.74,-8.956891461957365e-10
-77.72,-8.968128533077782e-10
-77.7,-8.979382566253694e-10
-77.68,-8.99065359143442e-10
-77.66,-9.001941638629865e-10
-77.64,-9.013246737910656e-10
-77.62,-9.0245689194083e-10
-77.6,-9.035908213315312e-10
-77.58,-9.04726464988533e-10
-77.56,-9.058638259433303e-10
-77.54,-9.070029072335606e-10
-77.52,-9.081437119030169e-10
-77.5,-9.092862430016622e-10
-77.48,-9.104305035856459e-10
-77.46,-9.115764967173169e-10
-77.44,-9.127242254652344e-10
-77.42,-9.138736929041869e-10
-77.4,-9.150249021152053e-10
-77.38,-9.161778561855751e-10
-77.36,-9.173325582088517e-10
-77.34,-9.184890112848758e-10
-77.32,-9.196472185197889e-10
-77.3,-9.208071830260407e-10
-77.28,-9.219689079224145e-10
-77.26,-9.231323963340323e-10
-77.24,-9.242976513923762e-10
-77.22,-9.254646762352964e-10
-77.2,-9.266334740070311e-10
-77.18,-9.278040478582197e-10
-77.16,-9.289764009459171e-10
-77.14,-9.30150536433606e-10
-77.12,-9.313264574912175e-10
-77.1,-9.32504167295141e-10
-77.08,-9.336836690282402e-10
-77.06,-9.34864965879869e-10
-77.04,-9.360480610458854e-10
-77.02,-9.372329577286688e-10
-77.0,-9.384196591371285e-10
-76.98,-9.39608168486728e-10
-76.96,-9.40798488999494e-10
-76.94,-9.419906239040301e-10
-76.92,-9.431845764355391e-10
-76.9,-9.443803498358312e-10
-76.88,-9.455779473533435e-10
-76.86,-9.467773722431498e-10
-76.84,-9.479786277669854e-10
-76.82,-9.491817171932536e-10
-76.8,-9.50386643797043e-10
-76.78,-9.515934108601474e-10
-76.76,-9.528020216710762e-10
-76.74,-9.540124795250728e-10
-76.72,-9.552247877241273e-10
-76.7,-9.56438949576996e-10
-76.68,-9.57654968399214e-10
-76.66,-9.588728475131128e-10
-76.64,-9.600925902478331e-10
-76.62,-9.613141999393442e-10
-76.6,-9.625376799304584e-10
-76.58,-9.637630335708445e-10
-76.56,-9.649902642170463e-10
-76.54,-9.662193752325002e-10
-76.52,-9.67450369987547e-10
-76.5,-9.686832518594487e-10
-76.48,-9.699180242324069e-10
-76.46,-9.71154690497579e-10
-76.44,-9.723932540530897e-10
-76.42,-9.736337183040526e-10
-76.4,-9.748760866625843e-10
-76.38,-9.761203625478192e-10
-76.36,-9.773665493859262e-10
-76.34,-9.7861465061013e-10
-76.32,-9.798646696607198e-10
-76.3,-9.811166099850692e-10
-76.28,-9.82370475037654e-10
-76.26,-9.836262682800683e-10
-76.24,-9.848839931810395e-10
-76.22,-9.861436532164432e-10
-76.2,-9.874052518693258e-10
-76.18,-9.886687926299153e-10
-76.16,-9.899342789956414e-10
-76.14,-9.912017144711505e-10
-76.12,-9.92471102568323e-10
-76.1,-9.93742446806292e-10
-76.08,-9.950157507114556e-10
-76.06,-9.962910178174977e-10
-76.04,-9.975682516654065e-10
