z,psi_1,psi_2,psi_3
-80.0,0.0,0.0,0.0
-79.98,-1.8574683430902027e-45,-3.947148833233329e-43,9.000337097487977e-05
-79.96,-3.69305188283498e-45,-7.860091375244085e-43,0.00018000668456751527
-79.94,-5.4860269239501964e-45,-1.1704575339762397e-42,0.0002700098833956987
-79.92,-7.217897958287328e-45,-1.5447252939379346e-42,0.0003600129100772953
-79.9,-8.872625240051175e-45,-1.905646719887678e-42,0.0004500157072302802
-79.88,-1.0436724117081755e-44,-2.2502004425867466e-42,0.0005400182174727747
-79.86,-1.189967831247086e-44,-2.575617245838034e-42,0.0006300203834230828
-79.84,-1.3254479522291673e-44,-2.879424134385921e-42,0.0007200221476997281
-79.82,-1.4497660972648518e-44,-3.159455232122254e-42,0.0008100234529214902
-79.8,-1.5629502280796565e-44,-3.41376961081346e-42,0.0009000242417074416
-79.78,-1.6653892196709122e-44,-3.640712025312392e-42,0.0009900244566769833
-79.76,-1.7578002208963076e-44,-3.838895319966313e-42,0.0010800240404498823
-79.74,-1.8411930123049676e-44,-4.007120181010959e-42,0.001170022935646309
-79.72,-1.9169147558537072e-44,-4.144358113665402e-42,0.0012600210848868712
-79.7,-1.9866166008724356e-44,-4.249675797679429e-42,0.0013500184307926532
-79.68,-2.0521523187215988e-44,-4.322238607964395e-42,0.0014400149159852506
-79.66,-2.1154106973316646e-44,-4.361391418291399e-42,0.001530010483086809
-79.64,-2.1782181873754054e-44,-4.3666372739559935e-42,0.001620005074720058
-79.62,-2.242181416637453e-44,-4.337495974743823e-42,0.0017099986335083492
-79.6,-2.3085947421693734e-44,-4.2734099148997684e-42,0.001799991102075693
-79.58,-2.378389060701048e-44,-4.1737740627713924e-42,0.0018899824230467941
-79.56,-2.452075523453823e-44,-4.0380985339728595e-42,0.0019799725390470895
-79.54,-2.529740570967841e-44,-3.866111176514781e-42,0.0020699613927027843
-79.52,-2.6111251927650667e-44,-3.6578968809105506e-42,0.002159948926640889
-79.5,-2.6957443339779074e-44,-3.414032850643309e-42,0.002249935083489254
-79.48,-2.782910341051508e-44,-3.135618696225436e-42,0.0023399198058766087
