z,psi_1,psi_2,psi_3
-80.0,0.0,0.0,0.0
-79.98,7.664807771317894e-26,3.3819391442522105e-25,0.0001395178548049801
-79.96,1.5331091606016278e-25,6.764493737471386e-25,0.00027903550587876186
-79.94,2.3000327854815638e-25,1.0148279341985565e-24,0.0004185527495465858
-79.92,3.067399344009101e-25,1.3533911745506209e-24,0.0005580693821904709
-79.9,3.8353566140297835e-25,1.6922007073192066e-24,0.0006975852002495536
-79.88,4.604052487456387e-25,2.0313181899774938e-24,0.0008371000002204276
-79.86,5.373634998750189e-25,2.3708053361767766e-24,0.0009766135786574827
-79.84,6.144252353429823e-25,2.7107239269775427e-24,0.0011161257321732428
-79.82,6.916052956613184e-25,3.051135822092875e-24,0.0012556362574387045
-79.8,7.689185441597903e-25,3.392102971146214e-24,0.001395144951183677
-79.78,8.463798698485873e-25,3.733687424945532e-24,0.001534651610197118
-79.76,9.240041902857357e-25,4.07595134677597e-24,0.0016741560313274736
-79.74,1.0018064544500202e-24,4.4189570237130044e-24,0.0018136580114830137
-79.72,1.0798016456199666e-24,4.762766877958176e-24,0.001953157347632171
-79.7,1.1580047842594447e-24,5.107443478199474e-24,0.0020926538368038787
-79.68,1.2364309309104424e-24,5.4530495509984234e-24,0.0022321472760879067
-79.66,1.3150951890935707e-24,5.799647992205957e-24,0.002371637462635198
-79.64,1.3940127082168595e-24,6.1473018784091474e-24,0.002511124193658208
-79.62,1.4731986864934008e-24,6.496074478410872e-24,0.0026506072664312357
-79.6,1.5526683738684051e-24,6.846029264744523e-24,0.0027900864782907666
-79.58,1.6324370749562296e-24,7.197229925225848e-24,0.0029295616266358025
-79.56,1.712520151987953e-24,7.549740374544e-24,0.0030690325089282
-79.54,1.7929330277700524e-24,7.903624765893946e-24,0.003208498922693008
-79.52,1.8736911886547637e-24,8.258947502652336e-24,0.0033479606655187986
-79.5,1.9548101875226877e-24,8.615773250098936e-24,0.0034874175350580057
-79.48,2.036305646778228e-24,8.974166947185792e-24,0.0036268693290272616
-79.46,2.1181932613584224e-24,9.334193818356266e-24,0.003766315845207725
-79.44,2.200488801755763e-24,9.695919385416027e-24,0.0039057568814454217
-79.42,2.2832081170555737e-24,1.0059409479458281e-23,0.004045192235651576
-79.4,2.3663671379885444e-24,1.0424730252845297e-23,0.004184621705802945
-79.38,2.4499818799989935e-24,1.0791948191248468e-23,0.004324045089942155
-79.36,2.534068446329462e-24,1.1161130125749087e-23,0.00446346218617803
-79.34,2.618643031122233e-24,1.1532343245002036e-23,0.004602872792685931
-79.32,2.7037219225383593e-24,1.1905655107464603e-23,0.00474227670770808
-79.3,2.789321505894828e-24,1.2281133653692658e-23,0.0048816737295539064
-79.28,2.8754582668204323e-24,1.265884721870643e-23,0.00502106365660037
-79.26,2.962148794430985e-24,1.3038864544428112e-23,0.005160446287292294
-79.24,3.049409784524477e-24,1.3421254792193593e-23,0.005299821420142703
-79.22,3.1372580427967832e-24,1.380608755534055e-23,0.005439188853733149
-79.2,3.225710488078567e-24,1.4193432871875247e-23,0.005578548386714042
-79.18,3.3147841555939686e-24,1.4583361237220317e-23,0.005717899817804991
-79.16,3.404496200241732e-24,1.497594361704582e-23,0.005857242945795124
-79.14,3.49486389989939e-24,1.537125146018596e-23,0.00599657756954343
-79.12,3.5859046587511575e-24,1.5769356711643794e-23,0.00613590348797908
-79.1,3.6776360106401445e-24,1.6170331825686296e-23,0.006275220500101765
-79.08,3.77007562244558e-24,1.6574249779032167e-23,0.0064145284049820245
-79.06,3.863241297485647e-24,1.698118408413476e-23,0.0065538270017615734
-79.04,3.957150978946622e-24,1.739120880256262e-23,0.0066931160896536316
-79.02,4.0518227533389684e-24,1.780439855847996e-23,0.006832395467943261
-79.0,4.147274853981044e-24,1.8220828552229654e-23,0.006971664935987693
-78.98,4.2435256645110894e-24,1.864057457402107e-23,0.007110924293216649
-78.96,4.340593722428192e-24,1.9063713017725398e-23,0.007250173339132678
-78.94,4.4384977226628965e-24,1.9490320894780847e-23,0.00738941187331149
-78.92,4.537256521178143e-24,1.9920475848210344e-23,0.007528639695402267
-78.9,4.636889138601245e-24,2.0354256166754185e-23,0.007667856605128013
-78.88,4.737414763887583e-24,2.079174079912035e-23,0.007807062402285861
-78.86,4.838852758016745e-24,2.1233009368354894e-23,0.00794625688674742
-78.84,4.9412226577218e-24,2.1678142186335227e-23,0.008085439858459092
-78.82,5.044544179252452e-24,2.2127220268388767e-23,0.008224611117442394
-78.8,5.1488372221727705e-24,2.258032534803968e-23,0.00836377046379431
-78.78,5.2541218731942455e-24,2.3037539891886435e-23,0.008502917697687578
-78.76,5.3604184100449096e-24,2.3498947114612844e-23,0.00864205261937106
-78.74,5.467747305375251e-24,2.3964630994135228e-23,0.00878117502917004
-78.72,5.576129230701702e-24,2.4434676286888727e-23,0.008920284727486552
-78.7,5.685585060388424e-24,2.4909168543255196e-23,0.009059381514799722
-78.68,5.796135875668193e-24,2.5388194123135783e-23,0.009198465191666083
-78.66,5.907802968703139e-24,2.587184021167084e-23,0.00933753555871989
-78.64,6.020607846686127e-24,2.636019483511018e-23,0.009476592416673472
-78.62,6.134572235983567e-24,2.6853346876836374e-23,0.009615635566317535
-78.6,6.2497180863204515e-24,2.7351386093544226e-23,0.00975466480852149
-78.58,6.366067575008437e-24,2.785440313157918e-23,0.009893679944233793
-78.56,6.483643111217769e-24,2.836248954343778e-23,0.010032680774482241
-78.54,6.602467340293883e-24,2.8875737804433094e-23,0.010171667100374331
-78.52,6.722563148119505e-24,2.939424132952817e-23,0.010310638723097551
-78.5,6.843953665523105e-24,2.991809449034057e-23,0.010449595443919726
-78.48,6.966662272734545e-24,3.044739263232113e-23,0.010588537064189328
-78.46,7.09071260388877e-24,3.098223209211003e-23,0.010727463385335811
-78.44,7.216128551578427e-24,3.152271021507327e-23,0.010866374208869916
-78.42,7.34293427145629e-24,3.206892537302296e-23,0.011005269336384025
-78.4,7.471154186888339e-24,3.262097698212431e-23,0.011144148569552441
-78.38,7.600812993658468e-24,3.317896552099299e-23,0.01128301171013175
-78.36,7.731935664725631e-24,3.374299254898573e-23,0.011421858559961112
-78.34,7.864547455034425e-24,3.431316072468792e-23,0.01156068892096261
-78.32,7.998673906379989e-24,3.488957382460113e-23,0.011699502595141551
-78.3,8.13434085232817e-24,3.547233676203434e-23,0.011838299384586784
-78.28,8.271574423191919e-24,3.606155560620213e-23,0.011977079091471046
-78.26,8.410401051064845e-24,3.665733760153327e-23,0.012115841518051259
-78.24,8.550847474912916e-24,3.725979118719334e-23,0.012254586466668858
-78.22,8.692940745725297e-24,3.786902601682492e-23,0.012393313739750113
-78.2,8.83670823172529e-24,3.848515297850882e-23,0.012532023139806451
-78.18,8.98217762364241e-24,3.910828421495015e-23,0.012670714469434761
-78.16,9.12937694004659e-24,3.9738533143892794e-23,0.01280938753131774
-78.14,9.278334532745542e-24,4.037601447876607e-23,0.01294804212822419
-78.12,9.42907909224635e-24,4.102084424956722e-23,0.01308667806300934
-78.1,9.581639653282285e-24,4.167313982398377e-23,0.013225295138615173
-78.08,9.736045600405976e-24,4.2333019928759275e-23,0.01336389315807073
-78.06,9.892326673649962e-24,4.3000604671306674e-23,0.01350247192449245
-78.04,1.0050512974255729e-23,4.3676015561572924e-23,0.013641031241084468
-78.02,1.0210634970472362e-23,4.4359375534159084e-23,0.013779570911138937
-78.0,1.0372723503425878e-23,4.5050808970699684e-23,0.01391809073803635
-77.98,1.0536809793060435e-23,4.5750441722505745e-23,0.01405659052524586
-77.96,1.0702925444152507e-23,4.645840113347518e-23,0.01419507007632559
-77.94,1.087110245239921e-23,4.717481606327513e-23,0.014333529194922949
-77.92,1.1041373210581938e-23,4.7899816910800227e-23,0.014471967684774953
-77.9,1.1213770514806521e-23,4.8633535637911065e-23,0.014610385349708531
-77.88,1.1388327570821075e-23,4.9376105793457317e-23,0.014748781993640865
-77.86,1.1565078000412802e-23,5.0127662537589866e-23,0.014887157420579668
-77.84,1.1744055847884919e-23,5.088834266636607e-23,0.015025511434623547
-77.82,1.1925295586615003e-23,5.1658284636653234e-23,0.015163843839962266
-77.8,1.2108832125696013e-23,5.2437628591334195e-23,0.0153021544408771
-77.78,1.2294700816661265e-23,5.322651638481999e-23,0.015440443041741128
-77.76,1.248293746029464e-23,5.402509160887426e-23,0.015578709447019558
-77.74,1.267357831352734e-23,5.483349961875375e-23,0.015716953461270042
-77.72,1.2866660096422569e-23,5.565188755967018e-23,0.01585517488914297
-77.7,1.30622199992494e-23,5.648040439357778e-23,0.015993373535381824
-77.68,1.3260295689647258e-23,5.731920092629175e-23,0.016131549204823434
-77.66,1.3460925319882392e-23,5.81684298349424e-23,0.016269701702398345
-77.64,1.366414753419769e-23,5.90282456957701e-23,0.016407830833131107
-77.62,1.3870001476257313e-23,5.989880501226586e-23,0.016545936402140565
-77.6,1.407852679668752e-23,6.078026624366296e-23,0.01668401821464022
-77.58,1.4289763660715207e-23,6.167278983378457e-23,0.016822076075938504
-77.56,1.4503752755905568e-23,6.25765382402528e-23,0.0169601097914391
-77.54,1.4720535300000403e-23,6.349167596406437e-23,0.017098119166641255
-77.52,1.4940153048858584e-23,6.441836957953843e-23,0.017236104007140096
-77.5,1.516264830450018e-23,6.535678776464167e-23,0.017374064118626922
-77.48,1.5388063923255838e-23,6.630710133169677e-23,0.017511999306889545
-77.46,1.561644332402295e-23,6.726948325847912e-23,0.01764990937781257
-77.44,1.5847830496630194e-23,6.824410871970816e-23,0.017787794137377723
-77.42,1.6082270010312133e-23,6.923115511893852e-23,0.017925653391664163
-77.4,1.6319807022295366e-23,7.023080212085697e-23,0.018063486946848766
-77.38,1.656048728649805e-23,7.12432316839913e-23,0.01820129460920647
-77.36,1.6804357162344322e-23,7.226862809383657e-23,0.018339076185110555
-77.34,1.705146362369545e-23,7.330717799640528e-23,0.018476831481032966
-77.32,1.7301854267899313e-23,7.435907043220726e-23,0.018614560303544622
-77.3,1.7555577324960023e-23,7.542449687066544e-23,0.01875226245931571
-77.28,1.7812681666829486e-23,7.650365124497408e-23,0.018889937755116014
-77.26,1.8073216816822575e-23,7.759672998740548e-23,0.019027585997815198
-77.24,1.8337232959157866e-23,7.870393206507174e-23,0.019165206994383132
-77.22,1.8604780948625676e-23,7.982545901614804e-23,0.019302800551890188
-77.2,1.887591232038534e-23,8.096151498656417e-23,0.01944036647750756
-77.18,1.9150679299893515e-23,8.211230676717068e-23,0.019577904578507544
-77.16,1.9429134812965572e-23,8.32780438313869e-23,0.01971541466226389
-77.14,1.971133249597185e-23,8.445893837333705e-23,0.01985289653625206
-77.12,1.9997326706170838e-23,8.565520534648218e-23,0.019990350008049544
-77.1,2.028717253218129e-23,8.6867062502754e-23,0.020127774885336194
-77.08,2.0580925804595216e-23,8.809473043219875e-23,0.020265170975894493
-77.06,2.0878643106733846e-23,8.933843260313766e-23,0.020402538087609882
-77.04,2.1180381785548607e-23,9.059839540285126e-23,0.020539876028471054
-77.02,2.1486199962669294e-23,9.187484817879563e-23,0.020677184606570274
-77.0,2.1796156545601408e-23,9.316802328035723e-23,0.020814463630103655
-76.98,2.2110311239075e-23,9.447815610115464e-23,0.020951712907371484
-76.96,2.2428724556547064e-23,9.58054851218943e-23,0.021088932246778505
-76.94,2.2751457831859784e-23,9.715025195378865e-23,0.02122612145683426
-76.92,2.307857323105683e-23,9.851270138254412e-23,0.021363280346153344
-76.9,2.3410133764360033e-23,9.989308141292715e-23,0.02150040872345574
-76.88,2.3746203298308646e-23,1.0129164331391642e-22,0.02163750639756711
-76.86,2.408684656806368e-23,1.0270864166444925e-22,0.021774573177419102
-76.84,2.4432129189879535e-23,1.0414433439977102e-22,0.021911608872049636
-76.82,2.4782117673745455e-23,1.0559898285839544e-22,0.022048613290603227
-76.8,2.5136879436199118e-23,1.0707285182968454e-22,0.02218558624233127
-76.78,2.5496482813314988e-23,1.085662096020571e-22,0.02232252753659234
-76.76,2.5860997073869746e-23,1.100793280118342e-22,0.022459436982852507
-76.74,2.6230492432687486e-23,1.116124824927307e-22,0.022596314390685626
-76.72,2.660504006416722e-23,1.1316595212600183e-22,0.02273315956977363
-76.7,2.698471211599517e-23,1.1474001969125384e-22,0.022869972329906844
-76.68,2.7369581723044707e-23,1.1633497171792822e-22,0.02300675248098428
-76.66,2.775972302146647e-23,1.179510985374687e-22,0.02314349983301392
-76.64,2.8155211162971334e-23,1.195886943361803e-22,0.02328021419611305
-76.62,2.855612232930915e-23,1.2124805720879044e-22,0.023416895380508503
-76.6,2.8962533746945896e-23,1.2292948921272203e-22,0.02355354319653702
-76.58,2.937452370194218e-23,1.2463329642308746e-22,0.023690157454645505
-76.56,2.9792171555035853e-23,1.2635978898841497e-22,0.02382673796539134
-76.54,3.0215557756931656e-23,1.2810928118711582e-22,0.023963284539442676
-76.52,3.064476386380101e-23,1.298820914847042e-22,0.02409979698757872
-76.5,3.107987255299471e-23,1.316785425917793e-22,0.024236275120690067
-76.48,3.152096763897165e-23,1.3349896152278027e-22,0.024372718749778952
-76.46,3.196813408944666e-23,1.3534367965552495e-22,0.024509127685959562
-76.44,3.2421458041760625e-23,1.372130327915431e-22,0.02464550174045835
-76.42,3.2881026819475834e-23,1.3910736121721524e-22,0.024781840724614312
-76.4,3.334692894920001e-23,1.4102700976572783e-22,0.024918144449879283
-76.38,3.381925417764208e-23,1.429723278798567e-22,0.02505441272781822
-76.36,3.429809348890307e-23,1.4494366967558974e-22,0.025190645370109527
-76.34,3.4783539122005396e-23,1.4694139400660035e-22,0.02532684218854533
-76.32,3.5275684588664e-23,1.4896586452958392e-22,0.025463002995031778
-76.3,3.577462469130265e-23,1.5101744977046863e-22,0.025599127601589316
-76.28,3.6280455541319015e-23,1.5309652319151277e-22,0.025735215820353017
-76.26,3.6793274577601874e-23,1.5520346325930138e-22,0.025871267463572836
-76.24,3.7313180585304155e-23,1.5733865351365358e-22,0.026007282343613925
-76.22,3.784027371487542e-23,1.5950248263745418e-22,0.02614326027295692
-76.2,3.837465550135732e-23,1.616953445274213e-22,0.02627920106419822
-76.18,3.8916428883945934e-23,1.63917638365824e-22,0.026415104530050304
-76.16,3.9465698225824604e-23,1.6616976869316174e-22,0.026550970483342005
-76.14,4.00225693342712e-23,1.6845214548181992e-22,0.02668679873701881
-76.12,4.0587149481043584e-23,1.7076518421071431e-22,0.026822589104143146
-76.1,4.1159547423047316e-23,1.7310930594093844e-22,0.026958341397894655
-76.08,4.1739873423289496e-23,1.754849373924271e-22,0.02709405543157051
-76.06,4.232823927212281e-23,1.7789251102165056e-22,0.027229731018585706
-76.04,4.2924758308783885e-23,1.803324651003533e-22,0.02736536797247332
-76.02,4.3529545443230077e-23,1.828052437953516e-22,0.02750096610688483
-76.0,4.4142717178278923e-23,1.8531129724940453e-22,0.027636525235590386
-75.98,4.4764391632054545e-23,1.8785108166317332e-22,0.02777204517247911
-75.96,4.5394688560745247e-23,1.9042505937828376e-22,0.02790752573155936
-75.94,4.603372938167681e-23,1.9303369896150665e-22,0.028042966726959082
-75.92,4.668163719670582e-23,1.9567747529007217e-22,0.028178367972925996
-75.9,4.733853681593759e-23,1.983568696381328e-22,0.028313729283827988
-75.88,4.800455478177325e-23,2.010723697643918e-22,0.02844905047415333
-75.86,4.8679819393290635e-23,2.0382447000091184e-22,0.02858433135851098
-75.84,4.9364460730963636e-23,2.06613671343121e-22,0.028719571751630882
-75.82,5.005861068172491e-23,2.0944048154103206e-22,0.028854771468364238
-75.8,5.0762402964376504e-23,2.1230541519169167e-22,0.028989930323683806
-75.78,5.1475973155353594e-23,2.1520899383287626e-22,0.029125048132684187
-75.76,5.219945871484612e-23,2.181517460380525e-22,0.029260124710582095
-75.74,5.293299901328344e-23,2.211342075126176e-22,0.029395159872716653
-75.72,5.367673535818699e-23,2.2415692119143986e-22,0.02953015343454968
-75.7,5.443081102139625e-23,2.272204373377144e-22,0.029665105211665967
-75.68,5.51953712666733e-23,2.3032531364315434e-22,0.029800015019773557
-75.66,5.597056337769102e-23,2.3347211532953384e-22,0.02993488267470405
-75.64,5.675653668641064e-23,2.36661415251603e-22,0.030069707992412854
-75.62,5.755344260185395e-23,2.3989379400139246e-22,0.030204490788979493
-75.6,5.836143463927577e-23,2.431698400139268e-22,0.03033923088060789
-75.58,5.918066844974216e-23,2.4649014967436655e-22,0.03047392808362663
-75.56,6.001130185012036e-23,2.4985532742659736e-22,0.03060858221448928
-75.54,6.08534948534859e-23,2.5326598588328723e-22,0.030743193089774606
-75.52,6.170740969995299e-23,2.567227459374307e-22,0.030877760526186928
-75.5,6.257321088793406e-23,2.6022623687540144e-22,0.031012284340556365
-75.48,6.345106520583435e-23,2.6377709649153256e-22,0.03114676434983909
-75.46,6.434114176418793e-23,2.673759712042472e-22,0.031281200371117646
-75.44,6.524361202824102e-23,2.710235161737587e-22,0.03141559222160125
-75.42,6.615864985098916e-23,2.74720395421363e-22,0.03154993971862601
-75.4,6.70864315066744e-23,2.784672819503448e-22,0.031684242679655236
-75.38,6.802713572474916e-23,2.8226485786851875e-22,0.031818500922279704
-75.36,6.89809437243131e-23,2.8611381451242976e-22,0.031952714264218
-75.34,6.994803924902973e-23,2.900148525732324e-22,0.03208688252331671
-75.32,7.092860860252961e-23,2.9396868222427495e-22,0.03222100551755073
-75.3,7.192284068430667e-23,2.9797602325040945e-22,0.03235508306502359
-75.28,7.29309270261149e-23,3.020376051790526e-22,0.03248911498396764
-75.26,7.395306182887215e-23,3.061541674130203e-22,0.03262310109274442
-75.24,7.498944200007833e-23,3.1032645936516084e-22,0.03275704120984487
-75.22,7.604026719175516e-23,3.145552405948112e-22,0.03289093515388964
-75.2,7.710573983891474e-23,3.1884128094610007e-22,0.033024782743629355
-75.18,7.818606519856448e-23,3.231853606881248e-22,0.03315858379794491
-75.16,7.928145138925567e-23,3.275882706570267e-22,0.03329233813584771
-75.14,8.039210943118359e-23,3.320508123999896e-22,0.033426045576479976
-75.12,8.151825328684677e-23,3.365737983211903e-22,0.03355970593911503
-75.1,8.266009990227311e-23,3.4115805182972533e-22,0.033693319043157505
-75.08,8.3817869248821e-23,3.458044074895417e-22,0.03382688470814368
-75.06,8.499178436556348e-23,3.5051371117139975e-22,0.03396040275374177
-75.04,8.618207140226336e-23,3.5528682020689403e-22,0.03409387299975213
-75.02,8.738895966294798e-23,3.6012460354456177e-22,0.03422729526610756
-75.0,8.861268165009163e-23,3.650279419081074e-22,0.034360669372873597
-74.98,8.98534731094144e-23,3.6999772795677015e-22,0.03449399514024878
-74.96,9.111157307530597e-23,3.7503486644786646e-22,0.034627272388564896
-74.94,9.238722391688319e-23,3.8014027440153475e-22,0.034760500938287316
-74.92,9.368067138469007e-23,3.853148812677133e-22,0.034893680610015174
-74.9,9.49921646580497e-23,3.905596290953823e-22,0.035026811224481716
-74.88,9.632195639307652e-23,3.9587547270409985e-22,0.03515989260255454
-74.86,9.767030277135887e-23,4.012633798578634e-22,0.035292924565235834
-74.84,9.903746354932082e-23,4.0672433144132907e-22,0.03542590693366273
-74.82,1.0042370210827282e-22,4.1225932163841975e-22,0.0355588395291075
-74.8,1.0182928550516085e-22,4.178693581133555e-22,0.03569172217297786
-74.78,1.0325448452402399e-22,4.235554621941387e-22,0.035824554686817216
-74.76,1.0469957372817022e-22,4.2931866905852725e-22,0.03595733689230495
-74.74,1.0616483151308025e-22,4.351600279225307e-22,0.036090068611256694
-74.72,1.0765054016005013e-22,4.410806022314618e-22,0.036222749665624596
-74.7,1.091569858905826e-22,4.470814698535802e-22,0.03635537987749759
-74.68,1.106844589215374e-22,4.531637232763627e-22,0.03648795906910159
-74.66,1.1223325352105205e-22,4.593284698054349e-22,0.036620487062799904
-74.64,1.1380366806524297e-22,4.655768317662026e-22,0.03675296368109338
-74.62,1.1539600509569828e-22,4.719099467082176e-22,0.036885388746620736
-74.6,1.1701057137777332e-22,4.783289676123168e-22,0.03701776208215877
-74.58,1.1864767795970006e-22,4.848350631005698e-22,0.037150083510622676
-74.56,1.2030764023252212e-22,4.914294176490778e-22,0.0372823528550663
-74.54,1.2199077799086623e-22,4.981132318036566e-22,0.037414569938682384
-74.52,1.2369741549456262e-22,5.048877223984489e-22,0.03754673458480284
-74.5,1.254278815311258e-22,5.117541227775002e-22,0.03767884661689905
-74.48,1.2718250947910778e-22,5.187136830193439e-22,0.03781090585858208
-74.46,1.2896163737233604e-22,5.257676701646322e-22,0.037942912133602937
-74.44,1.307656079650487e-22,5.32917368446857e-22,0.038074865265852915
-74.42,1.3259476879793923e-22,5.401640795262009e-22,0.03820676507936376
-74.4,1.344494722651236e-22,5.47509122726563e-22,0.038338611398307985
-74.38,1.3633007568204273e-22,5.54953835275801e-22,0.038470404046999127
-74.36,1.382369413543132e-22,5.624995725492334e-22,0.03860214284989201
-74.34,1.401704366475398e-22,5.7014770831644735e-22,0.038733827631582965
-74.32,1.4213093405810316e-22,5.778996349914556e-22,0.03886545821681019
-74.3,1.4411881128493589e-22,5.8575676388625045e-22,0.0389970344304539
-74.28,1.4613445130230163e-22,5.937205254677971e-22,0.03912855609753666
-74.26,1.4817824243359029e-22,6.017923696185169e-22,0.039260023043223624
-74.24,1.502505784261447e-22,6.099737659003062e-22,0.03939143509282279
-74.22,1.5235185852713186e-22,6.182662038221392e-22,0.03952279207178524
-74.2,1.5448248756047464e-22,6.26671193111303e-22,0.03965409380570547
-74.18,1.566428760048577e-22,6.351902639883151e-22,0.039785340120321554
-74.16,1.5883344007282345e-22,6.438249674455735e-22,0.039916530841515474
-74.14,1.6105460179097301e-22,6.525768755297897e-22,0.04004766579531335
-74.12,1.6330678908128732e-22,6.614475816282539e-22,0.04017874480788571
-74.1,1.6559043584358458e-22,6.704387007589905e-22,0.04030976770554775
-74.08,1.6790598203912966e-22,6.795518698648499e-22,0.04044073431475955
-74.06,1.7025387377541164e-22,6.887887481115943e-22,0.04057164446212642
-74.04,1.7263456339210567e-22,6.981510171900307e-22,0.04070249797439903
-74.02,1.7504850954823606e-22,7.076403816222467e-22,0.04083329467847379
-74.0,1.774961773105568e-22,7.172585690720024e-22,0.04096403440139303
-73.98,1.7997803824316763e-22,7.270073306593396e-22,0.041094716970345266
-73.96,1.8249457049838155e-22,7.368884412794606e-22,0.041225342212665515
-73.94,1.8504625890886227e-22,7.469036999259383e-22,0.04135590995583545
-73.92,1.876335950810489e-22,7.570549300183133e-22,0.04148642002748371
-73.9,1.902570774898865e-22,7.673439797341427e-22,0.0416168722553862
-73.88,1.929172115748795e-22,7.777727223455544e-22,0.04174726646746624
-73.86,1.9561450983748823e-22,7.883430565603743e-22,0.04187760249179488
-73.84,1.983494919398855e-22,7.990569068678831e-22,0.0420078801565912
-73.82,2.0112268480509375e-22,8.099162238892722e-22,0.04213809929022246
-73.8,2.0393462271852136e-22,8.209229847328553e-22,0.04226825972120442
-73.78,2.0678584743091774e-22,8.320791933541062e-22,0.04239836127820156
-73.76,2.096769082627668e-22,8.433868809205834e-22,0.04252840379002737
-73.74,2.1260836221014003e-22,8.548481061818158e-22,0.042658387085644574
